0.5680679595514976		SimpleArgument(I,List({18}))	Relation(is,List([20, 22)))	SimpleArgument(a one-act theatrical sketch by Samuel Beckett,List([23, 68)))	Rough for Theatre I is a one-act theatrical sketch by Samuel Beckett.
0.22015391053105568		SimpleArgument(it,List([31, 33)))	Relation(was translated into English,List([34, 37), [44, 54), [55, 67)))	TemporalArgument(later,List([38, 43)))	Also known simply as Theatre I it began life originally in French in the late fifties as Fragment de théâtre and was later translated into English by Beckett himself.
0.3929209860966329		SimpleArgument(it,List([31, 33)))	Relation(was translated into English by,List([34, 37), [44, 54), [55, 67), [68, 70)))	SimpleArgument(Samuel Beckett,List([71, 78)))	Also known simply as Theatre I it began life originally in French in the late fifties as Fragment de théâtre and was later translated into English by Beckett himself.
0.3929209860966329		SimpleArgument(it,List([31, 33)))	Relation(was translated into,List([34, 37), [44, 54), [55, 59)))	SimpleArgument(English,List([60, 67)))	Also known simply as Theatre I it began life originally in French in the late fifties as Fragment de théâtre and was later translated into English by Beckett himself.
0.4978219019954182		SimpleArgument(it,List([31, 33)))	Relation(began life,List([34, 39), [40, 44)))	SpatialArgument(originally in French,List([45, 65)))	Also known simply as Theatre I it began life originally in French in the late fifties as Fragment de théâtre and was later translated into English by Beckett himself.
0.45170382506656653		SimpleArgument(it,List([31, 33)))	Relation(began,List([34, 39)))	SimpleArgument(life,List([40, 44)))	Also known simply as Theatre I it began life originally in French in the late fifties as Fragment de théâtre and was later translated into English by Beckett himself.
0.702481600337748		SimpleArgument(The first production,List([0, 20)))	Relation(was at the Schiller Theatre in,List([21, 24), [25, 48), [58, 60)))	TemporalArgument(1979,List([61, 65)))	The first production was at the Schiller Theatre, Hamburg in 1979, directed by Walter Asmus.
0.9250606141558615		SimpleArgument(The first production,List([0, 20)))	Relation(was at,List([21, 24), [25, 27)))	SimpleArgument(the Schiller Theatre,List([28, 48)))	The first production was at the Schiller Theatre, Hamburg in 1979, directed by Walter Asmus.
0.3929209860966329		SimpleArgument(The first production,List([0, 2)))	Relation(was staged by,List([3, 13), [95, 97)))	SimpleArgument(Stan Gontarski with Tom Luce,List([98, 126)))	It was staged as Fragment for Theater I at the Magic Theater, San Francisco in September 1986 by Stan Gontarski with Robert Wagner (A) and Tom Luce (B).
0.3929209860966329		SimpleArgument(The first production,List([0, 2)))	Relation(was staged by,List([3, 13), [95, 97)))	SimpleArgument(Stan Gontarski with Robert Wagner,List([98, 131)))	It was staged as Fragment for Theater I at the Magic Theater, San Francisco in September 1986 by Stan Gontarski with Robert Wagner (A) and Tom Luce (B).
0.3929209860966329		SimpleArgument(The first production,List([0, 2)))	Relation(was staged in,List([3, 13), [77, 79)))	TemporalArgument(September 1986,List([80, 94)))	It was staged as Fragment for Theater I at the Magic Theater, San Francisco in September 1986 by Stan Gontarski with Robert Wagner (A) and Tom Luce (B).
0.4978219019954182		SimpleArgument(The first production,List([0, 2)))	Relation(was staged as,List([3, 13), [14, 16)))	SimpleArgument(Fragment,List([17, 25)))	It was staged as Fragment for Theater I at the Magic Theater, San Francisco in September 1986 by Stan Gontarski with Robert Wagner (A) and Tom Luce (B).
