0.9397554176335701		SimpleArgument(Just Knut Qvigstad,List([0, 18)))	Relation(was,List([51, 54)))	SimpleArgument(a Norwegian engineer,List([55, 75)))	Just Knut Qvigstad (20 December 1902 – 6 May 2001) was a Norwegian engineer.
0.3497525988439521		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(was born as,List([3, 11), [22, 24)))	SimpleArgument(a politician,List([25, 37)))	He was born in Tromsø as a son of educator and politician Just Knud Qvigstad (1853–1957) and Margrethe Antonette Aagaard (1859–1949).
0.3497525988439521		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(was born as,List([3, 11), [22, 24)))	SimpleArgument(a son of educator,List([25, 42)))	He was born in Tromsø as a son of educator and politician Just Knud Qvigstad (1853–1957) and Margrethe Antonette Aagaard (1859–1949).
0.4978219019954182		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(was born in,List([3, 11), [12, 14)))	SpatialArgument(Tromsø,List([15, 21)))	He was born in Tromsø as a son of educator and politician Just Knud Qvigstad (1853–1957) and Margrethe Antonette Aagaard (1859–1949).
0.29886655727758943		SimpleArgument(a Norwegian engineer,List([8, 10)))	Relation(married Gunvor Wefring In,List([0, 2), [11, 25), [26, 33)))	TemporalArgument(1933,List([3, 7)))	In 1933 he married Gunvor Wefring (1909-1963).
0.4978219019954182		SimpleArgument(a Norwegian engineer,List([8, 10)))	Relation(married,List([11, 18)))	SimpleArgument(Gunvor Wefring,List([19, 33)))	In 1933 he married Gunvor Wefring (1909-1963).
0.15939332484157967		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(graduated from the Norwegian Institute of Technology in,List([3, 12), [39, 81), [82, 84)))	TemporalArgument(1928,List([85, 89)))	He enrolled as a student in 1921, and graduated in electrical engineering from the Norwegian Institute of Technology in 1928.
0.3929209860966329		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(graduated from,List([3, 12), [39, 43)))	SimpleArgument(the Norwegian Institute of Technology,List([44, 81)))	He enrolled as a student in 1921, and graduated in electrical engineering from the Norwegian Institute of Technology in 1928.
0.22506131975927415		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(enrolled as a student in,List([3, 11), [12, 24), [25, 27)))	TemporalArgument(1921,List([28, 32)))	He enrolled as a student in 1921, and graduated in electrical engineering from the Norwegian Institute of Technology in 1928.
0.45170382506656653		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(enrolled as,List([3, 11), [12, 14)))	SimpleArgument(a student,List([15, 24)))	He enrolled as a student in 1921, and graduated in electrical engineering from the Norwegian Institute of Technology in 1928.
0.6138676038426771		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(worked as,List([3, 9), [10, 12)))	SimpleArgument(an assistant at the Norwegian Institute of Technology from 1929,List([13, 76)))	He worked in AEG from 1928, and as an assistant at the Norwegian Institute of Technology from 1929.
0.15939332484157967		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(worked from,List([3, 9), [17, 21)))	TemporalArgument(1928,List([22, 26)))	He worked in AEG from 1928, and as an assistant at the Norwegian Institute of Technology from 1929.
0.4978219019954182		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(worked in,List([3, 9), [10, 12)))	SpatialArgument(AEG,List([13, 16)))	He worked in AEG from 1928, and as an assistant at the Norwegian Institute of Technology from 1929.
