0.9712589895050779		"SimpleArgument(William ""Willie"" D. Davenport (June 8, 1943,List([0, 43)))"	Relation(was,List([61, 64)))	SimpleArgument(an American sprint runner,List([65, 90)))	"William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002) was an American sprint runner."
0.4978219019954182		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(attended a college at,List([3, 11), [12, 21), [22, 24)))	SpatialArgument(A&M College in Baton Rouge,List([25, 51)))	He attended Howland High School and a college at Southern University and A&M College in Baton Rouge, Louisiana.
0.45170382506656653		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(attended,List([3, 11)))	SimpleArgument(a college,List([12, 21)))	He attended Howland High School and a college at Southern University and A&M College in Baton Rouge, Louisiana.
0.4978219019954182		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(attended,List([3, 11)))	SimpleArgument(a college at Southern University,List([12, 44)))	He attended Howland High School and a college at Southern University and A&M College in Baton Rouge, Louisiana.
0.4978219019954182		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(attended,List([3, 11)))	SimpleArgument(Howland High School,List([12, 31)))	He attended Howland High School and a college at Southern University and A&M College in Baton Rouge, Louisiana.
0.332563478582812		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed at,List([3, 11), [34, 36)))	SpatialArgument(the 1976 Summer Olympics,List([37, 61)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.332563478582812		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed at,List([3, 11), [34, 36)))	SpatialArgument(the 1972 Summer Olympics,List([37, 61)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.332563478582812		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed at,List([3, 11), [34, 36)))	SpatialArgument(the 1968 Summer Olympics,List([37, 61)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.3458137171542221		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed,List([3, 11)))	SimpleArgument(winning a bronze in finishing fourth in 1972,List([64, 108)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.4587985155372946		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed,List([3, 11)))	SimpleArgument(winning a gold medal in 1968 in finishing fourth in 1972,List([64, 120)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.1273814832686296	Context(He competed,List([0, 11)))	"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed winning a bronze in,List([3, 11), [64, 71), [72, 80), [81, 83)))	TemporalArgument(1976,List([84, 88)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.292827695956731	Context(He competed,List([0, 11)))	"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed winning,List([3, 11), [64, 71)))	SimpleArgument(a bronze,List([72, 80)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.3458137171542221		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed,List([3, 11)))	SimpleArgument(winning a bronze in 1976,List([64, 88)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.1273814832686296	Context(He competed,List([0, 11)))	"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed winning a gold medal in,List([3, 11), [64, 71), [72, 84), [93, 95)))	TemporalArgument(1976,List([96, 100)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.1273814832686296	Context(He competed,List([0, 11)))	"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed winning a gold medal in,List([3, 11), [64, 71), [72, 84), [85, 87)))	TemporalArgument(1968,List([88, 92)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
