0.9670538616899376		SimpleArgument(Brian,List([0, 5)))	Relation(has,List([6, 9)))	SimpleArgument(a wealth of international experience as a Medtech business leader,List([10, 75)))	Brian has a wealth of international experience as a Medtech business leader.
0.3929209860966329		SimpleArgument(Brian Howlett Brian,List([0, 2)))	Relation(became Chairman from,List([3, 9), [10, 18), [31, 35)))	TemporalArgument(November 2011,List([36, 49)))	He was appointed to the Board as Non-Executive Director in early 2010 and became Chairman with effect from November 2011.
0.4978219019954182		SimpleArgument(Brian Howlett Brian,List([0, 2)))	Relation(became,List([3, 9)))	SimpleArgument(Chairman,List([10, 18)))	He was appointed to the Board as Non-Executive Director in early 2010 and became Chairman with effect from November 2011.
0.15939332484157967		SimpleArgument(Brian Howlett Brian,List([0, 2)))	Relation(was appointed to the Board in,List([3, 16), [17, 29), [56, 58)))	TemporalArgument(early 2010,List([59, 69)))	He was appointed to the Board as Non-Executive Director in early 2010 and became Chairman with effect from November 2011.
0.4978219019954182		SimpleArgument(Brian Howlett Brian,List([0, 2)))	Relation(was appointed to the Board as,List([3, 16), [17, 29), [30, 32)))	SimpleArgument(Non-Executive Director,List([33, 55)))	He was appointed to the Board as Non-Executive Director in early 2010 and became Chairman with effect from November 2011.
0.4978219019954182		SimpleArgument(Brian Howlett Brian,List([0, 2)))	Relation(was appointed to,List([3, 16), [17, 19)))	SimpleArgument(the Board,List([20, 29)))	He was appointed to the Board as Non-Executive Director in early 2010 and became Chairman with effect from November 2011.
0.38089450366724514		SimpleArgument(Lombard Medical Technologies PLC,List([23, 55)))	Relation([is] an listed company [of],List([64, 78)))	SimpleArgument(AIM,List([60, 63)))	He was formerly CEO of Lombard Medical Technologies PLC, an AIM listed company.
0.38089450366724514		SimpleArgument(Lombard Medical Technologies PLC,List([23, 55)))	Relation([is],List([23, 55)))	SimpleArgument(an AIM listed company,List([57, 78)))	He was formerly CEO of Lombard Medical Technologies PLC, an AIM listed company.
0.5229421046090251		SimpleArgument(Brian Howlett Brian,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(CEO of Lombard Medical Technologies PLC,List([16, 55)))	He was formerly CEO of Lombard Medical Technologies PLC, an AIM listed company.
0.2724783810037946		SimpleArgument(Brian Howlett Brian,List([0, 2)))	Relation(was CEO of Lombard Medical Technologies PLC,List([3, 6), [16, 55)))	TemporalArgument(formerly,List([7, 15)))	He was formerly CEO of Lombard Medical Technologies PLC, an AIM listed company.
0.38089450366724514		SimpleArgument(Managing Director Area Director North Europe Fisons plc,List([82, 137)))	Relation([is] General Manager of,List([39, 57)))	SimpleArgument(Boston Scientific Ltd,List([58, 79)))	Previous corporate experience includes General Manager of Boston Scientific Ltd, Managing Director of Cobe Laboratories Ltd, and Area Director North Europe Fisons plc.
0.38089450366724514		SimpleArgument(North Europe Fisons plc,List([114, 137)))	Relation([is] Director [of],List([105, 113)))	SimpleArgument(Managing Director Area,List([82, 104)))	Previous corporate experience includes General Manager of Boston Scientific Ltd, Managing Director of Cobe Laboratories Ltd, and Area Director North Europe Fisons plc.
0.38089450366724514		SimpleArgument(Boston Scientific Ltd,List([58, 79)))	Relation([is] Managing Director of,List([82, 102)))	SimpleArgument(Cobe Laboratories Ltd,List([103, 124)))	Previous corporate experience includes General Manager of Boston Scientific Ltd, Managing Director of Cobe Laboratories Ltd, and Area Director North Europe Fisons plc.
0.9250606141558615		SimpleArgument(Previous corporate experience,List([0, 29)))	Relation(includes,List([30, 38)))	SimpleArgument(General Manager of Boston Scientific Ltd,List([39, 79)))	Previous corporate experience includes General Manager of Boston Scientific Ltd, Managing Director of Cobe Laboratories Ltd, and Area Director North Europe Fisons plc.
0.9484177987969541		SimpleArgument(Brian Howlett Brian,List([42, 47)))	Relation(is also,List([48, 55)))	SimpleArgument(a member of the board of four other emerging medtech companies,List([56, 118)))	In addition to Michelson Diagnostics Ltd, Brian is also a member of the board of four other emerging medtech companies.
