0.8560934582575079		SimpleArgument(Major Appliances Sales & Service,List([0, 32)))	Relation(Established in,List([33, 44), [45, 47)))	TemporalArgument(1972,List([48, 52)))	Major Appliances Sales & Service Established in 1972.
0.9197759696552441		SimpleArgument(Bedding,List([18, 25)))	Relation(grew from a one - shop operation in Daytona Beach to,List([26, 30), [31, 75), [76, 78)))	SimpleArgument(a five - store favorite,List([79, 102)))	Founded in 1972, John's Appliance and Bedding grew from a one-shop operation in Daytona Beach to a five-store favorite with locations in Daytona Beach, Palm Coast, Orange City, New Smyrna Beach and Altamonte Springs.
0.9324144673478683		SimpleArgument(Bedding,List([18, 25)))	Relation(grew from,List([26, 30), [31, 35)))	SimpleArgument(a one - shop operation in Daytona Beach,List([36, 75)))	Founded in 1972, John's Appliance and Bedding grew from a one-shop operation in Daytona Beach to a five-store favorite with locations in Daytona Beach, Palm Coast, Orange City, New Smyrna Beach and Altamonte Springs.
0.9329286852051247		SimpleArgument(John 's Appliance,List([18, 35)))	Relation(grew from a one - shop operation in Daytona Beach to,List([36, 40), [41, 85), [86, 88)))	SimpleArgument(a five - store favorite,List([89, 112)))	Founded in 1972, John's Appliance and Bedding grew from a one-shop operation in Daytona Beach to a five-store favorite with locations in Daytona Beach, Palm Coast, Orange City, New Smyrna Beach and Altamonte Springs.
0.9436221120476838		SimpleArgument(John 's Appliance,List([18, 35)))	Relation(grew from,List([36, 40), [41, 45)))	SimpleArgument(a one - shop operation in Daytona Beach,List([46, 85)))	Founded in 1972, John's Appliance and Bedding grew from a one-shop operation in Daytona Beach to a five-store favorite with locations in Daytona Beach, Palm Coast, Orange City, New Smyrna Beach and Altamonte Springs.
0.22540973708713252	Context(we offer,List([38, 50)))	SimpleArgument(we,List([38, 40)))	Relation(offer an in-house service department to keep,List([45, 50), [51, 62)))	SimpleArgument(your appliances running smoothly,List([90, 122)))	With roots in major home appliances, we now offer mattresses, cabinets and countertops, as well as an in-house service department to keep your appliances running smoothly.
0.25239008486941794		SimpleArgument(we,List([38, 40)))	Relation(offer an in-house service department,List([45, 50), [51, 81)))	TemporalArgument(now,List([41, 44)))	With roots in major home appliances, we now offer mattresses, cabinets and countertops, as well as an in-house service department to keep your appliances running smoothly.
0.3490079869984017		SimpleArgument(we,List([38, 40)))	Relation(offer,List([45, 50)))	SimpleArgument(an in-house service department,List([51, 81)))	With roots in major home appliances, we now offer mattresses, cabinets and countertops, as well as an in-house service department to keep your appliances running smoothly.
0.25239008486941794		SimpleArgument(we,List([38, 40)))	Relation(offer countertops to keep your appliances running smoothly,List([45, 50), [51, 103)))	TemporalArgument(now,List([41, 44)))	With roots in major home appliances, we now offer mattresses, cabinets and countertops, as well as an in-house service department to keep your appliances running smoothly.
0.22540973708713252		SimpleArgument(we,List([38, 40)))	Relation(offer,List([45, 50)))	SimpleArgument(countertops to keep your appliances running smoothly,List([51, 103)))	With roots in major home appliances, we now offer mattresses, cabinets and countertops, as well as an in-house service department to keep your appliances running smoothly.
0.25239008486941794		SimpleArgument(we,List([38, 40)))	Relation(offer cabinets to keep your appliances running smoothly,List([45, 50), [51, 100)))	TemporalArgument(now,List([41, 44)))	With roots in major home appliances, we now offer mattresses, cabinets and countertops, as well as an in-house service department to keep your appliances running smoothly.
0.22540973708713252		SimpleArgument(we,List([38, 40)))	Relation(offer,List([45, 50)))	SimpleArgument(cabinets to keep your appliances running smoothly,List([51, 100)))	With roots in major home appliances, we now offer mattresses, cabinets and countertops, as well as an in-house service department to keep your appliances running smoothly.
0.15966102676195504	Context(we offer,List([38, 50)))	SimpleArgument(we,List([38, 40)))	Relation(offer to keep,List([45, 50), [62, 69)))	SimpleArgument(your appliances,List([70, 85)))	With roots in major home appliances, we now offer mattresses, cabinets and countertops, as well as an in-house service department to keep your appliances running smoothly.
0.25239008486941794		SimpleArgument(we,List([38, 40)))	Relation(offer mattresses to keep your appliances running smoothly,List([45, 50), [51, 102)))	TemporalArgument(now,List([41, 44)))	With roots in major home appliances, we now offer mattresses, cabinets and countertops, as well as an in-house service department to keep your appliances running smoothly.
0.22540973708713252		SimpleArgument(we,List([38, 40)))	Relation(offer,List([45, 50)))	SimpleArgument(mattresses to keep your appliances running smoothly,List([51, 102)))	With roots in major home appliances, we now offer mattresses, cabinets and countertops, as well as an in-house service department to keep your appliances running smoothly.
0.940179316844351		SimpleArgument(owner John Hinton,List([19, 36)))	Relation(began what is now known as Bedding At,List([0, 2), [76, 102), [103, 110)))	TemporalArgument(the age of 19,List([3, 16)))	At the age of 19, owner John Hinton, Jr. started fixing appliances after long days of fishing, and began what is now known as John's Appliance and Bedding.
0.9159103568718928		SimpleArgument(owner John Hinton,List([19, 36)))	Relation(began,List([76, 81)))	SimpleArgument(what is now known as Bedding,List([82, 110)))	At the age of 19, owner John Hinton, Jr. started fixing appliances after long days of fishing, and began what is now known as John's Appliance and Bedding.
0.940179316844351		SimpleArgument(owner John Hinton,List([19, 36)))	Relation(began what is now known as John 's Appliance At,List([0, 2), [76, 110), [111, 120)))	TemporalArgument(the age of 19,List([3, 16)))	At the age of 19, owner John Hinton, Jr. started fixing appliances after long days of fishing, and began what is now known as John's Appliance and Bedding.
0.9159103568718928		SimpleArgument(owner John Hinton,List([19, 36)))	Relation(began,List([76, 81)))	SimpleArgument(what is now known as John 's Appliance,List([82, 120)))	At the age of 19, owner John Hinton, Jr. started fixing appliances after long days of fishing, and began what is now known as John's Appliance and Bedding.
0.9005148831055199	Context(owner John Hinton started,List([19, 51)))	SimpleArgument(owner John Hinton,List([19, 36)))	Relation(started fixing,List([44, 51), [52, 58)))	SimpleArgument(appliances,List([59, 69)))	At the age of 19, owner John Hinton, Jr. started fixing appliances after long days of fishing, and began what is now known as John's Appliance and Bedding.
0.940179316844351		SimpleArgument(owner John Hinton,List([19, 36)))	Relation(started fixing appliances At,List([0, 2), [44, 58), [59, 69)))	TemporalArgument(the age of 19,List([3, 16)))	At the age of 19, owner John Hinton, Jr. started fixing appliances after long days of fishing, and began what is now known as John's Appliance and Bedding.
0.9005148831055199		SimpleArgument(owner John Hinton,List([19, 36)))	Relation(started,List([44, 51)))	SimpleArgument(fixing appliances,List([52, 69)))	At the age of 19, owner John Hinton, Jr. started fixing appliances after long days of fishing, and began what is now known as John's Appliance and Bedding.
0.6420236436771103		SimpleArgument(his father,List([35, 45)))	Relation(owned,List([51, 56)))	SimpleArgument(Halifax Appliances,List([57, 75)))	John learned about appliances from his father, who owned Halifax Appliances.
0.7620599808598616		SimpleArgument(John,List([0, 4)))	Relation(learned about appliances from,List([5, 12), [13, 29), [30, 34)))	SimpleArgument(his father,List([35, 45)))	John learned about appliances from his father, who owned Halifax Appliances.
0.8550806581371961		SimpleArgument(John,List([0, 4)))	Relation(learned about,List([5, 12), [13, 18)))	SimpleArgument(appliances,List([19, 29)))	John learned about appliances from his father, who owned Halifax Appliances.
0.38089450366724514		SimpleArgument(John,List([27, 31)))	Relation([is] lifelong native [of],List([19, 25)))	SimpleArgument(Daytona,List([11, 18)))	A lifelong Daytona native, John has a passion for supporting the local community.
0.8867237254315935		SimpleArgument(John,List([27, 31)))	Relation(has,List([32, 35)))	SimpleArgument(a passion for supporting the local community,List([36, 80)))	A lifelong Daytona native, John has a passion for supporting the local community.
