0.9200670305052535		SimpleArgument(the Managing Director of CMR India,List([11, 45)))	Relation(based out,List([46, 51), [52, 55)))	SimpleArgument(of Gurgaon,List([56, 66)))	Pradeep is the Managing Director of CMR India based out of Gurgaon (near New Delhi).
0.9670538616899376		SimpleArgument(Pradeep,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(the Managing Director of CMR India based out of Gurgaon (near New Delhi,List([11, 82)))	Pradeep is the Managing Director of CMR India based out of Gurgaon (near New Delhi).
0.8847999636040884		SimpleArgument(Pradeep Gupta Pradeep,List([0, 2)))	Relation(is Chairman of,List([3, 17)))	SimpleArgument(Cyber Media ( India ) Ltd.,List([18, 42)))	He is Chairman of Cyber Media (India) Ltd., South Asia's leading specialty media house, which publishes nine titles including Dataquest, PCQuest, Voice&Data, Living Digital (LD2.in),
0.38089450366724514		SimpleArgument(PCQuest,List([137, 144)))	Relation([is],List([137, 144)))	SimpleArgument(Voice,List([146, 151)))	He is Chairman of Cyber Media (India) Ltd., South Asia's leading specialty media house, which publishes nine titles including Dataquest, PCQuest, Voice&Data, Living Digital (LD2.in),
0.9709269662048108		SimpleArgument(South Asia's leading specialty media house,List([44, 86)))	Relation(publishes,List([94, 103)))	SimpleArgument(nine titles including Dataquest, PCQuest, Voice&Data, Living Digital,List([104, 172)))	He is Chairman of Cyber Media (India) Ltd., South Asia's leading specialty media house, which publishes nine titles including Dataquest, PCQuest, Voice&Data, Living Digital (LD2.in),
0.5680679595514976		SimpleArgument(Pradeep Gupta Pradeep,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(Chairman of Cyber Media (India) Ltd.,List([6, 42)))	He is Chairman of Cyber Media (India) Ltd., South Asia's leading specialty media house, which publishes nine titles including Dataquest, PCQuest, Voice&Data, Living Digital (LD2.in),
0.9760000109672546		SimpleArgument(BioSpectrum Asia Edition,List([0, 0)))	Relation(has a combined reader base of,List([0, 0)))	SimpleArgument(1.5 million,List(null))	Global Services and BioSpectrum Asia Edition with a combined reader base of 1.5 million.
0.9670538616899376		SimpleArgument(CyberMedia,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(an integrated media group with presence in Market Media Publishing,List([14, 80)))	CyberMedia is an integrated media group with presence in Market Research, Consulting and Advisory Services, Media BPO Services, Events, TV, Online Portals, and Media Publishing.
0.9670538616899376		SimpleArgument(CyberMedia,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(an integrated media group with presence in Market Online Portals,List([14, 78)))	CyberMedia is an integrated media group with presence in Market Research, Consulting and Advisory Services, Media BPO Services, Events, TV, Online Portals, and Media Publishing.
0.9383119524695255		SimpleArgument(CyberMedia,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(an integrated media group with presence in TV,List([14, 59)))	CyberMedia is an integrated media group with presence in Market Research, Consulting and Advisory Services, Media BPO Services, Events, TV, Online Portals, and Media Publishing.
0.9481947648689547		SimpleArgument(CyberMedia,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(an integrated media group with presence in Market Events,List([14, 70)))	CyberMedia is an integrated media group with presence in Market Research, Consulting and Advisory Services, Media BPO Services, Events, TV, Online Portals, and Media Publishing.
0.9670538616899376		SimpleArgument(CyberMedia,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(an integrated media group with presence in Market Media BPO Services,List([14, 82)))	CyberMedia is an integrated media group with presence in Market Research, Consulting and Advisory Services, Media BPO Services, Events, TV, Online Portals, and Media Publishing.
0.9670538616899376		SimpleArgument(CyberMedia,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(an integrated media group with presence in Market Advisory Services,List([14, 81)))	CyberMedia is an integrated media group with presence in Market Research, Consulting and Advisory Services, Media BPO Services, Events, TV, Online Portals, and Media Publishing.
