0.8847999636040884		SimpleArgument(I,List({0}))	Relation(am a Lecturer in,List([2, 18)))	SimpleArgument(Economics,List([19, 28)))	I am a Lecturer in Economics in the School of Economics in University College Cork, Ireland.
0.6783685094789625		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(a Lecturer in Economics in the School of Economics in University College Cork,List([5, 82)))	I am a Lecturer in Economics in the School of Economics in University College Cork, Ireland.
0.6138676038426771		SimpleArgument(I,List({0}))	Relation(have published my research in,List([2, 16), [17, 28), [29, 31)))	SpatialArgument(journals such as Spatial Economic Analysis , Papers in Regional Development among others,List([32, 120)))	I have published my research in journals such as Spatial Economic Analysis, Papers in Regional Science, Industry and Innovation and Entrepreneurship and Regional Development among others.
0.6138676038426771		SimpleArgument(I,List({0}))	Relation(have published my research in,List([2, 16), [17, 28), [29, 31)))	SpatialArgument(journals such as Spatial Economic Analysis , Papers in Entrepreneurship,List([32, 103)))	I have published my research in journals such as Spatial Economic Analysis, Papers in Regional Science, Industry and Innovation and Entrepreneurship and Regional Development among others.
0.6138676038426771		SimpleArgument(I,List({0}))	Relation(have published my research in,List([2, 16), [17, 28), [29, 31)))	SpatialArgument(journals such as Spatial Economic Analysis , Papers in Innovation,List([32, 97)))	I have published my research in journals such as Spatial Economic Analysis, Papers in Regional Science, Industry and Innovation and Entrepreneurship and Regional Development among others.
0.6138676038426771		SimpleArgument(I,List({0}))	Relation(have published my research in,List([2, 16), [17, 28), [29, 31)))	SpatialArgument(journals such as Spatial Economic Analysis , Papers in Industry,List([32, 95)))	I have published my research in journals such as Spatial Economic Analysis, Papers in Regional Science, Industry and Innovation and Entrepreneurship and Regional Development among others.
0.6138676038426771		SimpleArgument(I,List({0}))	Relation(have published my research in,List([2, 16), [17, 28), [29, 31)))	SpatialArgument(journals such as Spatial Economic Analysis , Papers in Regional Science,List([32, 103)))	I have published my research in journals such as Spatial Economic Analysis, Papers in Regional Science, Industry and Innovation and Entrepreneurship and Regional Development among others.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(have published,List([2, 16)))	SimpleArgument(my research,List([17, 28)))	I have published my research in journals such as Spatial Economic Analysis, Papers in Regional Science, Industry and Innovation and Entrepreneurship and Regional Development among others.
0.6783685094789625		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(an active member of the Regional Science Association International ( Irish Section,List([5, 87)))	I am an active member of the Regional Science Association International (British and Irish Section) and the Regional Studies Association.
0.5680679595514976		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(an active member of the Regional Science Association International,List([5, 71)))	I am an active member of the Regional Science Association International (British and Irish Section) and the Regional Studies Association.
0.5680679595514976		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(an active member of the Regional Studies Association,List([5, 57)))	I am an active member of the Regional Science Association International (British and Irish Section) and the Regional Studies Association.
