0.913197594301744		SimpleArgument(a Hungarian - British polymath,List([63, 93)))	Relation(made,List([100, 104)))	SimpleArgument(important theoretical contributions to philosophy,List([105, 154)))	Michael Polanyi, FRS (11 March 1891 – 22 February 1976) was a Hungarian-British polymath, who made important theoretical contributions to physical chemistry, economics, and philosophy.
0.9578269517037165		SimpleArgument(Michael Polanyi,List([0, 15)))	Relation(was,List([59, 62)))	SimpleArgument(a Hungarian - British polymath , who made important theoretical contributions to philosophy,List([63, 154)))	Michael Polanyi, FRS (11 March 1891 – 22 February 1976) was a Hungarian-British polymath, who made important theoretical contributions to physical chemistry, economics, and philosophy.
0.913197594301744		SimpleArgument(a Hungarian - British polymath,List([63, 93)))	Relation(made,List([100, 104)))	SimpleArgument(important theoretical contributions to economics,List([105, 153)))	Michael Polanyi, FRS (11 March 1891 – 22 February 1976) was a Hungarian-British polymath, who made important theoretical contributions to physical chemistry, economics, and philosophy.
0.9578269517037165		SimpleArgument(Michael Polanyi,List([0, 15)))	Relation(was,List([59, 62)))	SimpleArgument(a Hungarian - British polymath , who made important theoretical contributions to economics,List([63, 153)))	Michael Polanyi, FRS (11 March 1891 – 22 February 1976) was a Hungarian-British polymath, who made important theoretical contributions to physical chemistry, economics, and philosophy.
0.913197594301744		SimpleArgument(a Hungarian - British polymath,List([63, 93)))	Relation(made,List([100, 104)))	SimpleArgument(important theoretical contributions to physical chemistry,List([105, 162)))	Michael Polanyi, FRS (11 March 1891 – 22 February 1976) was a Hungarian-British polymath, who made important theoretical contributions to physical chemistry, economics, and philosophy.
0.9578269517037165		SimpleArgument(Michael Polanyi,List([0, 15)))	Relation(was,List([59, 62)))	SimpleArgument(a Hungarian - British polymath , who made important theoretical contributions to physical chemistry,List([63, 162)))	Michael Polanyi, FRS (11 March 1891 – 22 February 1976) was a Hungarian-British polymath, who made important theoretical contributions to physical chemistry, economics, and philosophy.
0.8841370474452133		SimpleArgument(that positivism supplies a false account of knowing,List([10, 61)))	Relation(undermines,List([88, 98)))	SimpleArgument(our highest achievements as human beings,List([99, 139)))	He argued that positivism supplies a false account of knowing, which if taken seriously undermines our highest achievements as human beings.
0.41763505952380825		SimpleArgument(Michael Polanyi Michael Polanyi, FRS (11 March 1891 – 22 February 1976),List([0, 2)))	Relation(argued that,List([3, 9), [10, 14)))	SimpleArgument(positivism supplies a false account of knowing, which if taken seriously undermines our highest achievements as human beings,List([15, 139)))	He argued that positivism supplies a false account of knowing, which if taken seriously undermines our highest achievements as human beings.
0.721851211023842		SimpleArgument(His wide-ranging research in physical science,List([0, 45)))	Relation(included,List([46, 54)))	SimpleArgument(adsorption of gases,List([55, 74)))	His wide-ranging research in physical science included chemical kinetics, x-ray diffraction, and adsorption of gases.
0.721851211023842		SimpleArgument(His wide-ranging research in physical science,List([0, 45)))	Relation(included,List([46, 54)))	SimpleArgument(x-ray diffraction,List([55, 72)))	His wide-ranging research in physical science included chemical kinetics, x-ray diffraction, and adsorption of gases.
0.721851211023842		SimpleArgument(His wide-ranging research in physical science,List([0, 45)))	Relation(included,List([46, 54)))	SimpleArgument(chemical kinetics,List([55, 72)))	His wide-ranging research in physical science included chemical kinetics, x-ray diffraction, and adsorption of gases.
0.5691839633287576		SimpleArgument(Michael Polanyi Michael Polanyi, FRS (11 March 1891 – 22 February 1976),List([0, 2)))	Relation(pioneered,List([3, 12)))	SimpleArgument(the theory of fibre diffraction analysis in 1921 , and the dislocation theory of plastic deformation of other materials in 1934,List([13, 140)))	He pioneered the theory of fibre diffraction analysis in 1921, and the dislocation theory of plastic deformation of ductile metals and other materials in 1934.
0.5691839633287576		SimpleArgument(Michael Polanyi Michael Polanyi, FRS (11 March 1891 – 22 February 1976),List([0, 2)))	Relation(pioneered,List([3, 12)))	SimpleArgument(the theory of fibre diffraction analysis in 1921 , and the dislocation theory of plastic deformation of ductile metals in 1934,List([13, 139)))	He pioneered the theory of fibre diffraction analysis in 1921, and the dislocation theory of plastic deformation of ductile metals and other materials in 1934.
0.5733539311623552		SimpleArgument(Michael Polanyi Michael Polanyi, FRS (11 March 1891 – 22 February 1976),List([0, 2)))	Relation(becoming,List([33, 41)))	SimpleArgument(a chemistry professor at the Kaiser Wilhelm Institute in Berlin,List([42, 105)))	He emigrated to Germany, in 1926 becoming a chemistry professor at the Kaiser Wilhelm Institute in Berlin, and then in 1933 to England, becoming first a chemistry professor, and then a social sciences professor at the University of Manchester.
0.5699038993321599		SimpleArgument(Michael Polanyi Michael Polanyi, FRS (11 March 1891 – 22 February 1976),List([0, 2)))	Relation(emigrated to Germany,List([3, 12), [13, 23)))	SimpleArgument(then in 1933 to England, becoming first a chemistry professor,List([111, 172)))	He emigrated to Germany, in 1926 becoming a chemistry professor at the Kaiser Wilhelm Institute in Berlin, and then in 1933 to England, becoming first a chemistry professor, and then a social sciences professor at the University of Manchester.
0.5699038993321599		SimpleArgument(Michael Polanyi Michael Polanyi, FRS (11 March 1891 – 22 February 1976),List([0, 2)))	Relation(emigrated to Germany,List([3, 12), [13, 23)))	SimpleArgument(becoming a chemistry professor at the Kaiser Wilhelm Institute in Berlin,List([33, 105)))	He emigrated to Germany, in 1926 becoming a chemistry professor at the Kaiser Wilhelm Institute in Berlin, and then in 1933 to England, becoming first a chemistry professor, and then a social sciences professor at the University of Manchester.
0.15939332484157967		SimpleArgument(Michael Polanyi Michael Polanyi, FRS (11 March 1891 – 22 February 1976),List([0, 2)))	Relation(emigrated to Germany in,List([3, 12), [13, 23), [25, 27)))	TemporalArgument(1926,List([28, 32)))	He emigrated to Germany, in 1926 becoming a chemistry professor at the Kaiser Wilhelm Institute in Berlin, and then in 1933 to England, becoming first a chemistry professor, and then a social sciences professor at the University of Manchester.
0.4978219019954182		SimpleArgument(Michael Polanyi Michael Polanyi, FRS (11 March 1891 – 22 February 1976),List([0, 2)))	Relation(emigrated to,List([3, 12), [13, 15)))	SimpleArgument(Germany,List([16, 23)))	He emigrated to Germany, in 1926 becoming a chemistry professor at the Kaiser Wilhelm Institute in Berlin, and then in 1933 to England, becoming first a chemistry professor, and then a social sciences professor at the University of Manchester.
0.7202040575434281		SimpleArgument(Two of his son,List([0, 14)))	Relation(won Nobel Prizes in,List([15, 18), [19, 31), [32, 34)))	SpatialArgument(Chemistry,List([35, 44)))	Two of his pupils and his son won Nobel Prizes in Chemistry.
0.7734962407909693		SimpleArgument(Two of his son,List([0, 14)))	Relation(won,List([15, 18)))	SimpleArgument(Nobel Prizes,List([19, 31)))	Two of his pupils and his son won Nobel Prizes in Chemistry.
0.7202040575434281		SimpleArgument(Two of his pupils,List([0, 17)))	Relation(won Nobel Prizes in,List([18, 21), [22, 34), [35, 37)))	SpatialArgument(Chemistry,List([38, 47)))	Two of his pupils and his son won Nobel Prizes in Chemistry.
0.7734962407909693		SimpleArgument(Two of his pupils,List([0, 17)))	Relation(won,List([18, 21)))	SimpleArgument(Nobel Prizes,List([22, 34)))	Two of his pupils and his son won Nobel Prizes in Chemistry.
0.9919999837875366		SimpleArgument(1944 polanyi,List([0, 0)))	Relation(was elected to,List([0, 0)))	SimpleArgument(the Royal Society,List(null))	In 1944 Polanyi was elected to the Royal Society.
0.8557456177405949		SimpleArgument(Polanyi,List([8, 15)))	Relation(was elected to the Royal Society In,List([0, 19), [20, 40), [41, 48)))	TemporalArgument(1944,List([3, 7)))	In 1944 Polanyi was elected to the Royal Society.
0.9324144673478683		SimpleArgument(Polanyi,List([8, 15)))	Relation(was elected to,List([16, 27), [28, 30)))	SimpleArgument(the Royal Society,List([31, 48)))	In 1944 Polanyi was elected to the Royal Society.
0.9101190763022154		SimpleArgument(The contributions which Polanyi made to the social sciences, for example his application of the concept of a polycentric spontaneous order to intellectual inquiry,List([0, 162)))	Relation(were developed in,List([164, 178), [179, 181)))	SpatialArgument(the context of his opposition to central planning,List([182, 231)))	The contributions which Polanyi made to the social sciences, for example his application of the concept of a polycentric spontaneous order to intellectual inquiry, were developed in the context of his opposition to central planning.
0.9197759696552441		SimpleArgument(Polanyi,List([24, 31)))	Relation(made to,List([32, 36), [37, 39)))	SimpleArgument(the social sciences,List([40, 59)))	The contributions which Polanyi made to the social sciences, for example his application of the concept of a polycentric spontaneous order to intellectual inquiry, were developed in the context of his opposition to central planning.
