0.9397554176335701		SimpleArgument(Bassem I. Awadallah,List([0, 19)))	Relation(is,List([58, 60)))	SimpleArgument(a Jordanian public figure,List([61, 86)))	Bassem I. Awadallah (Arabic: باسم عوض الله; born in 1964) is a Jordanian public figure.
0.6138676038426771		SimpleArgument(Bassem Awadallah Bassem I. Awadallah (Arabic: باسم عوض الله; born in 1964),List([0, 2)))	Relation(serves as,List([3, 9), [10, 12)))	SimpleArgument(a Member of the Board of Directors of Al Baraka Banking Group in Bahrain,List([13, 85)))	He is currently the Chief Executive Officer of Tomoh Advisory, based in Dubai, UAE and serves as a Member of the Board of Directors of Al Baraka Banking Group in Bahrain.
0.9541798734941929		SimpleArgument(the Chief Executive Officer of Tomoh Advisory,List([16, 61)))	Relation(based in,List([64, 69), [70, 72)))	SpatialArgument(Dubai,List([73, 78)))	He is currently the Chief Executive Officer of Tomoh Advisory, based in Dubai, UAE and serves as a Member of the Board of Directors of Al Baraka Banking Group in Bahrain.
0.5229421046090251		SimpleArgument(Bassem Awadallah Bassem I. Awadallah (Arabic: باسم عوض الله; born in 1964),List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(the Chief Executive Officer of Tomoh Advisory,List([16, 61)))	He is currently the Chief Executive Officer of Tomoh Advisory, based in Dubai, UAE and serves as a Member of the Board of Directors of Al Baraka Banking Group in Bahrain.
0.22015391053105568		SimpleArgument(Bassem Awadallah Bassem I. Awadallah (Arabic: باسم عوض الله; born in 1964),List([0, 2)))	Relation(is the Chief Executive Officer of Tomoh Advisory,List([3, 5), [16, 61)))	TemporalArgument(currently,List([6, 15)))	He is currently the Chief Executive Officer of Tomoh Advisory, based in Dubai, UAE and serves as a Member of the Board of Directors of Al Baraka Banking Group in Bahrain.
0.8872626343557611		SimpleArgument(Awadallah,List([8, 17)))	Relation(was appointed Chief of the Royal Hashemite Court of Jordan In,List([0, 21), [22, 69), [70, 76)))	TemporalArgument(2006,List([3, 7)))	In 2006 Awadallah was appointed as the Director of the Office of His Majesty King Abdullah II and was appointed Chief of the Royal Hashemite Court of Jordan in 2007.
0.8016573080327372		SimpleArgument(Awadallah,List([8, 17)))	Relation(was appointed Chief of the Royal Hashemite Court of Jordan in,List([18, 31), [32, 76), [77, 79)))	TemporalArgument(2007,List([80, 84)))	In 2006 Awadallah was appointed as the Director of the Office of His Majesty King Abdullah II and was appointed Chief of the Royal Hashemite Court of Jordan in 2007.
0.9324144673478683		SimpleArgument(Awadallah,List([8, 17)))	Relation(was appointed,List([18, 31)))	SimpleArgument(Chief of the Royal Hashemite Court of Jordan,List([32, 76)))	In 2006 Awadallah was appointed as the Director of the Office of His Majesty King Abdullah II and was appointed Chief of the Royal Hashemite Court of Jordan in 2007.
0.9919999837875366		SimpleArgument(2006 awadallah,List([0, 0)))	Relation(was appointed as,List([0, 0)))	SimpleArgument(the Director of the Office of His Majesty King Abdullah II,List(null))	In 2006 Awadallah was appointed as the Director of the Office of His Majesty King Abdullah II and was appointed Chief of the Royal Hashemite Court of Jordan in 2007.
0.38089450366724514		SimpleArgument(Abdullah II,List([82, 93)))	Relation([is] King [of],List([77, 81)))	SimpleArgument(Majesty,List([69, 76)))	In 2006 Awadallah was appointed as the Director of the Office of His Majesty King Abdullah II and was appointed Chief of the Royal Hashemite Court of Jordan in 2007.
0.8872626343557611		SimpleArgument(Awadallah,List([8, 17)))	Relation(was appointed as the Director of the Office of His Majesty King Abdullah II In,List([0, 21), [22, 90), [91, 93)))	TemporalArgument(2006,List([3, 7)))	In 2006 Awadallah was appointed as the Director of the Office of His Majesty King Abdullah II and was appointed Chief of the Royal Hashemite Court of Jordan in 2007.
0.9231320349505967		SimpleArgument(Awadallah,List([8, 17)))	Relation(was appointed as,List([18, 31), [32, 34)))	SimpleArgument(the Director of the Office of His Majesty King Abdullah II,List([35, 93)))	In 2006 Awadallah was appointed as the Director of the Office of His Majesty King Abdullah II and was appointed Chief of the Royal Hashemite Court of Jordan in 2007.
0.9481947648689547		SimpleArgument(Awadallah,List([0, 9)))	Relation(was,List([10, 13)))	SimpleArgument(a Young Global Leader,List([14, 35)))	Awadallah was chosen as a Lee Kuan Yew Fellow, in Singapore in 2004, and a Young Global Leader, by the World Economic Forum in 2005.
0.7251886467849957		SimpleArgument(Awadallah,List([0, 9)))	Relation(was chosen in,List([10, 20), [61, 63)))	TemporalArgument(2004,List([64, 68)))	Awadallah was chosen as a Lee Kuan Yew Fellow, in Singapore in 2004, and a Young Global Leader, by the World Economic Forum in 2005.
0.9324144673478683		SimpleArgument(Awadallah,List([0, 9)))	Relation(was chosen as,List([10, 20), [21, 23)))	SimpleArgument(a Lee Kuan Yew Fellow,List([24, 45)))	Awadallah was chosen as a Lee Kuan Yew Fellow, in Singapore in 2004, and a Young Global Leader, by the World Economic Forum in 2005.
0.6783685094789625		SimpleArgument(Awadallah,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(the recipient of the Al Hussein Decoration for the Al Istiqlal Decoration of the First Order , of the Hashemite Kingdom of Jordan,List([6, 135)))	He is the recipient of the Al Hussein Decoration for Distinguished Service, the Al Kawkab Decoration of the First Order, and the Al Istiqlal Decoration of the First Order, of the Hashemite Kingdom of Jordan.
0.6783685094789625		SimpleArgument(Awadallah,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(the recipient of the Al Hussein Decoration for the Al Kawkab Decoration of the First Order,List([6, 96)))	He is the recipient of the Al Hussein Decoration for Distinguished Service, the Al Kawkab Decoration of the First Order, and the Al Istiqlal Decoration of the First Order, of the Hashemite Kingdom of Jordan.
0.8847999636040884		SimpleArgument(Awadallah,List([0, 2)))	Relation(is the recipient of,List([3, 22)))	SimpleArgument(the Al Hussein Decoration,List([23, 48)))	He is the recipient of the Al Hussein Decoration for Distinguished Service, the Al Kawkab Decoration of the First Order, and the Al Istiqlal Decoration of the First Order, of the Hashemite Kingdom of Jordan.
0.6783685094789625		SimpleArgument(Awadallah,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(the recipient of the Al Hussein Decoration for Distinguished Service,List([6, 74)))	He is the recipient of the Al Hussein Decoration for Distinguished Service, the Al Kawkab Decoration of the First Order, and the Al Istiqlal Decoration of the First Order, of the Hashemite Kingdom of Jordan.
0.6138676038426771		SimpleArgument(Awadallah,List([14, 16)))	Relation(was awarded,List([17, 28)))	SimpleArgument(a number of high decorations from several countries in Asia,List([29, 88)))	In addition, he was awarded a number of high decorations from several countries in Europe and Asia.
0.6138676038426771		SimpleArgument(Awadallah,List([14, 16)))	Relation(was awarded,List([17, 28)))	SimpleArgument(a number of high decorations from several countries in Europe,List([29, 90)))	In addition, he was awarded a number of high decorations from several countries in Europe and Asia.
