0.38089450366724514		SimpleArgument(July 2014,List([21, 30)))	Relation([is],List([21, 30)))	SimpleArgument(Suresh Sidhu was named edotco CEO,List([32, 65)))	Executive Summary In July 2014, Suresh Sidhu was named edotco CEO.
0.9266232318014763		SimpleArgument(Suresh Sidhu,List([32, 44)))	Relation(was named,List([45, 54)))	SimpleArgument(Edotco,List([55, 65)))	Executive Summary In July 2014, Suresh Sidhu was named edotco CEO.
0.9383119524695255		SimpleArgument(Edotco,List([0, 6)))	Relation(is,List([7, 9)))	SimpleArgument(a communications infrastructure solutions & services company,List([10, 70)))	Edotco is a communications infrastructure solutions & services company, under the Axiata group.
0.8592111619294878		SimpleArgument(Suresh Sidhu,List([0, 5)))	Relation(served as Operations Officer,List([17, 23), [24, 45)))	TemporalArgument(previously,List([6, 16)))	Sidhu previously served as Chief Corporate and Operations Officer at Celcom, the Malaysian mobile subsidiary of the Axiata Group Berhad (Axiata), one of the leading telecommuni (there's more...) Personal Attributes and Interests Sidhu graduated from the Bukit Bintang Boys Secondary School, Petaling Jaya, Malaysia.
0.9210233335200773		SimpleArgument(Suresh Sidhu,List([0, 5)))	Relation(served as Operations Officer at,List([17, 23), [24, 45), [46, 48)))	SpatialArgument(Celcom,List([49, 55)))	Sidhu previously served as Chief Corporate and Operations Officer at Celcom, the Malaysian mobile subsidiary of the Axiata Group Berhad (Axiata), one of the leading telecommuni (there's more...) Personal Attributes and Interests Sidhu graduated from the Bukit Bintang Boys Secondary School, Petaling Jaya, Malaysia.
0.9210233335200773		SimpleArgument(Suresh Sidhu,List([0, 5)))	Relation(served as,List([17, 23), [24, 26)))	SimpleArgument(Operations Officer,List([27, 45)))	Sidhu previously served as Chief Corporate and Operations Officer at Celcom, the Malaysian mobile subsidiary of the Axiata Group Berhad (Axiata), one of the leading telecommuni (there's more...) Personal Attributes and Interests Sidhu graduated from the Bukit Bintang Boys Secondary School, Petaling Jaya, Malaysia.
0.3853208301752743		SimpleArgument(Celcom,List([46, 52)))	Relation([is] the mobile subsidiary [from],List([69, 86)))	SimpleArgument(Malaysia,List([59, 68)))	Sidhu previously served as Chief Corporate and Operations Officer at Celcom, the Malaysian mobile subsidiary of the Axiata Group Berhad (Axiata), one of the leading telecommuni (there's more...) Personal Attributes and Interests Sidhu graduated from the Bukit Bintang Boys Secondary School, Petaling Jaya, Malaysia.
0.38089450366724514		SimpleArgument(Celcom,List([46, 52)))	Relation([is] the Malaysian mobile subsidiary of,List([55, 89)))	SimpleArgument(the Axiata Group Berhad ( Axiata ),List([90, 124)))	Sidhu previously served as Chief Corporate and Operations Officer at Celcom, the Malaysian mobile subsidiary of the Axiata Group Berhad (Axiata), one of the leading telecommuni (there's more...) Personal Attributes and Interests Sidhu graduated from the Bukit Bintang Boys Secondary School, Petaling Jaya, Malaysia.
0.9436221120476838		SimpleArgument(Personal Attributes Sidhu,List([180, 205)))	Relation(graduated from,List([206, 215), [216, 220)))	SimpleArgument(the Bukit Bintang Boys Secondary School , Petaling Jaya,List([221, 276)))	Sidhu previously served as Chief Corporate and Operations Officer at Celcom, the Malaysian mobile subsidiary of the Axiata Group Berhad (Axiata), one of the leading telecommuni (there's more...) Personal Attributes and Interests Sidhu graduated from the Bukit Bintang Boys Secondary School, Petaling Jaya, Malaysia.
0.8592111619294878		SimpleArgument(Suresh Sidhu,List([0, 5)))	Relation(served as Chief Corporate,List([17, 23), [24, 42)))	TemporalArgument(previously,List([6, 16)))	Sidhu previously served as Chief Corporate and Operations Officer at Celcom, the Malaysian mobile subsidiary of the Axiata Group Berhad (Axiata), one of the leading telecommuni (there's more...) Personal Attributes and Interests Sidhu graduated from the Bukit Bintang Boys Secondary School, Petaling Jaya, Malaysia.
0.9210233335200773		SimpleArgument(Suresh Sidhu,List([0, 5)))	Relation(served as Chief Corporate at,List([17, 23), [24, 42), [43, 45)))	SpatialArgument(Celcom,List([46, 52)))	Sidhu previously served as Chief Corporate and Operations Officer at Celcom, the Malaysian mobile subsidiary of the Axiata Group Berhad (Axiata), one of the leading telecommuni (there's more...) Personal Attributes and Interests Sidhu graduated from the Bukit Bintang Boys Secondary School, Petaling Jaya, Malaysia.
