0.38089450366724514		SimpleArgument(Germany,List([56, 63)))	Relation([is] Center [of],List([49, 55)))	SimpleArgument(Yang Chengfu Tai Chi Chuan,List([22, 48)))	"Frank Grothstück The ""Yang Chengfu Tai Chi Chuan Center Germany"" was founded in 2000 in Cologne."
0.8934644291176528		SimpleArgument(Frank Grothstück,List([0, 16)))	Relation(was founded in,List([65, 76), [85, 87)))	SpatialArgument(Cologne,List([88, 95)))	"Frank Grothstück The ""Yang Chengfu Tai Chi Chuan Center Germany"" was founded in 2000 in Cologne."
0.7900566639584307		SimpleArgument(Frank Grothstück,List([0, 16)))	Relation(was founded in,List([65, 76), [77, 79)))	TemporalArgument(2000,List([80, 84)))	"Frank Grothstück The ""Yang Chengfu Tai Chi Chuan Center Germany"" was founded in 2000 in Cologne."
0.886695286966665		SimpleArgument(Frank Grothstueck,List([0, 17)))	Relation([is] teacher of,List([20, 30)))	SimpleArgument(the school,List([31, 41)))	Frank Grothstueck, director and teacher of the school, practices martial arts since 1983 and Taijiquan since 1990.
0.7107293693420784		SimpleArgument(Frank Grothstueck,List([0, 17)))	Relation(practices martial arts since,List([44, 53), [54, 66), [78, 83)))	TemporalArgument(1990,List([84, 88)))	Frank Grothstueck, director and teacher of the school, practices martial arts since 1983 and Taijiquan since 1990.
0.7900566639584307		SimpleArgument(Frank Grothstueck,List([0, 17)))	Relation(practices martial arts since,List([44, 53), [54, 66), [67, 72)))	TemporalArgument(1983,List([73, 77)))	Frank Grothstueck, director and teacher of the school, practices martial arts since 1983 and Taijiquan since 1990.
0.9143456855143793		SimpleArgument(Frank Grothstueck,List([0, 17)))	Relation(practices,List([44, 53)))	SimpleArgument(martial arts,List([54, 66)))	Frank Grothstueck, director and teacher of the school, practices martial arts since 1983 and Taijiquan since 1990.
0.886695286966665		SimpleArgument(Frank Grothstueck,List([0, 17)))	Relation([is],List([0, 17)))	SimpleArgument(director,List([20, 28)))	Frank Grothstueck, director and teacher of the school, practices martial arts since 1983 and Taijiquan since 1990.
0.29886655727758943		SimpleArgument(he,List([18, 20)))	Relation(learned 24 , 48 forms to,List([10, 12), [21, 36), [37, 42)))	TemporalArgument(1995,List([13, 17)))	From 1991 to 1995 he learned 24, 48 forms (modern simplified taiji) and 83 forms of Chen Style (new frame) from Master Teng Jian.
0.29886655727758943		SimpleArgument(he,List([18, 20)))	Relation(learned 24 , 48 forms From,List([0, 4), [21, 36), [37, 42)))	TemporalArgument(1991,List([5, 9)))	From 1991 to 1995 he learned 24, 48 forms (modern simplified taiji) and 83 forms of Chen Style (new frame) from Master Teng Jian.
0.45170382506656653		SimpleArgument(he,List([18, 20)))	Relation(learned,List([21, 28)))	SimpleArgument(24 , 48 forms,List([29, 42)))	From 1991 to 1995 he learned 24, 48 forms (modern simplified taiji) and 83 forms of Chen Style (new frame) from Master Teng Jian.
0.4978219019954182		SimpleArgument(he,List([12, 14)))	Relation(studied some Daoyin Qigong forms during,List([15, 22), [23, 47), [48, 54)))	TemporalArgument(a Taiji und Qigong teacher vocational training in Cologne,List([55, 112)))	Furthermore he studied some Daoyin Qigong forms during a Taiji und Qigong teacher vocational training in Cologne.
0.4978219019954182		SimpleArgument(he,List([12, 14)))	Relation(studied,List([15, 22)))	SimpleArgument(some Daoyin Qigong forms,List([23, 47)))	Furthermore he studied some Daoyin Qigong forms during a Taiji und Qigong teacher vocational training in Cologne.
0.39967452567979506		SimpleArgument(he,List([58, 60)))	Relation(learned handforms,List([61, 68), [69, 78)))	TemporalArgument(when he first met the masters,List([13, 42)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.39967452567979506		SimpleArgument(he,List([58, 60)))	Relation(learned handforms Taiji saber,List([61, 68), [69, 90)))	TemporalArgument(when he first met the masters,List([13, 42)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.39967452567979506		SimpleArgument(he,List([58, 60)))	Relation(learned handforms Taiji sword,List([61, 68), [69, 90)))	TemporalArgument(when he first met the masters,List([13, 42)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.29886655727758943		SimpleArgument(he,List([58, 60)))	Relation(learned handforms Taiji sword Since,List([0, 5), [61, 84), [85, 90)))	TemporalArgument(1995,List([6, 10)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.4978219019954182		SimpleArgument(he,List([58, 60)))	Relation(learned,List([61, 68)))	SimpleArgument(handforms Taiji sword,List([69, 90)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.3048426724432105		SimpleArgument(he,List([18, 20)))	Relation(met the masters,List([27, 30), [31, 42)))	TemporalArgument(first,List([21, 26)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.4802217740069371		SimpleArgument(he,List([18, 20)))	Relation(met,List([27, 30)))	SimpleArgument(the masters,List([31, 42)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.39967452567979506		SimpleArgument(he,List([44, 46)))	Relation(learned handforms,List([47, 54), [55, 64)))	TemporalArgument(when he became their student,List([13, 41)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.29886655727758943		SimpleArgument(he,List([44, 46)))	Relation(learned handforms Since,List([0, 5), [47, 54), [55, 64)))	TemporalArgument(1995,List([6, 10)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.4978219019954182		SimpleArgument(he,List([44, 46)))	Relation(learned handforms,List([47, 54), [55, 64)))	TemporalArgument(Tuishou,List([65, 72)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.45170382506656653		SimpleArgument(he,List([44, 46)))	Relation(learned,List([47, 54)))	SimpleArgument(handforms,List([55, 64)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.39967452567979506		SimpleArgument(he,List([44, 46)))	Relation(learned handforms Taiji saber,List([47, 54), [55, 76)))	TemporalArgument(when he became their student,List([13, 41)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.29886655727758943		SimpleArgument(he,List([44, 46)))	Relation(learned handforms Taiji saber Since,List([0, 5), [47, 70), [71, 76)))	TemporalArgument(1995,List([6, 10)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.4978219019954182		SimpleArgument(he,List([44, 46)))	Relation(learned,List([47, 54)))	SimpleArgument(handforms Taiji saber,List([55, 76)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.30297744566198154		SimpleArgument(he,List([44, 46)))	Relation(learned Taiji sword,List([47, 54), [65, 76)))	TemporalArgument(when he became their student,List([13, 41)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.29886655727758943		SimpleArgument(he,List([44, 46)))	Relation(learned Taiji sword Since,List([0, 5), [47, 70), [71, 76)))	TemporalArgument(1995,List([6, 10)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.45243121649964957		SimpleArgument(he,List([44, 46)))	Relation(learned,List([47, 54)))	SimpleArgument(Taiji sword,List([65, 76)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.30899953469486874		SimpleArgument(he,List([18, 20)))	Relation(became,List([21, 27)))	SimpleArgument(their student,List([28, 41)))	Since 1995, when he first met the masters Yang Zhenduo and Yang Jun and became their student, he learned handforms (103, 49 and 13 forms), Taiji sword, Taiji saber and Tuishou and continues studying with them every year.
0.29886655727758943		SimpleArgument(he,List([16, 18)))	Relation(organises seminars with his masters since,List([5, 10), [19, 46), [47, 54)))	TemporalArgument(1995,List([11, 15)))	Also since 1995 he teaches Taijiquan in Cologne and organises seminars with his masters Yang Zhenduo and Yang Jun.
0.30899953469486874		SimpleArgument(he,List([16, 18)))	Relation(organises,List([19, 28)))	SimpleArgument(seminars with his masters,List([29, 54)))	Also since 1995 he teaches Taijiquan in Cologne and organises seminars with his masters Yang Zhenduo and Yang Jun.
0.29886655727758943		SimpleArgument(he,List([16, 18)))	Relation(teaches Taijiquan since,List([5, 10), [19, 26), [27, 36)))	TemporalArgument(1995,List([11, 15)))	Also since 1995 he teaches Taijiquan in Cologne and organises seminars with his masters Yang Zhenduo and Yang Jun.
0.4978219019954182		SimpleArgument(he,List([16, 18)))	Relation(teaches Taijiquan in,List([19, 26), [27, 36), [37, 39)))	SpatialArgument(Cologne,List([40, 47)))	Also since 1995 he teaches Taijiquan in Cologne and organises seminars with his masters Yang Zhenduo and Yang Jun.
0.4978219019954182		SimpleArgument(he,List([16, 18)))	Relation(teaches,List([19, 26)))	SimpleArgument(Taijiquan,List([27, 36)))	Also since 1995 he teaches Taijiquan in Cologne and organises seminars with his masters Yang Zhenduo and Yang Jun.
