0.8922134770359479		SimpleArgument(Shao-Wu WANG Mr. Wang Shaowu,List([0, 28)))	Relation(was born in,List([29, 37), [46, 48)))	SpatialArgument(the Chinese province of XinJiang,List([49, 81)))	Shao-Wu WANG Mr. Wang Shaowu was born in 1972 in the Chinese province of XinJiang.
0.7878797598675439		SimpleArgument(Shao-Wu WANG Mr. Wang Shaowu,List([0, 28)))	Relation(was born in,List([29, 37), [38, 40)))	TemporalArgument(1972,List([41, 45)))	Shao-Wu WANG Mr. Wang Shaowu was born in 1972 in the Chinese province of XinJiang.
0.39746064682094406	Context(He started,List([0, 10)))	SimpleArgument(Mr. Wang Shaowu,List([0, 2)))	Relation(started learning violin at,List([3, 10), [11, 19), [20, 26), [27, 29)))	TemporalArgument(the age of 10,List([30, 43)))	He started learning violin at the age of 10.
0.39746064682094406	Context(He started,List([0, 10)))	SimpleArgument(Mr. Wang Shaowu,List([0, 2)))	Relation(started learning,List([3, 10), [11, 19)))	SimpleArgument(violin,List([20, 26)))	He started learning violin at the age of 10.
0.39746064682094406		SimpleArgument(Mr. Wang Shaowu,List([0, 2)))	Relation(started,List([3, 10)))	SimpleArgument(learning violin at the age of 10,List([11, 43)))	He started learning violin at the age of 10.
0.29886655727758943		SimpleArgument(Mr. Wang Shaowu,List([9, 11)))	Relation(was accepted In,List([0, 15), [16, 24)))	TemporalArgument(1986,List([3, 7)))	In 1986, he was accepted into the Xi'an Conservatory.
0.4978219019954182		SimpleArgument(Mr. Wang Shaowu,List([9, 11)))	Relation(was accepted into,List([12, 24), [25, 29)))	SimpleArgument(the Xi'an Conservatory,List([30, 52)))	In 1986, he was accepted into the Xi'an Conservatory.
0.949419443712137		SimpleArgument(Mr. Sui Keqiang,List([90, 105)))	Relation(is,List([111, 113)))	SimpleArgument(a well-known educator in China,List([114, 144)))	After graduating in 1992, Wang attended the Central Conservatory of Music as a student of Mr. Sui Keqiang, who is a well-known educator in China.
0.7532657647087118		SimpleArgument(Mr. Wang Shaowu,List([26, 30)))	Relation(attended the Central Conservatory of Music After,List([0, 5), [31, 67), [68, 73)))	TemporalArgument(graduating in 1992,List([6, 24)))	After graduating in 1992, Wang attended the Central Conservatory of Music as a student of Mr. Sui Keqiang, who is a well-known educator in China.
0.876543225140763		SimpleArgument(Mr. Wang Shaowu,List([26, 30)))	Relation(attended,List([31, 39)))	SimpleArgument(the Central Conservatory of Music,List([40, 73)))	After graduating in 1992, Wang attended the Central Conservatory of Music as a student of Mr. Sui Keqiang, who is a well-known educator in China.
0.669082370911038		SimpleArgument(Mr. Wang Shaowu,List([0, 4)))	Relation(was appointed the department director of the vice director of the violin department,List([5, 8), [15, 24), [25, 94)))	TemporalArgument(later,List([9, 14)))	Wang was later appointed the department director of chamber music and the vice director of the violin department.
