0.896604430840561		SimpleArgument(a nonprofit organization,List([66, 90)))	Relation(provides health care services for,List([96, 104), [105, 125), [126, 129)))	SimpleArgument(individuals of all ages,List([130, 153)))	Vermilion County Health Department, located in Danville, Ill., is a nonprofit organization that provides health care services for individuals of all ages.
0.896604430840561		SimpleArgument(a nonprofit organization,List([66, 90)))	Relation(provides,List([96, 104)))	SimpleArgument(health care services,List([105, 125)))	Vermilion County Health Department, located in Danville, Ill., is a nonprofit organization that provides health care services for individuals of all ages.
0.9096248142805358		SimpleArgument(Vermilion County Health Department,List([0, 34)))	Relation(is,List([63, 65)))	SimpleArgument(a nonprofit organization that provides health care services for individuals of all ages,List([66, 153)))	Vermilion County Health Department, located in Danville, Ill., is a nonprofit organization that provides health care services for individuals of all ages.
0.9397001286877047		SimpleArgument(Vermilion County Health Department,List([0, 34)))	Relation(located in,List([36, 43), [44, 46)))	SpatialArgument(Danville,List([47, 55)))	Vermilion County Health Department, located in Danville, Ill., is a nonprofit organization that provides health care services for individuals of all ages.
0.6138676038426771		SimpleArgument(Vermilion County Health Department Vermilion County Health Department, located in Danville, Ill.,List([0, 2)))	Relation(additionally organizes,List([3, 25)))	SimpleArgument(special programs for the treatment for various chronicle diseases , such as AIDS,List([26, 106)))	It additionally organizes special programs for the prevention and treatment for various chronicle diseases, such as breast cancer, HIV and AIDS.
0.6138676038426771		SimpleArgument(Vermilion County Health Department Vermilion County Health Department, located in Danville, Ill.,List([0, 2)))	Relation(additionally organizes,List([3, 25)))	SimpleArgument(special programs for the treatment for various chronicle diseases , such as HIV,List([26, 105)))	It additionally organizes special programs for the prevention and treatment for various chronicle diseases, such as breast cancer, HIV and AIDS.
0.5691839633287576		SimpleArgument(Vermilion County Health Department Vermilion County Health Department, located in Danville, Ill.,List([0, 2)))	Relation(additionally organizes,List([3, 25)))	SimpleArgument(special programs for the treatment for various chronicle diseases , such as breast cancer,List([26, 115)))	It additionally organizes special programs for the prevention and treatment for various chronicle diseases, such as breast cancer, HIV and AIDS.
0.6138676038426771		SimpleArgument(Vermilion County Health Department Vermilion County Health Department, located in Danville, Ill.,List([0, 2)))	Relation(additionally organizes,List([3, 25)))	SimpleArgument(special programs for the prevention for various chronicle diseases , such as AIDS,List([26, 107)))	It additionally organizes special programs for the prevention and treatment for various chronicle diseases, such as breast cancer, HIV and AIDS.
0.6138676038426771		SimpleArgument(Vermilion County Health Department Vermilion County Health Department, located in Danville, Ill.,List([0, 2)))	Relation(additionally organizes,List([3, 25)))	SimpleArgument(special programs for the prevention for various chronicle diseases , such as HIV,List([26, 106)))	It additionally organizes special programs for the prevention and treatment for various chronicle diseases, such as breast cancer, HIV and AIDS.
0.5691839633287576		SimpleArgument(Vermilion County Health Department Vermilion County Health Department, located in Danville, Ill.,List([0, 2)))	Relation(additionally organizes,List([3, 25)))	SimpleArgument(special programs for the prevention for various chronicle diseases , such as breast cancer,List([26, 116)))	It additionally organizes special programs for the prevention and treatment for various chronicle diseases, such as breast cancer, HIV and AIDS.
0.3498441627223176		SimpleArgument(Vermilion County Health Department Vermilion County Health Department, located in Danville, Ill.,List([0, 2)))	Relation(operates,List([3, 11)))	SimpleArgument(various programs , such as All Our Children program,List([12, 63)))	It operates various programs, such as All Our Kids, Healthy Moms Healthy Kids and Women, Infants and Children program.
0.4978219019954182		SimpleArgument(Vermilion County Health Department Vermilion County Health Department, located in Danville, Ill.,List([0, 2)))	Relation(operates,List([3, 11)))	SimpleArgument(various programs , such as All Infants,List([12, 50)))	It operates various programs, such as All Our Kids, Healthy Moms Healthy Kids and Women, Infants and Children program.
0.3498441627223176		SimpleArgument(Vermilion County Health Department Vermilion County Health Department, located in Danville, Ill.,List([0, 2)))	Relation(operates,List([3, 11)))	SimpleArgument(various programs , such as All Our Women,List([12, 52)))	It operates various programs, such as All Our Kids, Healthy Moms Healthy Kids and Women, Infants and Children program.
0.45170382506656653		SimpleArgument(Vermilion County Health Department Vermilion County Health Department, located in Danville, Ill.,List([0, 2)))	Relation(operates,List([3, 11)))	SimpleArgument(various programs , such as Healthy Kids,List([12, 51)))	It operates various programs, such as All Our Kids, Healthy Moms Healthy Kids and Women, Infants and Children program.
0.4978219019954182		SimpleArgument(Vermilion County Health Department Vermilion County Health Department, located in Danville, Ill.,List([0, 2)))	Relation(operates,List([3, 11)))	SimpleArgument(various programs , such as Healthy Moms,List([12, 51)))	It operates various programs, such as All Our Kids, Healthy Moms Healthy Kids and Women, Infants and Children program.
0.30899953469486874		SimpleArgument(Vermilion County Health Department Vermilion County Health Department, located in Danville, Ill.,List([0, 2)))	Relation(operates,List([3, 11)))	SimpleArgument(various programs , such as All Our Kids,List([12, 51)))	It operates various programs, such as All Our Kids, Healthy Moms Healthy Kids and Women, Infants and Children program.
0.7616050399815096		SimpleArgument(The Women, Infants and Children program,List([0, 24)))	Relation(offers,List([25, 31)))	SimpleArgument(early childhood education,List([32, 57)))	Its All Our Kids program offers early childhood education and emphasizes on reducing the gap between parents and children through parental support to children and participation in their activities.
0.9030401971054747		SimpleArgument(Children program,List([0, 16)))	Relation(provides nutritional counseling services to,List([17, 25), [26, 57), [58, 60)))	SimpleArgument(children up to the age of 5 years,List([61, 94)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9030401971054747		SimpleArgument(Children program,List([0, 16)))	Relation(provides nutritional counseling services to,List([17, 25), [26, 57), [58, 60)))	SimpleArgument(pregnant women,List([61, 75)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9030401971054747		SimpleArgument(Children program,List([0, 16)))	Relation(provides,List([17, 25)))	SimpleArgument(nutritional counseling services,List([26, 57)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9030401971054747		SimpleArgument(Infants program,List([0, 15)))	Relation(provides nutritional counseling services to,List([16, 24), [25, 56), [57, 59)))	SimpleArgument(children up to the age of 5 years,List([60, 93)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9030401971054747		SimpleArgument(Infants program,List([0, 15)))	Relation(provides nutritional counseling services to,List([16, 24), [25, 56), [57, 59)))	SimpleArgument(pregnant women,List([60, 74)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9030401971054747		SimpleArgument(Infants program,List([0, 15)))	Relation(provides,List([16, 24)))	SimpleArgument(nutritional counseling services,List([25, 56)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9329286852051247		SimpleArgument(The Women program,List([0, 17)))	Relation(provides nutritional counseling services to,List([18, 26), [27, 58), [59, 61)))	SimpleArgument(children up to the age of 5 years,List([62, 95)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9329286852051247		SimpleArgument(The Women program,List([0, 17)))	Relation(provides nutritional counseling services to,List([18, 26), [27, 58), [59, 61)))	SimpleArgument(pregnant women,List([62, 76)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9329286852051247		SimpleArgument(The Women program,List([0, 17)))	Relation(provides,List([18, 26)))	SimpleArgument(nutritional counseling services,List([27, 58)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9030401971054747		SimpleArgument(Children program,List([0, 16)))	Relation(provides,List([17, 25)))	SimpleArgument(medical treatment,List([26, 43)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9030401971054747		SimpleArgument(Children program,List([0, 16)))	Relation(provides,List([17, 25)))	SimpleArgument(food resources,List([26, 40)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9030401971054747		SimpleArgument(Infants program,List([0, 15)))	Relation(provides,List([16, 24)))	SimpleArgument(medical treatment,List([25, 42)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9030401971054747		SimpleArgument(Infants program,List([0, 15)))	Relation(provides,List([16, 24)))	SimpleArgument(food resources,List([25, 39)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9329286852051247		SimpleArgument(The Women program,List([0, 17)))	Relation(provides,List([18, 26)))	SimpleArgument(medical treatment,List([27, 44)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9329286852051247		SimpleArgument(The Women program,List([0, 17)))	Relation(provides,List([18, 26)))	SimpleArgument(food resources,List([27, 41)))	The Women, Infants and Children program provides food resources, medical treatment and nutritional counseling services to pregnant women and children up to the age of 5 years, and has served more than 49,000 residents of Vermilion County.
0.9266232318014763		SimpleArgument(The Vermilion,List([0, 13)))	Relation(offers,List([14, 20)))	SimpleArgument(immunization schedules for infants,List([21, 55)))	The Vermilion County Health Department additionally provides education on family planning and contraceptive measures, and offers immunization schedules for girls and infants.
0.9266232318014763		SimpleArgument(The Vermilion,List([0, 13)))	Relation(offers,List([14, 20)))	SimpleArgument(immunization schedules for girls,List([21, 53)))	The Vermilion County Health Department additionally provides education on family planning and contraceptive measures, and offers immunization schedules for girls and infants.
0.944056173886228		SimpleArgument(The Vermilion County Health Department,List([0, 38)))	Relation(additionally provides,List([39, 60)))	SimpleArgument(education,List([61, 70)))	The Vermilion County Health Department additionally provides education on family planning and contraceptive measures, and offers immunization schedules for girls and infants.
