0.9324144673478683		SimpleArgument(Caitlin,List([0, 7)))	Relation(raised in,List([8, 14), [15, 17)))	SpatialArgument(a small town in North Carolina,List([18, 48)))	Caitlin Womble, Marina Director Caitlin was born and raised in a small town in North Carolina.
0.38089450366724514		SimpleArgument(Caitlin,List([33, 40)))	Relation([is] Director [of],List([24, 32)))	SimpleArgument(Marina,List([17, 23)))	Caitlin Womble, Marina Director Caitlin was born and raised in a small town in North Carolina.
0.45170382506656653		SimpleArgument(Kyle Huff, Dockmaster Caitlin Womble, Marina Director Caitlin,List([0, 3)))	Relation(fell in,List([4, 8), [9, 11)))	SimpleArgument(love with the salt water lifestyle,List([12, 46)))	She moved to Florida in 2005 and fell in love with the salt water lifestyle.
0.22506131975927415		SimpleArgument(Kyle Huff, Dockmaster Caitlin Womble, Marina Director Caitlin,List([0, 3)))	Relation(moved to Florida in,List([4, 9), [10, 20), [21, 23)))	TemporalArgument(2005,List([24, 28)))	She moved to Florida in 2005 and fell in love with the salt water lifestyle.
0.4978219019954182		SimpleArgument(Kyle Huff, Dockmaster Caitlin Womble, Marina Director Caitlin,List([0, 3)))	Relation(moved to,List([4, 9), [10, 12)))	SimpleArgument(Florida,List([13, 20)))	She moved to Florida in 2005 and fell in love with the salt water lifestyle.
0.8839105602432714		SimpleArgument(Kyle Huff, Dockmaster Caitlin Womble, Marina Director Caitlin,List([0, 7)))	Relation(starting as,List([52, 60), [69, 71)))	SimpleArgument(a Dockhand,List([72, 82)))	Caitlin has been with Marker 1 Marina for 6 years, starting in 2010 as a Dockhand and working her way up to her present position as Marina Director.
0.7735794665865495		SimpleArgument(Kyle Huff, Dockmaster Caitlin Womble, Marina Director Caitlin,List([0, 7)))	Relation(starting in,List([52, 60), [61, 63)))	TemporalArgument(2010,List([64, 68)))	Caitlin has been with Marker 1 Marina for 6 years, starting in 2010 as a Dockhand and working her way up to her present position as Marina Director.
0.9199923855291322		SimpleArgument(Kyle Huff, Dockmaster Caitlin Womble, Marina Director Caitlin,List([0, 7)))	Relation(has been with Marker 1 Marina,List([8, 16), [17, 37)))	SimpleArgument(starting in 2010 as a Dockhand,List([52, 82)))	Caitlin has been with Marker 1 Marina for 6 years, starting in 2010 as a Dockhand and working her way up to her present position as Marina Director.
0.9197759696552441		SimpleArgument(Kyle Huff, Dockmaster Caitlin Womble, Marina Director Caitlin,List([0, 7)))	Relation(has been with Marker 1 Marina for,List([8, 16), [17, 37), [38, 41)))	TemporalArgument(6 years,List([42, 49)))	Caitlin has been with Marker 1 Marina for 6 years, starting in 2010 as a Dockhand and working her way up to her present position as Marina Director.
0.9324144673478683		SimpleArgument(Kyle Huff, Dockmaster Caitlin Womble, Marina Director Caitlin,List([0, 7)))	Relation(has been with,List([8, 16), [17, 21)))	SimpleArgument(Marker 1 Marina,List([22, 37)))	Caitlin has been with Marker 1 Marina for 6 years, starting in 2010 as a Dockhand and working her way up to her present position as Marina Director.
0.8428211120858269		SimpleArgument(Kyle Huff, Dockmaster Caitlin Womble, Marina Director Caitlin,List([83, 90)))	Relation(is n't,List([91, 96)))	SimpleArgument(familiar with,List([97, 110)))	A familiar and well known face around Marker 1, there isn't any part of the marina Caitlin isn't familiar with.
0.6074159267833009		SimpleArgument(her favorite places,List([17, 36)))	Relation(are cruising On,List([0, 2), [37, 40), [96, 104)))	TemporalArgument(her days off,List([3, 15)))	On her days off, her favorite places are one of the nearby beaches with her toes in the sand or cruising around the ICW on her 17' Key West.
0.45301195910079267		SimpleArgument(her favorite places,List([17, 36)))	Relation(are cruising on,List([37, 40), [96, 104), [120, 122)))	SpatialArgument(her 17' Key West,List([123, 139)))	On her days off, her favorite places are one of the nearby beaches with her toes in the sand or cruising around the ICW on her 17' Key West.
0.604082139988883		SimpleArgument(her favorite places,List([17, 36)))	Relation(are cruising around,List([37, 40), [96, 104), [105, 111)))	SimpleArgument(the ICW,List([112, 119)))	On her days off, her favorite places are one of the nearby beaches with her toes in the sand or cruising around the ICW on her 17' Key West.
