0.8143831551075259		SimpleArgument(the first Romanian media group,List([10, 40)))	Relation(based,List([41, 46)))	SimpleArgument(entirely,List([47, 55)))	INTACT is the first Romanian media group based entirely on a private local business.
0.9262193878749829		SimpleArgument(INTACT,List([0, 6)))	Relation(is,List([7, 9)))	SimpleArgument(the first Romanian media group based entirely on a private local business,List([10, 83)))	INTACT is the first Romanian media group based entirely on a private local business.
0.8966409985180985		SimpleArgument(A considerable number of the most important brands in the print industry,List([0, 72)))	Relation(have been launched since,List([73, 91), [112, 117)))	TemporalArgument(its first product,List([118, 135)))	A considerable number of the most important brands in the audio-visual and print industry have been launched under this umbrella since its first product, Intact Printing House was established in 1991.
0.9607512893255704		SimpleArgument(A considerable number of the most important brands in the print industry,List([0, 72)))	Relation(have been launched under,List([73, 91), [92, 97)))	SpatialArgument(this umbrella,List([98, 111)))	A considerable number of the most important brands in the audio-visual and print industry have been launched under this umbrella since its first product, Intact Printing House was established in 1991.
0.8306090960787457		SimpleArgument(Intact Printing House,List([147, 168)))	Relation(was established in,List([169, 184), [185, 187)))	TemporalArgument(1991,List([188, 192)))	A considerable number of the most important brands in the audio-visual and print industry have been launched under this umbrella since its first product, Intact Printing House was established in 1991.
0.9132288614481718		SimpleArgument(A considerable number of the most important brands in the audio - visual industry,List([0, 81)))	Relation(have been launched since,List([82, 100), [121, 126)))	TemporalArgument(its first product,List([127, 144)))	A considerable number of the most important brands in the audio-visual and print industry have been launched under this umbrella since its first product, Intact Printing House was established in 1991.
0.9674240380903967		SimpleArgument(A considerable number of the most important brands in the audio - visual industry,List([0, 81)))	Relation(have been launched under,List([82, 100), [101, 106)))	SpatialArgument(this umbrella,List([107, 120)))	A considerable number of the most important brands in the audio-visual and print industry have been launched under this umbrella since its first product, Intact Printing House was established in 1991.
0.9919999837875366		SimpleArgument(1b,List([0, 0)))	Relation(were seized on,List([0, 0)))	SimpleArgument(Friday,List(null))	1B, were seized by the state on Friday, the 8th of August 2014, as a result of the judgement sentencing Dan Voiculescu, the founder of Intact Media Group.
0.7966855725619307		SimpleArgument(1B,List([0, 2)))	Relation(were seized on,List([4, 15), [29, 31)))	TemporalArgument(Friday,List([32, 38)))	1B, were seized by the state on Friday, the 8th of August 2014, as a result of the judgement sentencing Dan Voiculescu, the founder of Intact Media Group.
0.8329899967105379		SimpleArgument(1B,List([0, 2)))	Relation(were seized by,List([4, 15), [16, 18)))	SimpleArgument(the state,List([19, 28)))	1B, were seized by the state on Friday, the 8th of August 2014, as a result of the judgement sentencing Dan Voiculescu, the founder of Intact Media Group.
0.9205578370056476		SimpleArgument(The journalists of the broadcasting company,List([0, 43)))	Relation(unveiling,List([51, 60)))	SimpleArgument(multiple corruption cases,List([61, 86)))	The journalists of the broadcasting company Antena 3, part of the Intact Media Group, have been conducting investigations on high profile political leaders and unveiling multiple corruption cases under the Romanian politicians.
0.9205578370056476		SimpleArgument(The journalists of the broadcasting company,List([0, 43)))	Relation(have been conducting,List([88, 108)))	SimpleArgument(investigations on high profile political leaders,List([109, 157)))	The journalists of the broadcasting company Antena 3, part of the Intact Media Group, have been conducting investigations on high profile political leaders and unveiling multiple corruption cases under the Romanian politicians.
0.38089450366724514		SimpleArgument(Traian Basescu,List([48, 62)))	Relation([is] the former president of,List([15, 38)))	SimpleArgument(Romania,List([39, 46)))	One example is the former president of Romania, Traian Basescu, who, together with his brother, Mircea Basescu, was accused for taking bribes in order to influence the justice.
0.3853208301752743		SimpleArgument(Mircea Basescu,List([96, 110)))	Relation([is] brother [of],List([87, 94)))	SimpleArgument(him,List([83, 86)))	One example is the former president of Romania, Traian Basescu, who, together with his brother, Mircea Basescu, was accused for taking bribes in order to influence the justice.
0.9344893211562376		SimpleArgument(the former president of Romania,List([15, 46)))	Relation(was accused for,List([112, 123), [124, 127)))	SimpleArgument(taking bribes in order,List([128, 150)))	One example is the former president of Romania, Traian Basescu, who, together with his brother, Mircea Basescu, was accused for taking bribes in order to influence the justice.
0.9369813267476892		SimpleArgument(One example,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(the former president of Romania,List([15, 46)))	One example is the former president of Romania, Traian Basescu, who, together with his brother, Mircea Basescu, was accused for taking bribes in order to influence the justice.
0.9084353254608957		SimpleArgument(Mircea Basescu,List([0, 14)))	Relation(was sentenced to,List([15, 18), [23, 32), [33, 35)))	SimpleArgument(four years imprisonment on 8th of January 2016,List([36, 82)))	Mircea Basescu was the sentenced to four years imprisonment on 8th of January 2016.
