0.896604430840561		SimpleArgument(an enthusiastic individual,List([5, 31)))	Relation(can adapt to,List([36, 45), [46, 48)))	SimpleArgument(any environment,List([49, 64)))	I am an enthusiastic individual who can adapt to any environment I am placed in.
0.5222094630377523		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(an enthusiastic individual who can adapt to any environment,List([5, 64)))	I am an enthusiastic individual who can adapt to any environment I am placed in.
0.31264665573320355		SimpleArgument(I,List({0}))	Relation(to finish,List([44, 53)))	SimpleArgument(my bachelors degree at Florida International University,List([54, 109)))	I moved from Chicago to Miami in March 2012 to finish my bachelors degree at Florida International University.
0.2599819742892717		SimpleArgument(I,List({0}))	Relation(moved to Miami to,List([2, 7), [21, 29), [44, 46)))	SimpleArgument(finish my bachelors degree at Florida International University,List([47, 109)))	I moved from Chicago to Miami in March 2012 to finish my bachelors degree at Florida International University.
0.3929209860966329		SimpleArgument(I,List({0}))	Relation(moved to Miami in,List([2, 7), [21, 29), [30, 32)))	TemporalArgument(March 2012,List([33, 43)))	I moved from Chicago to Miami in March 2012 to finish my bachelors degree at Florida International University.
0.3929209860966329		SimpleArgument(I,List({0}))	Relation(moved to,List([2, 7), [21, 23)))	SimpleArgument(Miami,List([24, 29)))	I moved from Chicago to Miami in March 2012 to finish my bachelors degree at Florida International University.
0.4907332801074571		SimpleArgument(I,List({0}))	Relation(moved to Miami from,List([2, 7), [8, 23), [24, 29)))	SimpleArgument(Chicago,List([13, 20)))	I moved from Chicago to Miami in March 2012 to finish my bachelors degree at Florida International University.
0.3497525988439521		SimpleArgument(I,List({0}))	Relation(will be graduating with my BA in,List([2, 20), [33, 43), [44, 46)))	TemporalArgument(chemistry,List([47, 56)))	I will be graduating in May 2015 with my BA in chemistry with a forensics track.
0.2599819742892717		SimpleArgument(I,List({0}))	Relation(will be graduating with,List([2, 20), [33, 37)))	SimpleArgument(my BA,List([38, 43)))	I will be graduating in May 2015 with my BA in chemistry with a forensics track.
0.4907332801074571		SimpleArgument(I,List({0}))	Relation(will be graduating with my BA in,List([2, 20), [21, 40), [41, 43)))	TemporalArgument(May 2015,List([24, 32)))	I will be graduating in May 2015 with my BA in chemistry with a forensics track.
0.22015391053105568		SimpleArgument(I,List({0}))	Relation(have love forensic science,List([2, 6), [14, 18), [19, 35)))	TemporalArgument(always,List([7, 13)))	I have always love forensic science.
0.3497525988439521		SimpleArgument(I,List({0}))	Relation(have love,List([2, 6), [14, 18)))	SimpleArgument(forensic science,List([19, 35)))	I have always love forensic science.
0.2780137618119197		SimpleArgument(My ultimate goal,List([87, 103)))	Relation(is to,List([104, 106), [107, 109)))	SimpleArgument(own my own research facilities that forensic science,List([110, 162)))	At a young age, I was fascinated at how the smallest particle can be used as evidence My ultimate goal is to own my own research facilities that are dedicated forensic science, and cosmetology.
0.7653636543973591		SimpleArgument(the smallest particle,List([41, 62)))	Relation(can be used as,List([63, 74), [75, 77)))	SimpleArgument(evidence My ultimate goal is to own my own research facilities that forensic science,List([78, 162)))	At a young age, I was fascinated at how the smallest particle can be used as evidence My ultimate goal is to own my own research facilities that are dedicated forensic science, and cosmetology.
0.547338059826203		SimpleArgument(I,List({17}))	Relation(was fascinated at how the smallest particle can be used as evidence My ultimate goal is to own my own research facilities that forensic science At,List([0, 22), [23, 154), [155, 162)))	TemporalArgument(a young age,List([3, 14)))	At a young age, I was fascinated at how the smallest particle can be used as evidence My ultimate goal is to own my own research facilities that are dedicated forensic science, and cosmetology.
0.207579485063707		SimpleArgument(I,List({17}))	Relation(was fascinated at,List([19, 33), [34, 36)))	SimpleArgument(how the smallest particle can be used as evidence My ultimate goal is to own my own research facilities that forensic science,List([37, 162)))	At a young age, I was fascinated at how the smallest particle can be used as evidence My ultimate goal is to own my own research facilities that are dedicated forensic science, and cosmetology.
0.51318521882248		SimpleArgument(My ultimate goal,List([87, 103)))	Relation(is to,List([104, 106), [107, 109)))	SimpleArgument(own my own research facilities,List([110, 140)))	At a young age, I was fascinated at how the smallest particle can be used as evidence My ultimate goal is to own my own research facilities that are dedicated forensic science, and cosmetology.
0.899293834651025		SimpleArgument(the smallest particle,List([41, 62)))	Relation(can be used as,List([63, 74), [75, 77)))	SimpleArgument(evidence My ultimate goal is to own my own research facilities,List([78, 140)))	At a young age, I was fascinated at how the smallest particle can be used as evidence My ultimate goal is to own my own research facilities that are dedicated forensic science, and cosmetology.
0.547338059826203		SimpleArgument(I,List({17}))	Relation(was fascinated at how the smallest particle can be used as evidence My ultimate goal is to own my own research facilities At,List([0, 22), [23, 129), [130, 140)))	TemporalArgument(a young age,List([3, 14)))	At a young age, I was fascinated at how the smallest particle can be used as evidence My ultimate goal is to own my own research facilities that are dedicated forensic science, and cosmetology.
0.41763505952380825		SimpleArgument(I,List({17}))	Relation(was fascinated at,List([19, 33), [34, 36)))	SimpleArgument(how the smallest particle can be used as evidence My ultimate goal is to own my own research facilities,List([37, 140)))	At a young age, I was fascinated at how the smallest particle can be used as evidence My ultimate goal is to own my own research facilities that are dedicated forensic science, and cosmetology.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have done nails since,List([2, 11), [12, 17), [18, 23)))	TemporalArgument(the age of 14 years old,List([24, 47)))	I have done nails since the age of 14 years old.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have done,List([2, 11)))	SimpleArgument(nails,List([12, 17)))	I have done nails since the age of 14 years old.
0.183516546672029	Context(I have done,List([12, 23)))	SimpleArgument(I,List({12}))	Relation(have done nails continuing,List([14, 23), [24, 29)))	SimpleArgument(my education,List([57, 69)))	Since then, I have done nails part-time while continuing my education.
