0.84669388647977		SimpleArgument(producer,List([65, 73)))	Relation(known for,List([74, 79), [80, 83)))	SimpleArgument(his work for the National Film Board of Canada,List([84, 130)))	Norman McLaren, CC, CQ (11 April 1914 – 27 January 1987) was a Scottish-born British/Canadian animator, director and producer known for his work for the National Film Board of Canada (NFB).
0.9182791606956846		SimpleArgument(Norman McLaren , CC , CQ,List([0, 24)))	Relation(was,List([61, 64)))	SimpleArgument(producer known for his work for the National Film Board of Canada ( NFB ),List([65, 138)))	Norman McLaren, CC, CQ (11 April 1914 – 27 January 1987) was a Scottish-born British/Canadian animator, director and producer known for his work for the National Film Board of Canada (NFB).
0.9364220830273079		SimpleArgument(a Scottish - born British / Canadian animator,List([65, 110)))	Relation(known for,List([111, 116), [117, 120)))	SimpleArgument(his work for the National Film Board of Canada,List([121, 167)))	Norman McLaren, CC, CQ (11 April 1914 – 27 January 1987) was a Scottish-born British/Canadian animator, director and producer known for his work for the National Film Board of Canada (NFB).
0.9281019747438567		SimpleArgument(Norman McLaren , CC , CQ,List([0, 24)))	Relation(was,List([61, 64)))	SimpleArgument(a Scottish - born British / Canadian animator,List([65, 110)))	Norman McLaren, CC, CQ (11 April 1914 – 27 January 1987) was a Scottish-born British/Canadian animator, director and producer known for his work for the National Film Board of Canada (NFB).
0.6367319478431899		SimpleArgument(director and producer,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a pioneer in a number of areas of filmmaking , including hand - graphical sound,List([7, 86)))	He was a pioneer in a number of areas of animation and filmmaking, including hand-drawn animation, drawn-on-film animation, visual music, abstract film, pixilation and graphical sound.
0.6367319478431899		SimpleArgument(director and producer,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a pioneer in a number of areas of filmmaking , including hand - pixilation,List([7, 81)))	He was a pioneer in a number of areas of animation and filmmaking, including hand-drawn animation, drawn-on-film animation, visual music, abstract film, pixilation and graphical sound.
0.6367319478431899		SimpleArgument(director and producer,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a pioneer in a number of areas of filmmaking , including hand - abstract film,List([7, 84)))	He was a pioneer in a number of areas of animation and filmmaking, including hand-drawn animation, drawn-on-film animation, visual music, abstract film, pixilation and graphical sound.
0.6367319478431899		SimpleArgument(director and producer,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a pioneer in a number of areas of filmmaking , including hand - visual music,List([7, 83)))	He was a pioneer in a number of areas of animation and filmmaking, including hand-drawn animation, drawn-on-film animation, visual music, abstract film, pixilation and graphical sound.
0.6367319478431899		SimpleArgument(director and producer,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a pioneer in a number of areas of filmmaking , including hand - drawn - on - film animation,List([7, 98)))	He was a pioneer in a number of areas of animation and filmmaking, including hand-drawn animation, drawn-on-film animation, visual music, abstract film, pixilation and graphical sound.
0.6367319478431899		SimpleArgument(director and producer,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a pioneer in a number of areas of filmmaking , including hand - drawn animation,List([7, 86)))	He was a pioneer in a number of areas of animation and filmmaking, including hand-drawn animation, drawn-on-film animation, visual music, abstract film, pixilation and graphical sound.
0.6367319478431899		SimpleArgument(director and producer,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a pioneer in a number of areas of animation , including hand - graphical sound,List([7, 85)))	He was a pioneer in a number of areas of animation and filmmaking, including hand-drawn animation, drawn-on-film animation, visual music, abstract film, pixilation and graphical sound.
