0.9929999709129333		SimpleArgument(James Jones Signature James Jones,List([0, 0)))	Relation(was born in,List([0, 0)))	SimpleArgument(1734,List(null))	James Jones Signature James Jones was born in 1734.
0.8560934582575079		SimpleArgument(James Jones Signature James Jones,List([0, 33)))	Relation(was born in,List([34, 42), [43, 45)))	TemporalArgument(1734,List([46, 50)))	James Jones Signature James Jones was born in 1734.
0.9929999709129333		SimpleArgument(Christianah Folch,List([0, 0)))	Relation(were married circa,List([0, 0)))	SimpleArgument(1764,List(null))	He and Christianah Folch were married circa 1764.
0.816575697747956		SimpleArgument(Christianah Folch,List([0, 17)))	Relation(were married circa,List([18, 30), [31, 36)))	TemporalArgument(1764,List([37, 41)))	He and Christianah Folch were married circa 1764.
0.9929999709129333		SimpleArgument(James Jones James Jones Signature James Jones,List([0, 0)))	Relation(were married circa,List([0, 0)))	SimpleArgument(1764,List(null))	He and Christianah Folch were married circa 1764.
0.22506131975927415		SimpleArgument(James Jones James Jones Signature James Jones,List([0, 2)))	Relation(were married circa,List([3, 15), [16, 21)))	TemporalArgument(1764,List([22, 26)))	He and Christianah Folch were married circa 1764.
0.30899953469486874		SimpleArgument(James Jones James Jones Signature James Jones,List([0, 2)))	Relation(had nine wagon loads of household goods,List([3, 6), [7, 42)))	TemporalArgument(when he moved , around 1772,List([43, 70)))	He had nine wagon loads of furniture and household goods when he moved, around 1772, to Kingstown (Kingston), New York.
0.5222094630377523		SimpleArgument(James Jones James Jones Signature James Jones,List([0, 2)))	Relation(had,List([3, 6)))	SimpleArgument(nine wagon loads of household goods,List([7, 42)))	He had nine wagon loads of furniture and household goods when he moved, around 1772, to Kingstown (Kingston), New York.
0.30899953469486874		SimpleArgument(James Jones James Jones Signature James Jones,List([0, 2)))	Relation(had nine wagon loads of furniture,List([3, 6), [7, 36)))	TemporalArgument(when he moved , around 1772,List([37, 64)))	He had nine wagon loads of furniture and household goods when he moved, around 1772, to Kingstown (Kingston), New York.
0.5222094630377523		SimpleArgument(James Jones James Jones Signature James Jones,List([0, 2)))	Relation(had,List([3, 6)))	SimpleArgument(nine wagon loads of furniture,List([7, 36)))	He had nine wagon loads of furniture and household goods when he moved, around 1772, to Kingstown (Kingston), New York.
0.9990000128746033		SimpleArgument(James,List([0, 0)))	Relation(leased,List([0, 0)))	SimpleArgument(52 acres,List(null))	James leased 52 acres of corporation land, on lease forever, for the annual rent of 12 skipples of wheat.
0.8821520356066511		SimpleArgument(James,List([0, 5)))	Relation(leased 52 acres of corporation land for,List([6, 12), [13, 41), [61, 64)))	SimpleArgument(the annual rent of 12 skipples of wheat,List([65, 104)))	James leased 52 acres of corporation land, on lease forever, for the annual rent of 12 skipples of wheat.
0.7711021503530645		SimpleArgument(James,List([0, 5)))	Relation(leased 52 acres of corporation land,List([6, 12), [13, 41)))	TemporalArgument(forever,List([52, 59)))	James leased 52 acres of corporation land, on lease forever, for the annual rent of 12 skipples of wheat.
0.8821520356066511		SimpleArgument(James,List([0, 5)))	Relation(leased 52 acres of corporation land on,List([6, 12), [13, 41), [43, 45)))	SpatialArgument(lease,List([46, 51)))	James leased 52 acres of corporation land, on lease forever, for the annual rent of 12 skipples of wheat.
0.9197759696552441		SimpleArgument(James,List([0, 5)))	Relation(leased,List([6, 12)))	SimpleArgument(52 acres of corporation land,List([13, 41)))	James leased 52 acres of corporation land, on lease forever, for the annual rent of 12 skipples of wheat.
