0.896876346927684		SimpleArgument(a French psychiatrist,List([107, 128)))	Relation(has been called,List([133, 148)))	SimpleArgument(the most controversial psycho - analyst since Freud,List([151, 202)))	"Jacques Marie Émile Lacan (/ləˈkɑːn/; [ʒak lakɑ̃]; 13 April 1901 – 9 September 1981), known simply as Jacques Lacan, was a French psychoanalyst and psychiatrist who has been called ""the most controversial psycho-analyst since Freud""."
0.9947309122810928		SimpleArgument(kɑːn / ; [ ʒak lakɑ~ ] ; 13 April 1901 - 9 September 1981 ) , known simply as Jacques Lacan,List([9, 100)))	Relation(was,List([103, 106)))	"SimpleArgument(a French psychiatrist who has been called "" the most controversial psycho - analyst since Freud "",List([107, 204)))"	"Jacques Marie Émile Lacan (/ləˈkɑːn/; [ʒak lakɑ̃]; 13 April 1901 – 9 September 1981), known simply as Jacques Lacan, was a French psychoanalyst and psychiatrist who has been called ""the most controversial psycho-analyst since Freud""."
0.896876346927684		SimpleArgument(a French psychoanalyst,List([107, 129)))	Relation(has been called,List([134, 149)))	SimpleArgument(the most controversial psycho - analyst since Freud,List([152, 203)))	"Jacques Marie Émile Lacan (/ləˈkɑːn/; [ʒak lakɑ̃]; 13 April 1901 – 9 September 1981), known simply as Jacques Lacan, was a French psychoanalyst and psychiatrist who has been called ""the most controversial psycho-analyst since Freud""."
0.9947309122810928		SimpleArgument(kɑːn / ; [ ʒak lakɑ~ ] ; 13 April 1901 - 9 September 1981 ) , known simply as Jacques Lacan,List([9, 100)))	Relation(was,List([103, 106)))	"SimpleArgument(a French psychoanalyst who has been called "" the most controversial psycho - analyst since Freud "",List([107, 205)))"	"Jacques Marie Émile Lacan (/ləˈkɑːn/; [ʒak lakɑ̃]; 13 April 1901 – 9 September 1981), known simply as Jacques Lacan, was a French psychoanalyst and psychiatrist who has been called ""the most controversial psycho-analyst since Freud""."
0.854490066768046		SimpleArgument(kɑːn,List([9, 13)))	Relation(known,List([71, 76)))	SimpleArgument(simply as Jacques Lacan,List([77, 100)))	"Jacques Marie Émile Lacan (/ləˈkɑːn/; [ʒak lakɑ̃]; 13 April 1901 – 9 September 1981), known simply as Jacques Lacan, was a French psychoanalyst and psychiatrist who has been called ""the most controversial psycho-analyst since Freud""."
0.8982330273114404		SimpleArgument(Lacan,List([52, 57)))	Relation(influenced,List([58, 68)))	SimpleArgument(many leading French intellectuals in the 1970 s,List([69, 116)))	Giving yearly seminars in Paris from 1953 to 1981, Lacan influenced many leading French intellectuals in the 1960s and the 1970s, especially those associated with post-structuralism.
0.5682555286682759		SimpleArgument(especially those,List([119, 135)))	Relation(associated with,List([136, 146), [147, 151)))	SimpleArgument(post-structuralism,List([152, 170)))	Giving yearly seminars in Paris from 1953 to 1981, Lacan influenced many leading French intellectuals in the 1960s and the 1970s, especially those associated with post-structuralism.
0.8982330273114404		SimpleArgument(Lacan,List([52, 57)))	Relation(influenced,List([58, 68)))	SimpleArgument(many leading French intellectuals in the 1960 s,List([69, 116)))	Giving yearly seminars in Paris from 1953 to 1981, Lacan influenced many leading French intellectuals in the 1960s and the 1970s, especially those associated with post-structuralism.
0.7005288659799959		SimpleArgument(His ideas,List([0, 9)))	Relation(had,List([10, 13)))	SimpleArgument(a significant impact on clinical psychoanalysis,List([14, 61)))	His ideas had a significant impact on post-structuralism, critical theory, linguistics, 20th-century French philosophy, film theory and clinical psychoanalysis.
0.7005288659799959		SimpleArgument(His ideas,List([0, 9)))	Relation(had,List([10, 13)))	SimpleArgument(a significant impact on film theory,List([14, 49)))	His ideas had a significant impact on post-structuralism, critical theory, linguistics, 20th-century French philosophy, film theory and clinical psychoanalysis.
0.7005288659799959		SimpleArgument(His ideas,List([0, 9)))	Relation(had,List([10, 13)))	SimpleArgument(a significant impact on 20th - century French philosophy,List([14, 70)))	His ideas had a significant impact on post-structuralism, critical theory, linguistics, 20th-century French philosophy, film theory and clinical psychoanalysis.
0.7005288659799959		SimpleArgument(His ideas,List([0, 9)))	Relation(had,List([10, 13)))	SimpleArgument(a significant impact on linguistics,List([14, 49)))	His ideas had a significant impact on post-structuralism, critical theory, linguistics, 20th-century French philosophy, film theory and clinical psychoanalysis.
0.7005288659799959		SimpleArgument(His ideas,List([0, 9)))	Relation(had,List([10, 13)))	SimpleArgument(a significant impact on post-structuralism , critical theory,List([14, 74)))	His ideas had a significant impact on post-structuralism, critical theory, linguistics, 20th-century French philosophy, film theory and clinical psychoanalysis.
