0.9681838090774921		SimpleArgument(Lauren Mann (born c. 1984 in Sudbury,List([0, 36)))	Relation(is,List([47, 49)))	SimpleArgument(a Canadian curler from Aylmer,List([50, 79)))	Lauren Mann (born c. 1984 in Sudbury, Ontario) is a Canadian curler from Aylmer, Quebec.
0.8934644291176528		SimpleArgument(Lauren Mann,List([0, 11)))	Relation(born in,List([13, 17), [26, 28)))	SpatialArgument(Sudbury,List([29, 36)))	Lauren Mann (born c. 1984 in Sudbury, Ontario) is a Canadian curler from Aylmer, Quebec.
0.9445721975409912		SimpleArgument(Lauren Mann,List([0, 11)))	Relation(born,List([13, 17)))	TemporalArgument(c. 1984,List([18, 25)))	Lauren Mann (born c. 1984 in Sudbury, Ontario) is a Canadian curler from Aylmer, Quebec.
0.9040259452709256		SimpleArgument(Mann,List([21, 25)))	Relation(was,List([26, 29)))	SimpleArgument(the 2002 Ontario Winter Games championship,List([30, 72)))	As a junior curler, Mann was the 2002 Ontario Winter Games championship playing third for Laura Payne, and won a silver medal for Ontario at the 2003 Canada Winter Games.
0.38089450366724514		SimpleArgument(Mixed Championship,List([41, 59)))	Relation([is] Junior [from],List([34, 40)))	SimpleArgument(Ontario,List([26, 33)))	Also in 2003, she won the Ontario Junior Mixed Championship playing third for Chris Gardner.
0.4328394458044063	Context(she won,List([14, 21)))	SimpleArgument(Mann,List([14, 17)))	Relation(won the Ontario Junior Mixed Championship playing third for,List([18, 21), [22, 33), [34, 40)))	SimpleArgument(Chris Gardner,List([78, 91)))	Also in 2003, she won the Ontario Junior Mixed Championship playing third for Chris Gardner.
0.24707677063501074		SimpleArgument(Mann,List([14, 17)))	Relation(won the Ontario Junior Mixed Championship in,List([5, 7), [18, 46), [47, 59)))	TemporalArgument(2003,List([8, 12)))	Also in 2003, she won the Ontario Junior Mixed Championship playing third for Chris Gardner.
0.5031023801911841		SimpleArgument(Mann,List([14, 17)))	Relation(won,List([18, 21)))	SimpleArgument(the Ontario Junior Mixed Championship,List([22, 59)))	Also in 2003, she won the Ontario Junior Mixed Championship playing third for Chris Gardner.
0.38089450366724514		SimpleArgument(Curling,List([59, 66)))	Relation([is] Junior [of],List([52, 58)))	SimpleArgument(Pepsi Ontario,List([38, 51)))	In 2005, she lost in the final of the Pepsi Ontario Junior Curling Championships to Erin Morrissey.
0.29886655727758943		SimpleArgument(Mann,List([9, 12)))	Relation(lost to Erin Morrissey In,List([0, 2), [13, 88), [89, 98)))	TemporalArgument(2005,List([3, 7)))	In 2005, she lost in the final of the Pepsi Ontario Junior Curling Championships to Erin Morrissey.
0.3929209860966329		SimpleArgument(Mann,List([9, 12)))	Relation(lost to,List([13, 17), [81, 83)))	SimpleArgument(Erin Morrissey,List([84, 98)))	In 2005, she lost in the final of the Pepsi Ontario Junior Curling Championships to Erin Morrissey.
0.4907332801074571		SimpleArgument(Mann,List([9, 12)))	Relation(lost to Erin Morrissey in,List([13, 17), [18, 88), [89, 98)))	SpatialArgument(the final of the Pepsi Ontario Junior Curling Championships,List([21, 80)))	In 2005, she lost in the final of the Pepsi Ontario Junior Curling Championships to Erin Morrissey.
0.45592395356914683		SimpleArgument(Mann,List([0, 3)))	Relation(losing to,List([36, 42), [43, 45)))	SimpleArgument(Lisa Farnell,List([46, 58)))	She was also the runner-up in 2006, losing to Lisa Farnell.
0.45170382506656653		SimpleArgument(Mann,List([0, 3)))	Relation(was also,List([4, 12)))	SimpleArgument(the runner-up in 2006,List([13, 34)))	She was also the runner-up in 2006, losing to Lisa Farnell.
0.7532657647087118		SimpleArgument(Mann,List([10, 14)))	Relation(entered the 2015 Quebec Scotties Tournament of Hearts In,List([0, 2), [15, 61), [62, 68)))	TemporalArgument(2014,List([3, 7)))	In 2014, Mann moved to Quebec and entered the 2015 Quebec Scotties Tournament of Hearts with teammates Amelie Blais, Brittany O'Rourke and Anne-Marie Filteau.
0.876543225140763		SimpleArgument(Mann,List([10, 14)))	Relation(entered,List([15, 22)))	SimpleArgument(the 2015 Quebec Scotties Tournament of Hearts,List([23, 68)))	In 2014, Mann moved to Quebec and entered the 2015 Quebec Scotties Tournament of Hearts with teammates Amelie Blais, Brittany O'Rourke and Anne-Marie Filteau.
0.7532657647087118		SimpleArgument(Mann,List([10, 14)))	Relation(moved to Quebec In,List([0, 2), [15, 23), [24, 30)))	TemporalArgument(2014,List([3, 7)))	In 2014, Mann moved to Quebec and entered the 2015 Quebec Scotties Tournament of Hearts with teammates Amelie Blais, Brittany O'Rourke and Anne-Marie Filteau.
0.876543225140763		SimpleArgument(Mann,List([10, 14)))	Relation(moved to,List([15, 20), [21, 23)))	SimpleArgument(Quebec,List([24, 30)))	In 2014, Mann moved to Quebec and entered the 2015 Quebec Scotties Tournament of Hearts with teammates Amelie Blais, Brittany O'Rourke and Anne-Marie Filteau.
0.292827695956731	Context(She would win,List([0, 13)))	SimpleArgument(Mann,List([0, 3)))	Relation(would win the event defeating Roxane Perron in,List([4, 13), [14, 17), [18, 78), [79, 85)))	SpatialArgument(the final,List([96, 105)))	She would win the event after posting an 8–2 round robin record, and defeating Roxane Perron in the final.
0.332563478582812	Context(She would win,List([0, 13)))	SimpleArgument(Mann,List([0, 3)))	Relation(would win the event defeating,List([4, 13), [14, 17)))	SimpleArgument(Roxane Perron,List([79, 92)))	She would win the event after posting an 8–2 round robin record, and defeating Roxane Perron in the final.
