0.9649787498358364		SimpleArgument(The International Elephant Foundation,List([0, 37)))	Relation(is,List([44, 46)))	SimpleArgument(a non-profit 501(c)(3) corporation,List([47, 81)))	The International Elephant Foundation (IEF) is a non-profit 501(c)(3) corporation.
0.9197759696552441		SimpleArgument(International Elephant Foundation,List([24, 27)))	Relation(is dedicated to,List([28, 40), [41, 43)))	SimpleArgument(the conservation of Asian Elephants worldwide,List([44, 89)))	Formed by individuals and institutions, IEF is dedicated to the conservation of African and Asian Elephants worldwide.
0.9197759696552441		SimpleArgument(International Elephant Foundation,List([24, 27)))	Relation(is dedicated to,List([28, 40), [41, 43)))	SimpleArgument(the conservation of African Elephants worldwide,List([44, 91)))	Formed by individuals and institutions, IEF is dedicated to the conservation of African and Asian Elephants worldwide.
0.8993373909505712	Context(Executive Director of Fort Worth Zoo Michael Fouraker envisioned,List([10, 74)))	SimpleArgument(Executive Director of Fort Worth Zoo Michael Fouraker,List([10, 63)))	Relation(envisioned an elephant foundation to provide expertise to,List([64, 74), [75, 86), [87, 97), [98, 100)))	SimpleArgument(elephant related projects,List([122, 147)))	In 1998, Executive Director of Fort Worth Zoo Michael Fouraker envisioned an elephant foundation to provide funds and expertise to elephant related projects.
0.8993373909505712	Context(Executive Director of Fort Worth Zoo Michael Fouraker envisioned,List([10, 74)))	SimpleArgument(Executive Director of Fort Worth Zoo Michael Fouraker,List([10, 63)))	Relation(envisioned an elephant foundation to provide,List([64, 74), [75, 86)))	SimpleArgument(expertise,List([109, 118)))	In 1998, Executive Director of Fort Worth Zoo Michael Fouraker envisioned an elephant foundation to provide funds and expertise to elephant related projects.
0.8993373909505712		SimpleArgument(Executive Director of Fort Worth Zoo Michael Fouraker,List([10, 63)))	Relation(envisioned an elephant foundation to,List([64, 74), [75, 97), [98, 100)))	SimpleArgument(provide expertise to elephant related projects,List([101, 147)))	In 1998, Executive Director of Fort Worth Zoo Michael Fouraker envisioned an elephant foundation to provide funds and expertise to elephant related projects.
0.8993373909505712	Context(Executive Director of Fort Worth Zoo Michael Fouraker envisioned,List([10, 74)))	SimpleArgument(Executive Director of Fort Worth Zoo Michael Fouraker,List([10, 63)))	Relation(envisioned an elephant foundation to provide,List([64, 74), [75, 86)))	SimpleArgument(funds to elephant related projects,List([109, 143)))	In 1998, Executive Director of Fort Worth Zoo Michael Fouraker envisioned an elephant foundation to provide funds and expertise to elephant related projects.
0.8221484384696843		SimpleArgument(Executive Director of Fort Worth Zoo Michael Fouraker,List([10, 63)))	Relation(envisioned an elephant foundation In,List([0, 2), [64, 86), [87, 97)))	TemporalArgument(1998,List([3, 7)))	In 1998, Executive Director of Fort Worth Zoo Michael Fouraker envisioned an elephant foundation to provide funds and expertise to elephant related projects.
0.8993373909505712		SimpleArgument(Executive Director of Fort Worth Zoo Michael Fouraker,List([10, 63)))	Relation(envisioned,List([64, 74)))	SimpleArgument(an elephant foundation,List([75, 97)))	In 1998, Executive Director of Fort Worth Zoo Michael Fouraker envisioned an elephant foundation to provide funds and expertise to elephant related projects.
0.9484177987969541		SimpleArgument(Executive Director of Fort Worth Zoo Michael Fouraker,List([0, 7)))	Relation(used the business plan of IRF as,List([8, 12), [13, 37), [38, 40)))	SimpleArgument(a template for multiple elephant holding facilities with diverse missions,List([41, 114)))	Michael was a board member of International Rhino Foundation (IRF), and used the organizational structure and business plan of IRF as a template for multiple elephant holding facilities with diverse missions to come together for a shared common goal of contributing to the long-term preservation of elephants.
0.9324144673478683		SimpleArgument(Executive Director of Fort Worth Zoo Michael Fouraker,List([0, 7)))	Relation(used,List([8, 12)))	SimpleArgument(the business plan of IRF,List([13, 37)))	Michael was a board member of International Rhino Foundation (IRF), and used the organizational structure and business plan of IRF as a template for multiple elephant holding facilities with diverse missions to come together for a shared common goal of contributing to the long-term preservation of elephants.
