0.9267899601589662		SimpleArgument(a South Korean business group,List([16, 45)))	Relation(associated with,List([56, 66), [67, 71)))	SimpleArgument(the Unification Church,List([72, 94)))	Tongil Group is a South Korean business group (chaebol) associated with the Unification Church.
0.9699974998635915		SimpleArgument(Tongil Group,List([0, 12)))	Relation(is,List([13, 15)))	SimpleArgument(a South Korean business group (chaebol) associated with the Unification Church,List([16, 94)))	Tongil Group is a South Korean business group (chaebol) associated with the Unification Church.
0.783986594052698	Context(the name of the Unification Church in Korean is,List([39, 86)))	SimpleArgument(Tongil,List([2, 8)))	Relation(is,List([10, 12)))	SimpleArgument(Korean,List([13, 19)))	"(""Tongil"" is Korean for ""unification,"" the name of the Unification Church in Korean is ""Tongilgyo."")"
0.9600397372839947		SimpleArgument(the name of the Unification Church in Korean,List([39, 83)))	Relation(is,List([84, 86)))	SimpleArgument(Tongilgyo,List([88, 97)))	"(""Tongil"" is Korean for ""unification,"" the name of the Unification Church in Korean is ""Tongilgyo."")"
0.38089450366724514		SimpleArgument(Myung Moon,List([57, 67)))	Relation([is] Church founder Sun [of],List([38, 56)))	SimpleArgument(Unification,List([26, 37)))	It was founded in 1963 by Unification Church founder Sun Myung Moon (following the purchase of a surplus Japanese lathe in 1962) as a nonprofit organization which would provide revenue for the church.
0.896604430840561		SimpleArgument(a nonprofit organization,List([132, 156)))	Relation(would provide,List([163, 176)))	SimpleArgument(revenue,List([177, 184)))	It was founded in 1963 by Unification Church founder Sun Myung Moon (following the purchase of a surplus Japanese lathe in 1962) as a nonprofit organization which would provide revenue for the church.
0.5240770208049689		"SimpleArgument(""Tongilgyo,List([0, 2)))"	Relation(was founded,List([3, 14)))	TemporalArgument(following the purchase of a surplus Japanese lathe in 1962) as a nonprofit organization,List([69, 156)))	It was founded in 1963 by Unification Church founder Sun Myung Moon (following the purchase of a surplus Japanese lathe in 1962) as a nonprofit organization which would provide revenue for the church.
0.3929209860966329		"SimpleArgument(""Tongilgyo,List([0, 2)))"	Relation(was founded by,List([3, 14), [23, 25)))	SimpleArgument(Unification Church founder Sun Myung Moon,List([26, 67)))	It was founded in 1963 by Unification Church founder Sun Myung Moon (following the purchase of a surplus Japanese lathe in 1962) as a nonprofit organization which would provide revenue for the church.
0.22506131975927415		"SimpleArgument(""Tongilgyo,List([0, 2)))"	Relation(was founded in,List([3, 14), [15, 17)))	TemporalArgument(1963,List([18, 22)))	It was founded in 1963 by Unification Church founder Sun Myung Moon (following the purchase of a surplus Japanese lathe in 1962) as a nonprofit organization which would provide revenue for the church.
0.41051436014453063		"SimpleArgument(""Tongilgyo,List([14, 16)))"	Relation(by acquiring,List([26, 38)))	SimpleArgument(businesses in publishing,List([39, 63)))	Its core focus was manufacturing but in the 1970s and 1980s it expanded by founding or acquiring businesses in pharmaceuticals, tourism, and publishing.
0.41051436014453063		"SimpleArgument(""Tongilgyo,List([14, 16)))"	Relation(by acquiring,List([26, 38)))	SimpleArgument(businesses in tourism,List([39, 60)))	Its core focus was manufacturing but in the 1970s and 1980s it expanded by founding or acquiring businesses in pharmaceuticals, tourism, and publishing.
