0.5222094630377523		SimpleArgument(Olivia Wilde Biography,List([47, 50)))	Relation(is,List([51, 53)))	SimpleArgument(an engaged woman,List([54, 70)))	Reflecting on a personal life of Olivia Wilde, she is an engaged woman.
0.45592395356914683		SimpleArgument(Olivia Wilde Biography,List([0, 3)))	Relation(after being in a romantic relationship since,List([43, 54), [55, 81), [82, 87)))	TemporalArgument(November 2011,List([88, 101)))	She engaged Jason Sudeikis in January 2013 after being in a romantic relationship since November 2011.
0.41051436014453063		SimpleArgument(Olivia Wilde Biography,List([0, 3)))	Relation(after being in,List([43, 54), [55, 57)))	SimpleArgument(a romantic relationship,List([58, 81)))	She engaged Jason Sudeikis in January 2013 after being in a romantic relationship since November 2011.
0.3929209860966329		SimpleArgument(Olivia Wilde Biography,List([0, 3)))	Relation(engaged Jason Sudeikis after,List([4, 11), [12, 26), [43, 48)))	TemporalArgument(being in a romantic relationship since November 2011,List([49, 101)))	She engaged Jason Sudeikis in January 2013 after being in a romantic relationship since November 2011.
0.4978219019954182		SimpleArgument(Olivia Wilde Biography,List([0, 3)))	Relation(engaged Jason Sudeikis in,List([4, 11), [12, 26), [27, 29)))	TemporalArgument(January 2013,List([30, 42)))	She engaged Jason Sudeikis in January 2013 after being in a romantic relationship since November 2011.
0.4978219019954182		SimpleArgument(Olivia Wilde Biography,List([0, 3)))	Relation(engaged,List([4, 11)))	SimpleArgument(Jason Sudeikis,List([12, 26)))	She engaged Jason Sudeikis in January 2013 after being in a romantic relationship since November 2011.
0.9005286127300474		SimpleArgument(The couple,List([0, 10)))	Relation(has together,List([11, 14), [28, 36)))	SimpleArgument(two children,List([15, 27)))	The couple has two children together, Otis Alexander and Daisy Josephine.
0.24974086267242848		SimpleArgument(Olivia Wilde Biography,List([13, 16)))	Relation(was married to Tao Ruspoli on their married relationship,List([17, 20), [21, 73)))	TemporalArgument(Previously,List([0, 10)))	Previously, she was married to Tao Ruspoli on 16 January 2003 but their married relationship couldn't last for long and they got divorced on 29 September 2011.
0.35466356474056393		SimpleArgument(Olivia Wilde Biography,List([13, 16)))	Relation(was,List([17, 20)))	SimpleArgument(married to Tao Ruspoli on their married relationship,List([21, 73)))	Previously, she was married to Tao Ruspoli on 16 January 2003 but their married relationship couldn't last for long and they got divorced on 29 September 2011.
0.7187483241943455		SimpleArgument(The couple has two children together, Otis Alexander and Daisy Josephine,List([78, 82)))	Relation(got,List([83, 86)))	SimpleArgument(divorced on 29 September 2011,List([87, 116)))	Previously, she was married to Tao Ruspoli on 16 January 2003 but their married relationship couldn't last for long and they got divorced on 29 September 2011.
0.24974086267242848		SimpleArgument(Olivia Wilde Biography,List([13, 16)))	Relation(was married to Tao Ruspoli on 16 January 2003,List([17, 20), [21, 62)))	TemporalArgument(Previously,List([0, 10)))	Previously, she was married to Tao Ruspoli on 16 January 2003 but their married relationship couldn't last for long and they got divorced on 29 September 2011.
0.5031023801911841		SimpleArgument(Olivia Wilde Biography,List([13, 16)))	Relation(was,List([17, 20)))	SimpleArgument(married to Tao Ruspoli on 16 January 2003,List([21, 62)))	Previously, she was married to Tao Ruspoli on 16 January 2003 but their married relationship couldn't last for long and they got divorced on 29 September 2011.
0.3125601471068353		SimpleArgument(Olivia Wilde Biography,List([46, 49)))	Relation(to have hooked up with Ryan Gosling in,List([62, 79), [80, 97), [102, 104)))	TemporalArgument(the same year,List([105, 118)))	After her unsuccessful married relationship, she was rumored to have hooked up with Bradley Copper, Justin Timberlake, and Ryan Gosling all in the same year 2011.
0.45592395356914683		SimpleArgument(Olivia Wilde Biography,List([46, 49)))	Relation(to have hooked up with,List([62, 79), [80, 84)))	SimpleArgument(Ryan Gosling,List([85, 97)))	After her unsuccessful married relationship, she was rumored to have hooked up with Bradley Copper, Justin Timberlake, and Ryan Gosling all in the same year 2011.
0.3125601471068353		SimpleArgument(Olivia Wilde Biography,List([46, 49)))	Relation(to have hooked up with Justin Timberlake in,List([62, 79), [80, 102), [107, 109)))	TemporalArgument(the same year,List([110, 123)))	After her unsuccessful married relationship, she was rumored to have hooked up with Bradley Copper, Justin Timberlake, and Ryan Gosling all in the same year 2011.
0.45592395356914683		SimpleArgument(Olivia Wilde Biography,List([46, 49)))	Relation(to have hooked up with,List([62, 79), [80, 84)))	SimpleArgument(Justin Timberlake,List([85, 102)))	After her unsuccessful married relationship, she was rumored to have hooked up with Bradley Copper, Justin Timberlake, and Ryan Gosling all in the same year 2011.
0.3125601471068353		SimpleArgument(Olivia Wilde Biography,List([46, 49)))	Relation(to have hooked up with Bradley Copper in,List([62, 79), [80, 99), [104, 106)))	TemporalArgument(the same year,List([107, 120)))	After her unsuccessful married relationship, she was rumored to have hooked up with Bradley Copper, Justin Timberlake, and Ryan Gosling all in the same year 2011.
0.45592395356914683		SimpleArgument(Olivia Wilde Biography,List([46, 49)))	Relation(to have hooked up with,List([62, 79), [80, 84)))	SimpleArgument(Bradley Copper,List([85, 99)))	After her unsuccessful married relationship, she was rumored to have hooked up with Bradley Copper, Justin Timberlake, and Ryan Gosling all in the same year 2011.
0.39625576749130315		SimpleArgument(Olivia Wilde Biography,List([46, 49)))	Relation(was rumored After,List([0, 53), [54, 61)))	TemporalArgument(their married relationship,List([6, 43)))	After her unsuccessful married relationship, she was rumored to have hooked up with Bradley Copper, Justin Timberlake, and Ryan Gosling all in the same year 2011.
0.9101291295329121		SimpleArgument(other relationships,List([44, 63)))	Relation(know,List([72, 76)))	SimpleArgument(we,List([69, 71)))	There isn't any information of her being in other relationships that we know of.
0.45170382506656653		SimpleArgument(Olivia Wilde Biography,List([31, 34)))	Relation(being in,List([35, 40), [41, 43)))	SimpleArgument(other relationships,List([44, 63)))	There isn't any information of her being in other relationships that we know of.
0.44721489764299094		SimpleArgument(her fans,List([19, 27)))	Relation(to know more about,List([47, 54), [55, 59), [60, 65)))	SimpleArgument(Olivia Wilde Biography,List([66, 69)))	Being a celebrity, her fans are always curious to know more about her.
0.3444466732705899		SimpleArgument(her fans,List([19, 27)))	Relation(to know,List([47, 54)))	SimpleArgument(more,List([55, 59)))	Being a celebrity, her fans are always curious to know more about her.
0.4437344651280961		SimpleArgument(her fans,List([19, 27)))	Relation(are,List([28, 31)))	SimpleArgument(curious to know more about her,List([39, 69)))	Being a celebrity, her fans are always curious to know more about her.
0.3766366860389067		SimpleArgument(her fans,List([19, 27)))	Relation(are curious to know more about her,List([28, 31), [39, 69)))	TemporalArgument(always,List([32, 38)))	Being a celebrity, her fans are always curious to know more about her.
