0.38089450366724514		SimpleArgument(Management Jean,List([67, 84)))	Relation([is] Subsidiary [of],List([56, 66)))	SimpleArgument(Infront France,List([41, 55)))	Jean-François Jeanne Managing Director – Infront France Subsidiary Management   Jean-François Jeanne, Managing Director of Infront France, has spent his entire professional career in sports business, currently leading the French subsidiary.
0.38089450366724514		SimpleArgument(Director - Infront France Subsidiary Management Jean - François Jeanne,List([30, 100)))	Relation([is] Managing Director of,List([102, 122)))	SimpleArgument(Infront France,List([123, 137)))	Jean-François Jeanne Managing Director – Infront France Subsidiary Management   Jean-François Jeanne, Managing Director of Infront France, has spent his entire professional career in sports business, currently leading the French subsidiary.
0.7735752848833386	Context(Jean - François Jeanne has spent,List([0, 148)))	SimpleArgument(Jean-François Jeanne,List([0, 20)))	Relation(has spent his entire professional career in sports business leading the French subsidiary,List([139, 148), [149, 152), [153, 179)))	TemporalArgument(currently,List([200, 209)))	Jean-François Jeanne Managing Director – Infront France Subsidiary Management   Jean-François Jeanne, Managing Director of Infront France, has spent his entire professional career in sports business, currently leading the French subsidiary.
0.8668342639260143	Context(Jean - François Jeanne has spent,List([0, 148)))	SimpleArgument(Jean-François Jeanne,List([0, 20)))	Relation(has spent his entire professional career in sports business leading,List([139, 148), [149, 152)))	SimpleArgument(the French subsidiary,List([218, 239)))	Jean-François Jeanne Managing Director – Infront France Subsidiary Management   Jean-François Jeanne, Managing Director of Infront France, has spent his entire professional career in sports business, currently leading the French subsidiary.
0.9567552188553103	Context(Jean - François Jeanne has spent,List([0, 148)))	SimpleArgument(Jean-François Jeanne,List([0, 20)))	Relation(has spent his entire professional career in sports business Managing,List([21, 142), [143, 148)))	SimpleArgument(Director - Infront France Subsidiary Management   Jean-François Jeanne,List([30, 100)))	Jean-François Jeanne Managing Director – Infront France Subsidiary Management   Jean-François Jeanne, Managing Director of Infront France, has spent his entire professional career in sports business, currently leading the French subsidiary.
0.8925878257565486		SimpleArgument(Jean-François Jeanne,List([0, 20)))	Relation(has spent his entire professional career in sports business,List([139, 148), [149, 198)))	SimpleArgument(currently leading the French subsidiary,List([200, 239)))	Jean-François Jeanne Managing Director – Infront France Subsidiary Management   Jean-François Jeanne, Managing Director of Infront France, has spent his entire professional career in sports business, currently leading the French subsidiary.
0.8440372520019503		SimpleArgument(Jean-François Jeanne,List([0, 20)))	Relation(has spent,List([139, 148)))	SimpleArgument(his entire professional career in sports business,List([149, 198)))	Jean-François Jeanne Managing Director – Infront France Subsidiary Management   Jean-François Jeanne, Managing Director of Infront France, has spent his entire professional career in sports business, currently leading the French subsidiary.
0.9706397391698889		SimpleArgument(Jean - François,List([27, 42)))	Relation(was Senior Deputy Managing Director at Sportfive France , responsible for marketing,List([43, 46), [47, 126)))	TemporalArgument(Prior to joining Infront,List([0, 24)))	Prior to joining Infront, Jean-François was Senior Vice President and Deputy Managing Director at Sportfive France, responsible for sales and marketing.
0.9726855614196764		SimpleArgument(Jean - François,List([27, 42)))	Relation(was,List([43, 46)))	SimpleArgument(Senior Deputy Managing Director at Sportfive France , responsible for marketing,List([47, 126)))	Prior to joining Infront, Jean-François was Senior Vice President and Deputy Managing Director at Sportfive France, responsible for sales and marketing.
0.9706397391698889		SimpleArgument(Jean - François,List([27, 42)))	Relation(was Senior Deputy Managing Director at Sportfive France , responsible for sales,List([43, 46), [47, 122)))	TemporalArgument(Prior to joining Infront,List([0, 24)))	Prior to joining Infront, Jean-François was Senior Vice President and Deputy Managing Director at Sportfive France, responsible for sales and marketing.
0.9726855614196764		SimpleArgument(Jean - François,List([27, 42)))	Relation(was,List([43, 46)))	SimpleArgument(Senior Deputy Managing Director at Sportfive France , responsible for sales,List([47, 122)))	Prior to joining Infront, Jean-François was Senior Vice President and Deputy Managing Director at Sportfive France, responsible for sales and marketing.
0.9614181712319672		SimpleArgument(Jean - François,List([27, 42)))	Relation(was Senior Vice President , responsible for marketing,List([43, 46), [47, 96)))	TemporalArgument(Prior to joining Infront,List([0, 24)))	Prior to joining Infront, Jean-François was Senior Vice President and Deputy Managing Director at Sportfive France, responsible for sales and marketing.
0.9569065201547587		SimpleArgument(Jean - François,List([27, 42)))	Relation(was,List([43, 46)))	SimpleArgument(Senior Vice President , responsible for marketing,List([47, 96)))	Prior to joining Infront, Jean-François was Senior Vice President and Deputy Managing Director at Sportfive France, responsible for sales and marketing.
0.9614181712319672		SimpleArgument(Jean - François,List([27, 42)))	Relation(was Senior Vice President , responsible for sales,List([43, 46), [47, 92)))	TemporalArgument(Prior to joining Infront,List([0, 24)))	Prior to joining Infront, Jean-François was Senior Vice President and Deputy Managing Director at Sportfive France, responsible for sales and marketing.
0.9569065201547587		SimpleArgument(Jean - François,List([27, 42)))	Relation(was,List([43, 46)))	SimpleArgument(Senior Vice President , responsible for sales,List([47, 92)))	Prior to joining Infront, Jean-François was Senior Vice President and Deputy Managing Director at Sportfive France, responsible for sales and marketing.
0.4802217740069371		SimpleArgument(his,List([0, 2)))	Relation(has,List([8, 11)))	SimpleArgument(valuable experience in the fashion industry,List([12, 55)))	He also has valuable experience in sports apparel and the fashion industry having worked at Puma as Marketing Director for Marketing for Europe, the Middle East and Africa.
0.9180804252893389		SimpleArgument(sports apparel,List([35, 49)))	Relation(having worked at,List([50, 63), [64, 66)))	SpatialArgument(Puma as Marketing Director for Marketing for Africa,List([67, 118)))	He also has valuable experience in sports apparel and the fashion industry having worked at Puma as Marketing Director for Marketing for Europe, the Middle East and Africa.
0.6406608702674328		SimpleArgument(his,List([0, 2)))	Relation(has,List([8, 11)))	SimpleArgument(valuable experience in sports apparel having worked at Puma as Marketing Director for Marketing for Africa,List([12, 118)))	He also has valuable experience in sports apparel and the fashion industry having worked at Puma as Marketing Director for Marketing for Europe, the Middle East and Africa.
0.9472929138282772		SimpleArgument(sports apparel,List([35, 49)))	Relation(having worked at,List([50, 63), [64, 66)))	SpatialArgument(Puma as Marketing Director for Marketing for the Middle East,List([67, 127)))	He also has valuable experience in sports apparel and the fashion industry having worked at Puma as Marketing Director for Marketing for Europe, the Middle East and Africa.
0.6406608702674328		SimpleArgument(his,List([0, 2)))	Relation(has,List([8, 11)))	SimpleArgument(valuable experience in sports apparel having worked at Puma as Marketing Director for Marketing for the Middle East,List([12, 127)))	He also has valuable experience in sports apparel and the fashion industry having worked at Puma as Marketing Director for Marketing for Europe, the Middle East and Africa.
0.9180804252893389		SimpleArgument(sports apparel,List([35, 49)))	Relation(having worked at,List([50, 63), [64, 66)))	SpatialArgument(Puma as Marketing Director for Marketing for Europe,List([67, 118)))	He also has valuable experience in sports apparel and the fashion industry having worked at Puma as Marketing Director for Marketing for Europe, the Middle East and Africa.
0.6406608702674328		SimpleArgument(his,List([0, 2)))	Relation(has,List([8, 11)))	SimpleArgument(valuable experience in sports apparel having worked at Puma as Marketing Director for Marketing for Europe,List([12, 118)))	He also has valuable experience in sports apparel and the fashion industry having worked at Puma as Marketing Director for Marketing for Europe, the Middle East and Africa.
0.9726855614196764		SimpleArgument(Infront, Jean-François,List([0, 15)))	Relation(holds,List([16, 21)))	SimpleArgument(a communication management degree from the Ecole Supérieure de Commerce de Bordeaux,List([22, 105)))	Jean-François holds a marketing and communication management degree from the Ecole Supérieure de Commerce de Bordeaux.
0.9726855614196764		SimpleArgument(Infront, Jean-François,List([0, 15)))	Relation(holds,List([16, 21)))	SimpleArgument(a marketing management degree from the Ecole Supérieure de Commerce de Bordeaux,List([22, 101)))	Jean-François holds a marketing and communication management degree from the Ecole Supérieure de Commerce de Bordeaux.
