0.9676245771062721		SimpleArgument(a newspaper based in Bay City, Texas,,List([24, 61)))	Relation(covering,List([62, 70)))	SimpleArgument(the Matagorda County area,List([71, 96)))	The Bay City Tribune is a newspaper based in Bay City, Texas, covering the Matagorda County area.
0.9751389598371145		SimpleArgument(Bay City Tribune,List([0, 20)))	Relation(is,List([21, 23)))	SimpleArgument(a newspaper based in Bay City, Texas, covering the Matagorda County area,List([24, 96)))	The Bay City Tribune is a newspaper based in Bay City, Texas, covering the Matagorda County area.
0.3929209860966329		SimpleArgument(Bay City Tribune,List([0, 2)))	Relation(publishes on,List([3, 12), [28, 30)))	TemporalArgument(Sunday,List([31, 37)))	It publishes twice a week, on Wednesday and Sunday.
0.3929209860966329		SimpleArgument(Bay City Tribune,List([0, 2)))	Relation(publishes on,List([3, 12), [28, 30)))	TemporalArgument(Wednesday,List([31, 40)))	It publishes twice a week, on Wednesday and Sunday.
0.45170382506656653		SimpleArgument(Bay City Tribune,List([0, 2)))	Relation(publishes,List([3, 12)))	TemporalArgument(twice a week,List([13, 25)))	It publishes twice a week, on Wednesday and Sunday.
0.4978219019954182		SimpleArgument(Bay City Tribune,List([0, 2)))	Relation(is owned by,List([3, 11), [12, 14)))	SimpleArgument(Southern Newspapers,List([15, 34)))	It is owned by Southern Newspapers.
0.9527410621066101		SimpleArgument(Bay City Tribune,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a newspaper based in Bay City, Texas, covering the Matagorda County area,List([15, 51)))	The Tribune is the second-oldest newspaper in Texas.
0.8285490795013812		SimpleArgument(the location of the county seat,List([96, 127)))	Relation(was changed in,List([128, 139), [140, 142)))	TemporalArgument(1894,List([143, 147)))	Established on August 23, 1845 as a weekly, the newspaper moved from Matagorda to Bay City when the location of the county seat was changed in 1894.
0.9069916548297163		SimpleArgument(a newspaper based in Bay City, Texas, covering the Matagorda County area,List([44, 57)))	Relation(moved to Bay City,List([58, 63), [79, 90)))	TemporalArgument(when the location of the county seat was changed in 1894,List([91, 147)))	Established on August 23, 1845 as a weekly, the newspaper moved from Matagorda to Bay City when the location of the county seat was changed in 1894.
0.8797652531099371		SimpleArgument(a newspaper based in Bay City, Texas, covering the Matagorda County area,List([44, 57)))	Relation(moved to,List([58, 63), [79, 81)))	SimpleArgument(Bay City,List([82, 90)))	Established on August 23, 1845 as a weekly, the newspaper moved from Matagorda to Bay City when the location of the county seat was changed in 1894.
0.9159221601898307		SimpleArgument(a newspaper based in Bay City, Texas, covering the Matagorda County area,List([44, 57)))	Relation(moved to Bay City from,List([58, 63), [64, 85), [86, 90)))	SimpleArgument(Matagorda,List([69, 78)))	Established on August 23, 1845 as a weekly, the newspaper moved from Matagorda to Bay City when the location of the county seat was changed in 1894.
0.22506131975927415		SimpleArgument(a newspaper based in Bay City, Texas, covering the Matagorda County area,List([0, 2)))	Relation(was published as,List([3, 16), [17, 19)))	SimpleArgument(weekly,List([20, 26)))	It was published as both a daily and weekly from 1904-1959, when the weekly ceased publication.
0.9030401971054747		SimpleArgument(the weekly,List([55, 65)))	Relation(ceased,List([66, 72)))	SimpleArgument(publication,List([73, 84)))	It was published as both a daily and weekly from 1904-1959, when the weekly ceased publication.
0.15939332484157967		SimpleArgument(a newspaper based in Bay City, Texas, covering the Matagorda County area,List([0, 2)))	Relation(was published from,List([3, 16), [33, 37)))	TemporalArgument(1904-1959,List([38, 47)))	It was published as both a daily and weekly from 1904-1959, when the weekly ceased publication.
0.45170382506656653		SimpleArgument(a newspaper based in Bay City, Texas, covering the Matagorda County area,List([0, 2)))	Relation(was published as,List([3, 16), [17, 19)))	SimpleArgument(both a daily,List([20, 32)))	It was published as both a daily and weekly from 1904-1959, when the weekly ceased publication.
0.7665350501724939		SimpleArgument(a newspaper based in Bay City, Texas, covering the Matagorda County area,List([0, 13)))	Relation(converted to twice - weekly publication in,List([14, 23), [24, 51), [52, 54)))	TemporalArgument(2002,List([55, 59)))	The newspaper converted to twice-weekly publication in 2002.
0.9030401971054747		SimpleArgument(a newspaper based in Bay City, Texas, covering the Matagorda County area,List([0, 13)))	Relation(converted to,List([14, 23), [24, 26)))	SimpleArgument(twice-weekly publication,List([27, 51)))	The newspaper converted to twice-weekly publication in 2002.
