0.9498112450143501		SimpleArgument(Electronic Delay Storage Automatic Calculator,List([0, 45)))	Relation(was,List([54, 57)))	SimpleArgument(an early British computer,List([58, 83)))	Electronic Delay Storage Automatic Calculator (EDSAC) was an early British computer.
0.8797652531099371		SimpleArgument(Electronic Delay Storage Automatic Calculator Electronic Delay Storage Automatic Calculator (EDSAC),List([79, 90)))	Relation(was constructed at,List([91, 106), [119, 121)))	SpatialArgument(the University of Cambridge Mathematical Laboratory in England,List([122, 184)))	Inspired by John von Neumann's seminal First Draft of a Report on the EDVAC, the machine was constructed by Maurice Wilkes and his team at the University of Cambridge Mathematical Laboratory in England.
0.8348583869532935		SimpleArgument(Electronic Delay Storage Automatic Calculator Electronic Delay Storage Automatic Calculator (EDSAC),List([79, 90)))	Relation(was constructed by,List([91, 106), [107, 109)))	SimpleArgument(his team,List([110, 118)))	Inspired by John von Neumann's seminal First Draft of a Report on the EDVAC, the machine was constructed by Maurice Wilkes and his team at the University of Cambridge Mathematical Laboratory in England.
0.9180804252893389		SimpleArgument(Electronic Delay Storage Automatic Calculator Electronic Delay Storage Automatic Calculator (EDSAC),List([79, 90)))	Relation(was constructed by,List([91, 106), [107, 109)))	SimpleArgument(Maurice Wilkes,List([110, 124)))	Inspired by John von Neumann's seminal First Draft of a Report on the EDVAC, the machine was constructed by Maurice Wilkes and his team at the University of Cambridge Mathematical Laboratory in England.
0.9432816123537144		SimpleArgument(the second electronic digital stored-program computer,List([10, 63)))	Relation(to go into,List([64, 69), [70, 74)))	SimpleArgument(regular service,List([75, 90)))	EDSAC was the second electronic digital stored-program computer to go into regular service.
0.9606193513644111		SimpleArgument(Electronic Delay Storage Automatic Calculator Electronic Delay Storage Automatic Calculator (EDSAC),List([0, 5)))	Relation(was,List([6, 9)))	SimpleArgument(the second electronic digital stored-program computer to go into regular service,List([10, 90)))	EDSAC was the second electronic digital stored-program computer to go into regular service.
0.9267899601589662		SimpleArgument(the first commercially applied computer,List([95, 134)))	Relation(based on,List([143, 148), [149, 151)))	SimpleArgument(the EDSAC design,List([152, 168)))	Later the project was supported by J. Lyons & Co. Ltd., a British firm, who were rewarded with the first commercially applied computer, LEO I, based on the EDSAC design.
0.9250606141558615		SimpleArgument(Later the project,List([0, 17)))	Relation(was supported by,List([18, 31), [32, 34)))	SimpleArgument(J. Lyons & Co. Ltd.,List([35, 54)))	Later the project was supported by J. Lyons & Co. Ltd., a British firm, who were rewarded with the first commercially applied computer, LEO I, based on the EDSAC design.
0.45170382506656653		SimpleArgument(Work on EDSAC,List([47, 49)))	Relation(calculated,List([50, 60)))	SimpleArgument(a table of a list of prime numbers,List([61, 95)))	Work on EDSAC started at the end of 1946, and it ran its first programs on 6 May 1949, when it calculated a table of squares and a list of prime numbers.
0.37410896068035915		SimpleArgument(Work on EDSAC,List([0, 2)))	Relation(ran its first programs on 6 May 1949,List([3, 6), [7, 39)))	TemporalArgument(when it calculated a table of a list of prime numbers,List([42, 95)))	Work on EDSAC started at the end of 1946, and it ran its first programs on 6 May 1949, when it calculated a table of squares and a list of prime numbers.
0.45170382506656653		SimpleArgument(Work on EDSAC,List([47, 49)))	Relation(calculated,List([50, 60)))	SimpleArgument(a table of squares,List([61, 79)))	Work on EDSAC started at the end of 1946, and it ran its first programs on 6 May 1949, when it calculated a table of squares and a list of prime numbers.
0.27151678565896326		SimpleArgument(Work on EDSAC,List([0, 2)))	Relation(ran its first programs on 6 May 1949,List([3, 6), [7, 39)))	TemporalArgument(when it calculated a table of squares,List([42, 79)))	Work on EDSAC started at the end of 1946, and it ran its first programs on 6 May 1949, when it calculated a table of squares and a list of prime numbers.
0.4165289098892234		SimpleArgument(Work on EDSAC,List([0, 2)))	Relation(ran,List([3, 6)))	SimpleArgument(its first programs on 6 May 1949,List([7, 39)))	Work on EDSAC started at the end of 1946, and it ran its first programs on 6 May 1949, when it calculated a table of squares and a list of prime numbers.
0.8774266522382128		SimpleArgument(Work on EDSAC,List([0, 13)))	Relation(started at,List([14, 21), [22, 24)))	TemporalArgument(the end of 1946,List([25, 40)))	Work on EDSAC started at the end of 1946, and it ran its first programs on 6 May 1949, when it calculated a table of squares and a list of prime numbers.
