0.9340463819568752		SimpleArgument(Kim Kay,List([0, 7)))	Relation(is,List([74, 76)))	SimpleArgument(a Belgian pop singer,List([77, 97)))	Kim Kay (pseudonym of Kim Van Hee; born in Dendermonde, 27 February 1978) is a Belgian pop singer.
0.22876658274353207	Context(she 's known,List([24, 35)))	SimpleArgument(Kim Kay Kim Kay (pseudonym of Kim Van Hee; born in Dendermonde, 27 February 1978),List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(Flemish,List([7, 14)))	She is Flemish, however she's known for delivering vocals in French.
0.4328394458044063		SimpleArgument(Kim Kay Kim Kay (pseudonym of Kim Van Hee; born in Dendermonde, 27 February 1978),List([24, 27)))	Relation('s known for,List([27, 35), [36, 39)))	SimpleArgument(delivering vocals in French,List([40, 67)))	She is Flemish, however she's known for delivering vocals in French.
0.45592395356914683		SimpleArgument(Kim Kay Kim Kay (pseudonym of Kim Van Hee; born in Dendermonde, 27 February 1978),List([24, 27)))	Relation(for delivering vocals in,List([36, 50), [51, 57), [58, 60)))	SpatialArgument(French,List([61, 67)))	She is Flemish, however she's known for delivering vocals in French.
0.41051436014453063		SimpleArgument(Kim Kay Kim Kay (pseudonym of Kim Van Hee; born in Dendermonde, 27 February 1978),List([24, 27)))	Relation(for delivering,List([36, 50)))	SimpleArgument(vocals,List([51, 57)))	She is Flemish, however she's known for delivering vocals in French.
0.5623159137532286		SimpleArgument(Kim Kay Kim Kay (pseudonym of Kim Van Hee; born in Dendermonde, 27 February 1978),List([120, 123)))	Relation(booked her overall greatest successes,List([124, 130), [131, 161)))	"SpatialArgument(her dance single "" Lilali "" , which was a hit in Europe , beyond France,List([40, 111)))"	"Kim Kay's arguably most famous work is her dance single ""Lilali"", which was a hit in Europe, beyond Belgium and France, where she booked her overall greatest successes throughout her career."
0.8117177393597426		"SimpleArgument(her dance single "" Lilali,List([40, 65)))"	Relation(was,List([76, 79)))	SimpleArgument(a hit in Europe,List([80, 95)))	"Kim Kay's arguably most famous work is her dance single ""Lilali"", which was a hit in Europe, beyond Belgium and France, where she booked her overall greatest successes throughout her career."
0.9660446669993584		SimpleArgument(Kim Kay 's arguably most famous work,List([0, 36)))	Relation(is,List([37, 39)))	"SimpleArgument(her dance single "" Lilali "" , which was a hit in Europe , beyond France,List([40, 111)))"	"Kim Kay's arguably most famous work is her dance single ""Lilali"", which was a hit in Europe, beyond Belgium and France, where she booked her overall greatest successes throughout her career."
0.5961061943937731		SimpleArgument(Kim Kay Kim Kay (pseudonym of Kim Van Hee; born in Dendermonde, 27 February 1978),List([121, 124)))	Relation(booked her overall greatest successes,List([125, 131), [132, 162)))	SpatialArgument(Belgium,List([105, 112)))	"Kim Kay's arguably most famous work is her dance single ""Lilali"", which was a hit in Europe, beyond Belgium and France, where she booked her overall greatest successes throughout her career."
0.30899953469486874		SimpleArgument(Kim Kay Kim Kay (pseudonym of Kim Van Hee; born in Dendermonde, 27 February 1978),List([121, 124)))	Relation(booked her overall greatest successes throughout,List([125, 131), [132, 162), [163, 173)))	TemporalArgument(her career,List([174, 184)))	"Kim Kay's arguably most famous work is her dance single ""Lilali"", which was a hit in Europe, beyond Belgium and France, where she booked her overall greatest successes throughout her career."
0.30899953469486874		SimpleArgument(Kim Kay Kim Kay (pseudonym of Kim Van Hee; born in Dendermonde, 27 February 1978),List([121, 124)))	Relation(booked,List([125, 131)))	SimpleArgument(her overall greatest successes,List([132, 162)))	"Kim Kay's arguably most famous work is her dance single ""Lilali"", which was a hit in Europe, beyond Belgium and France, where she booked her overall greatest successes throughout her career."
0.949419443712137		"SimpleArgument(single "" Lilali,List([50, 65)))"	Relation(was,List([76, 79)))	SimpleArgument(a hit in Europe,List([80, 95)))	"Kim Kay's arguably most famous work is her dance single ""Lilali"", which was a hit in Europe, beyond Belgium and France, where she booked her overall greatest successes throughout her career."
0.9364801744441439		SimpleArgument(Kim Kay 's arguably most famous work,List([0, 36)))	Relation(is,List([37, 39)))	SimpleArgument(her dance,List([40, 49)))	"Kim Kay's arguably most famous work is her dance single ""Lilali"", which was a hit in Europe, beyond Belgium and France, where she booked her overall greatest successes throughout her career."
0.9324144673478683		SimpleArgument(Kim Kay Kim Kay (pseudonym of Kim Van Hee; born in Dendermonde, 27 February 1978),List([0, 3)))	Relation(lives in,List([4, 9), [10, 12)))	SpatialArgument(Wichelen and studies psychology in Ghent,List([13, 53)))	Kay lives in Wichelen and studies psychology in Ghent.
0.29886655727758943		SimpleArgument(Kim Kay Kim Kay (pseudonym of Kim Van Hee; born in Dendermonde, 27 February 1978),List([9, 12)))	Relation(was diagnosed with cancer In,List([0, 16), [17, 31), [32, 38)))	TemporalArgument(2004,List([3, 7)))	In 2004, she was diagnosed with cancer.
0.45170382506656653		SimpleArgument(Kim Kay Kim Kay (pseudonym of Kim Van Hee; born in Dendermonde, 27 February 1978),List([9, 12)))	Relation(was diagnosed with,List([13, 26), [27, 31)))	SimpleArgument(cancer,List([32, 38)))	In 2004, she was diagnosed with cancer.
