0.7535117993595638		SimpleArgument(a small business,List([12, 28)))	Relation(started in,List([36, 43), [44, 46)))	TemporalArgument(2004,List([47, 51)))	All Haul is a small business that I started in 2004.
0.7686180783758432		SimpleArgument(All Haul,List([0, 8)))	Relation(is,List([9, 11)))	SimpleArgument(a small business that I started in 2004,List([12, 51)))	All Haul is a small business that I started in 2004.
0.8772656277736296		SimpleArgument(contractors,List([34, 45)))	Relation(use us on,List([50, 53), [54, 56), [57, 59)))	SimpleArgument(a regular schedule,List([60, 78)))	We pride ourselves on our high rate of return customers and our list of contractors who use us on a regular schedule.
0.7950722565701456		SimpleArgument(contractors,List([34, 45)))	Relation(use,List([50, 53)))	SimpleArgument(All Haul Inc,List([54, 56)))	We pride ourselves on our high rate of return customers and our list of contractors who use us on a regular schedule.
0.30899953469486874		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(pride ourselves on,List([3, 8), [9, 18), [19, 21)))	SimpleArgument(our list of contractors,List([22, 45)))	We pride ourselves on our high rate of return customers and our list of contractors who use us on a regular schedule.
0.30899953469486874		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(pride ourselves on,List([3, 8), [9, 18), [19, 21)))	SimpleArgument(our high rate of return customers,List([22, 55)))	We pride ourselves on our high rate of return customers and our list of contractors who use us on a regular schedule.
0.30899953469486874		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(pride,List([3, 8)))	SimpleArgument(All Haul Inc,List([9, 18)))	We pride ourselves on our high rate of return customers and our list of contractors who use us on a regular schedule.
0.45170382506656653		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(haul,List([3, 7)))	SimpleArgument(any kind of debris,List([8, 26)))	We haul any kind of trash or debris.
0.45170382506656653		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(haul,List([3, 7)))	SimpleArgument(any kind of trash,List([8, 25)))	We haul any kind of trash or debris.
0.45170382506656653		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(clean out,List([3, 12)))	SimpleArgument(entire structures,List([13, 30)))	We clean out garages, yards, jobsites, offices or entire structures.
0.45170382506656653		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(clean out,List([3, 12)))	SimpleArgument(offices,List([13, 20)))	We clean out garages, yards, jobsites, offices or entire structures.
0.45170382506656653		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(clean out,List([3, 12)))	SimpleArgument(jobsites,List([13, 21)))	We clean out garages, yards, jobsites, offices or entire structures.
0.45170382506656653		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(clean out,List([3, 12)))	SimpleArgument(yards,List([13, 18)))	We clean out garages, yards, jobsites, offices or entire structures.
0.45170382506656653		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(clean out,List([3, 12)))	SimpleArgument(garages,List([13, 20)))	We clean out garages, yards, jobsites, offices or entire structures.
0.45170382506656653		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(fast, friendly ontime service,List([11, 40)))	We provide fast, friendly ontime service at a low cost!
0.45170382506656653		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(also do,List([3, 10)))	SimpleArgument(removal,List([11, 18)))	We also do demolition and concrete breaking and removal.
0.45170382506656653		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(also do,List([3, 10)))	SimpleArgument(concrete breaking,List([11, 28)))	We also do demolition and concrete breaking and removal.
0.45170382506656653		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(also do,List([3, 10)))	SimpleArgument(demolition,List([11, 21)))	We also do demolition and concrete breaking and removal.
0.7487987465728897		SimpleArgument(equipment,List([0, 9)))	Relation(are,List([10, 13)))	SimpleArgument(clean,List([14, 19)))	We are Licensed and Insured and our truck and equipment are clean and well maintained.
0.3833177039030785		SimpleArgument(our truck,List([0, 9)))	Relation(are,List([10, 13)))	SimpleArgument(clean,List([14, 19)))	We are Licensed and Insured and our truck and equipment are clean and well maintained.
0.22506131975927415		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(Insured,List([7, 14)))	We are Licensed and Insured and our truck and equipment are clean and well maintained.
0.22506131975927415		SimpleArgument(All Haul Inc,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(Licensed,List([7, 15)))	We are Licensed and Insured and our truck and equipment are clean and well maintained.
0.45170382506656653		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul away are-,List([14, 28)))	SimpleArgument(any other non hazardous material item,List([29, 66)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.40710919743170804		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul,List([14, 18)))	SimpleArgument(are- mattresses,List([24, 39)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.22015391053105568		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul are- mattresses,List([14, 18), [24, 39)))	SimpleArgument(away,List([19, 23)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.40710919743170804		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul,List([14, 18)))	SimpleArgument(are- greenwaste,List([24, 39)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.22015391053105568		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul are- greenwaste,List([14, 18), [24, 39)))	SimpleArgument(away,List([19, 23)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.40710919743170804		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul,List([14, 18)))	SimpleArgument(are- metal,List([24, 34)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.22015391053105568		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul are- metal,List([14, 18), [24, 34)))	SimpleArgument(away,List([19, 23)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.7351279940478935		SimpleArgument(Some items,List([0, 10)))	Relation(haul,List([14, 18)))	SimpleArgument(away,List([19, 23)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.40710919743170804		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul,List([14, 18)))	SimpleArgument(are- couches,List([24, 36)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.22015391053105568		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul are- couches,List([14, 18), [24, 36)))	SimpleArgument(away,List([19, 23)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.40710919743170804		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul,List([14, 18)))	SimpleArgument(are- tile,List([24, 33)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.22015391053105568		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul are- tile,List([14, 18), [24, 33)))	SimpleArgument(away,List([19, 23)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.45170382506656653		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul away are-,List([14, 28)))	SimpleArgument(dirt,List([29, 33)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.40710919743170804		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul,List([14, 18)))	SimpleArgument(are- drywall,List([24, 36)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.22015391053105568		SimpleArgument(All Haul Inc,List([11, 13)))	Relation(haul are- drywall,List([14, 18), [24, 36)))	SimpleArgument(away,List([19, 23)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.9045207649554154		SimpleArgument(Some items,List([0, 10)))	Relation(haul,List([14, 18)))	SimpleArgument(away are- Wood,List([19, 33)))	Some items we haul away are- Wood, drywall, dirt, tile, couches, concrete, metal, greenwaste, mattresses and any other non hazardous material item.
0.3880890333449538	Context(I started,List([0, 9)))	SimpleArgument(I,List({0}))	Relation(started All Haul in Orange County after retiring from,List([2, 9), [10, 18), [19, 21)))	SimpleArgument(an Ironworking career of 16 years,List([56, 89)))	I started All Haul in Orange County after retiring from an Ironworking career of 16 years.
0.3880890333449538		SimpleArgument(I,List({0}))	Relation(started All Haul in Orange County after,List([2, 9), [10, 35), [36, 41)))	TemporalArgument(retiring from an Ironworking career of 16 years,List([42, 89)))	I started All Haul in Orange County after retiring from an Ironworking career of 16 years.
0.4328394458044063		SimpleArgument(I,List({0}))	Relation(started,List([2, 9)))	SimpleArgument(All Haul in Orange County,List([10, 35)))	I started All Haul in Orange County after retiring from an Ironworking career of 16 years.
