0.9216169339561846		SimpleArgument(North East England,List([36, 54)))	Relation(wrote,List([60, 65)))	SimpleArgument(original comedy sketches,List([66, 90)))	Straitjacket were a comedy duo from North East England, who wrote original comedy sketches.
0.9324144673478683		SimpleArgument(Straitjacket,List([0, 12)))	Relation(were,List([13, 17)))	SimpleArgument(a comedy duo from North East England,List([18, 54)))	Straitjacket were a comedy duo from North East England, who wrote original comedy sketches.
0.7020398081927577		SimpleArgument(A lot of their material,List([0, 23)))	Relation(was transferred to the screen by,List([24, 39), [40, 53), [54, 56)))	SimpleArgument(the original three members,List([57, 83)))	A lot of their material was transferred to the screen by the original three members: Tom Bennett, Keith Dickinson and Ian Todd.
0.7020398081927577		SimpleArgument(A lot of their material,List([0, 23)))	Relation(was transferred to,List([24, 39), [40, 42)))	SimpleArgument(the screen,List([43, 53)))	A lot of their material was transferred to the screen by the original three members: Tom Bennett, Keith Dickinson and Ian Todd.
0.8739651883033833	Context(Keith left,List([0, 10)))	SimpleArgument(Keith Dickinson,List([0, 5)))	Relation(left the group leaving Ian to,List([6, 10), [11, 14), [15, 20), [36, 43)))	SimpleArgument(continue as a duo until October 8,List([51, 84)))	Keith left the group in July 2007, leaving Tom and Ian to continue as a duo until October 8 when they split to pursue solo ventures.
0.8739651883033833	Context(Keith left,List([0, 10)))	SimpleArgument(Keith Dickinson,List([0, 5)))	Relation(left the group leaving,List([6, 10), [11, 14)))	SimpleArgument(Ian,List([44, 47)))	Keith left the group in July 2007, leaving Tom and Ian to continue as a duo until October 8 when they split to pursue solo ventures.
0.6155020116081594		SimpleArgument(Tom and Ian,List([90, 94)))	Relation(split to,List([95, 100), [101, 103)))	SimpleArgument(pursue solo ventures,List([104, 124)))	Keith left the group in July 2007, leaving Tom and Ian to continue as a duo until October 8 when they split to pursue solo ventures.
0.9000738595917936		SimpleArgument(Ian,List([44, 47)))	Relation(to continue until,List([48, 59), [69, 74)))	TemporalArgument(October 8,List([75, 84)))	Keith left the group in July 2007, leaving Tom and Ian to continue as a duo until October 8 when they split to pursue solo ventures.
0.6726738760172517	Context(Keith left leaving,List([0, 43)))	SimpleArgument(Tom,List([44, 47)))	Relation(to continue,List([48, 59)))	TemporalArgument(when they split to pursue solo ventures,List([85, 124)))	Keith left the group in July 2007, leaving Tom and Ian to continue as a duo until October 8 when they split to pursue solo ventures.
0.7811180658976948	Context(Keith left leaving,List([0, 43)))	SimpleArgument(Tom,List([44, 47)))	Relation(to continue until,List([48, 59), [69, 74)))	TemporalArgument(October 8,List([75, 84)))	Keith left the group in July 2007, leaving Tom and Ian to continue as a duo until October 8 when they split to pursue solo ventures.
0.8739651883033833	Context(Keith left,List([0, 10)))	SimpleArgument(Keith Dickinson,List([0, 5)))	Relation(left the group leaving,List([6, 10), [11, 14)))	SimpleArgument(Tom to continue as a duo until October 8,List([44, 84)))	Keith left the group in July 2007, leaving Tom and Ian to continue as a duo until October 8 when they split to pursue solo ventures.
0.9139478779591064		SimpleArgument(Keith Dickinson,List([0, 5)))	Relation(left the group in,List([6, 10), [11, 20), [21, 23)))	TemporalArgument(July 2007,List([24, 33)))	Keith left the group in July 2007, leaving Tom and Ian to continue as a duo until October 8 when they split to pursue solo ventures.
0.9213207774643418		SimpleArgument(Keith Dickinson,List([0, 5)))	Relation(left,List([6, 10)))	SimpleArgument(the group,List([11, 20)))	Keith left the group in July 2007, leaving Tom and Ian to continue as a duo until October 8 when they split to pursue solo ventures.
0.5750411108691293		SimpleArgument(Tom and Ian,List([90, 94)))	Relation(to pursue,List([101, 110)))	SimpleArgument(solo ventures,List([111, 124)))	Keith left the group in July 2007, leaving Tom and Ian to continue as a duo until October 8 when they split to pursue solo ventures.
0.502600314010067		SimpleArgument(The original three,List([0, 18)))	Relation(decided to,List([19, 26), [27, 29)))	SimpleArgument(do their own brand of comedy with a blend of the surreal,List([30, 86)))	The original three were reunited after a long period apart and decided to do their own brand of comedy with a blend of darkness, randomness and the surreal.
0.502600314010067		SimpleArgument(The original three,List([0, 18)))	Relation(decided to,List([19, 26), [27, 29)))	SimpleArgument(do their own brand of comedy with a blend of randomness,List([30, 85)))	The original three were reunited after a long period apart and decided to do their own brand of comedy with a blend of darkness, randomness and the surreal.
0.38653280070867657	Context(The original three decided,List([0, 26)))	SimpleArgument(The original three,List([0, 18)))	Relation(decided to do,List([19, 26), [27, 32)))	SimpleArgument(their own brand of comedy,List([33, 58)))	The original three were reunited after a long period apart and decided to do their own brand of comedy with a blend of darkness, randomness and the surreal.
0.502600314010067		SimpleArgument(The original three,List([0, 18)))	Relation(decided to,List([19, 26), [27, 29)))	SimpleArgument(do their own brand of comedy with a blend of darkness,List([30, 83)))	The original three were reunited after a long period apart and decided to do their own brand of comedy with a blend of darkness, randomness and the surreal.
0.5917899579199963		SimpleArgument(The original three,List([0, 18)))	Relation(were reunited after,List([19, 32), [33, 38)))	TemporalArgument(a long period apart,List([39, 58)))	The original three were reunited after a long period apart and decided to do their own brand of comedy with a blend of darkness, randomness and the surreal.
