0.44469037867649003		SimpleArgument(Innovative Realty Welcome to Innovative Realty,List([0, 2)))	Relation(do differently,List([3, 5), [22, 33)))	SimpleArgument(things,List([6, 12)))	We do things a little differently than others.
0.9436740204769645		SimpleArgument(Innovative Realty,List([51, 68)))	Relation(has,List([69, 72)))	SimpleArgument(no obligations to ' parent company ' office bureaucracy,List([73, 128)))	As an independent and full-MLS service company, Innovative Realty has no obligations to franchises, their policies, or 'parent company' office bureaucracy.
0.9009310879814868		SimpleArgument(Innovative Realty,List([51, 68)))	Relation(has,List([69, 72)))	SimpleArgument(no obligations to their policies,List([73, 105)))	As an independent and full-MLS service company, Innovative Realty has no obligations to franchises, their policies, or 'parent company' office bureaucracy.
0.9436740204769645		SimpleArgument(Innovative Realty,List([51, 68)))	Relation(has,List([69, 72)))	SimpleArgument(no obligations,List([73, 87)))	As an independent and full-MLS service company, Innovative Realty has no obligations to franchises, their policies, or 'parent company' office bureaucracy.
0.3486714045919381		SimpleArgument(This,List([0, 4)))	Relation(allows,List([5, 11)))	SimpleArgument(us more flexibility in response to the needs of our clients,List([12, 71)))	This allows us more flexibility in our programs, fees, and response to the needs of our clients.
0.33887227012118915		SimpleArgument(This,List([0, 4)))	Relation(allows,List([5, 11)))	SimpleArgument(more flexibility in fees,List([15, 39)))	This allows us more flexibility in our programs, fees, and response to the needs of our clients.
0.24498244981127398		SimpleArgument(This,List([0, 4)))	Relation(allows more flexibility in fees,List([5, 11), [15, 39)))	SimpleArgument(us,List([12, 14)))	This allows us more flexibility in our programs, fees, and response to the needs of our clients.
0.21766333405128083		SimpleArgument(This,List([0, 4)))	Relation(allows,List([5, 11)))	SimpleArgument(more flexibility in our programs,List([15, 47)))	This allows us more flexibility in our programs, fees, and response to the needs of our clients.
0.24498244981127398		SimpleArgument(This,List([0, 4)))	Relation(allows more flexibility in our programs,List([5, 11), [15, 47)))	SimpleArgument(us,List([12, 14)))	This allows us more flexibility in our programs, fees, and response to the needs of our clients.
0.9605824069728295		SimpleArgument(Innovative Realty,List([0, 17)))	Relation(serves sellers in,List([18, 24), [25, 32), [33, 35)))	SpatialArgument(the Blaine, Mn, Anoka County, Minneapolis/St,List([36, 85)))	Innovative Realty serves both residential buyers and sellers in the Blaine, Mn, Anoka County, Minneapolis/St.
0.9266232318014763		SimpleArgument(Innovative Realty,List([0, 17)))	Relation(serves,List([18, 24)))	SimpleArgument(sellers,List([25, 32)))	Innovative Realty serves both residential buyers and sellers in the Blaine, Mn, Anoka County, Minneapolis/St.
0.9605824069728295		SimpleArgument(Innovative Realty,List([0, 17)))	Relation(serves,List([18, 24)))	SimpleArgument(both residential buyers in the Blaine , Mn , Anoka County , Minneapolis / St,List([25, 101)))	Innovative Realty serves both residential buyers and sellers in the Blaine, Mn, Anoka County, Minneapolis/St.
0.9015729910252602		SimpleArgument(REO 's and individual attention,List([0, 31)))	Relation(to reach,List([32, 40)))	SimpleArgument(your goals,List([41, 51)))	Whether you are a 1st-time buyer, investor, looking for a starter or retirement home, relocating, hunting for foreclosures, BPO Services Provided, REO's (bank-owned), or doing a short sale, we provide the market expertise and individual attention to reach your goals...
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have been in,List([2, 11), [12, 14)))	SimpleArgument(real estate,List([15, 26)))	I have been in real estate for 30+ years representing buyer's and seller's.
0.944056173886228		SimpleArgument(a licensed Real Estate Appraiser,List([10, 42)))	Relation(doing home appraisals for,List([43, 48), [49, 64), [65, 68)))	SimpleArgument(all residential needs,List([69, 90)))	I am also a licensed Real Estate Appraiser doing home appraisals for all residential needs.
0.944056173886228		SimpleArgument(a licensed Real Estate Appraiser,List([10, 42)))	Relation(doing,List([43, 48)))	SimpleArgument(home appraisals,List([49, 64)))	I am also a licensed Real Estate Appraiser doing home appraisals for all residential needs.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(am also,List([2, 9)))	SimpleArgument(a licensed Real Estate Appraiser,List([10, 42)))	I am also a licensed Real Estate Appraiser doing home appraisals for all residential needs.
