0.38089450366724514		SimpleArgument(Portugal,List([20, 28)))	Relation([is] Duke of,List([30, 37)))	SimpleArgument(Viseu ( 4 March 1394,List([38, 57)))	Infante Henrique of Portugal, Duke of Viseu (4 March 1394 – 13 November 1460), better known as Henry the Navigator (Portuguese: Henrique, o Navegador) was an important figure in 15th-century Portuguese politics and in the early days of the Portuguese Empire.
0.9612584105285736		SimpleArgument(Navegador,List([140, 149)))	Relation(was,List([151, 154)))	SimpleArgument(an important figure in 15th-century Portuguese politics and in the early days of the Portuguese Empire,List([155, 257)))	Infante Henrique of Portugal, Duke of Viseu (4 March 1394 – 13 November 1460), better known as Henry the Navigator (Portuguese: Henrique, o Navegador) was an important figure in 15th-century Portuguese politics and in the early days of the Portuguese Empire.
0.1948871917044894		SimpleArgument(he,List([38, 40)))	Relation(is regarded,List([41, 52)))		Through his administrative direction, he is regarded as the main initiator of what would be known as the Age of Discoveries.
0.9670538616899376		SimpleArgument(Henry,List([0, 5)))	Relation(was,List([6, 9)))	SimpleArgument(the third child of the Portuguese king responsible for the early development of Portuguese maritime trade with other continents through the systematic exploration of Western Africa,List([10, 190)))	Henry was the third child of the Portuguese king John I and responsible for the early development of Portuguese exploration and maritime trade with other continents through the systematic exploration of Western Africa, the islands of the Atlantic Ocean, and the search for new routes.
0.9670538616899376		SimpleArgument(Henry,List([0, 5)))	Relation(was,List([6, 9)))	SimpleArgument(the third child of the Portuguese king responsible for the early development of Portuguese exploration trade with other continents through the systematic exploration of Western Africa,List([10, 193)))	Henry was the third child of the Portuguese king John I and responsible for the early development of Portuguese exploration and maritime trade with other continents through the systematic exploration of Western Africa, the islands of the Atlantic Ocean, and the search for new routes.
0.9670538616899376		SimpleArgument(Henry,List([0, 5)))	Relation(was,List([6, 9)))	SimpleArgument(the third child of the Portuguese king responsible for the early development of Portuguese maritime trade with other continents through the systematic exploration of Western Africa , the islands of the Atlantic Ocean,List([10, 226)))	Henry was the third child of the Portuguese king John I and responsible for the early development of Portuguese exploration and maritime trade with other continents through the systematic exploration of Western Africa, the islands of the Atlantic Ocean, and the search for new routes.
0.9670538616899376		SimpleArgument(Henry,List([0, 5)))	Relation(was,List([6, 9)))	SimpleArgument(the third child of the Portuguese king responsible for the early development of Portuguese exploration trade with other continents through the systematic exploration of Western Africa , the islands of the Atlantic Ocean,List([10, 229)))	Henry was the third child of the Portuguese king John I and responsible for the early development of Portuguese exploration and maritime trade with other continents through the systematic exploration of Western Africa, the islands of the Atlantic Ocean, and the search for new routes.
0.3853208301752743		SimpleArgument(John I,List([49, 55)))	Relation([is] king [of],List([44, 48)))	SimpleArgument(Portugal,List([33, 43)))	Henry was the third child of the Portuguese king John I and responsible for the early development of Portuguese exploration and maritime trade with other continents through the systematic exploration of Western Africa, the islands of the Atlantic Ocean, and the search for new routes.
0.9383119524695255		SimpleArgument(Henry,List([0, 5)))	Relation(was,List([6, 9)))	SimpleArgument(the third child of the Portuguese king,List([10, 48)))	Henry was the third child of the Portuguese king John I and responsible for the early development of Portuguese exploration and maritime trade with other continents through the systematic exploration of Western Africa, the islands of the Atlantic Ocean, and the search for new routes.
0.38089450366724514		SimpleArgument(I,List({10}))	Relation(was the founder of,List([12, 30)))	SimpleArgument(the House,List([31, 40)))	King John I was the founder of the House of Aviz.
0.5680679595514976		SimpleArgument(I,List({10}))	Relation(was,List([12, 15)))	SimpleArgument(the founder of the House of Aviz,List([16, 48)))	King John I was the founder of the House of Aviz.
0.6796597830231682		SimpleArgument(his father,List([17, 27)))	Relation(to conquer,List([28, 38)))	SimpleArgument(Ceuta (1415,List([39, 50)))	Henry encouraged his father to conquer Ceuta (1415), the Muslim port on the North African coast across the Straits of Gibraltar from the Iberian Peninsula.
0.9324144673478683		SimpleArgument(Henry,List([0, 5)))	Relation(encouraged his father to,List([6, 16), [17, 27), [28, 30)))	SimpleArgument(conquer Ceuta (1415,List([31, 50)))	Henry encouraged his father to conquer Ceuta (1415), the Muslim port on the North African coast across the Straits of Gibraltar from the Iberian Peninsula.
0.8615585111461579		SimpleArgument(Henry,List([0, 5)))	Relation(encouraged,List([6, 16)))	SimpleArgument(his father,List([17, 27)))	Henry encouraged his father to conquer Ceuta (1415), the Muslim port on the North African coast across the Straits of Gibraltar from the Iberian Peninsula.
0.4328394458044063	Context(he was most intrigued,List([46, 67)))	SimpleArgument(He,List([0, 2)))	Relation(became,List([3, 9)))	SimpleArgument(fascinated with Africa,List([10, 32)))	He learned of the opportunities from the Saharan trade routes that terminated there, and became fascinated with Africa in general; he was most intrigued by the Christian legend of Prester John and the expansion of Portuguese trade.
