0.9382554258342916		SimpleArgument(Werner Heisenberg,List([37, 54)))	Relation(was born in,List([55, 63), [64, 66)))	SpatialArgument(Wurzburg,List([67, 75)))	Interesting Werner Heisenberg Facts: Werner Heisenberg was born in Wurzburg, Germany.
0.6420236436771103		SimpleArgument(His father,List([0, 10)))	Relation(became,List([37, 43)))	SimpleArgument(Modern Greek languages,List([44, 66)))	His father, Dr. August Heisenberg, became a Professor of Middle and Modern Greek languages at the University of Munich.
0.886695286966665		SimpleArgument(Dr. August Heisenberg,List([13, 34)))	Relation([is] father [of],List([4, 10)))	SimpleArgument(Him,List([0, 3)))	His father, Dr. August Heisenberg, became a Professor of Middle and Modern Greek languages at the University of Munich.
0.6420236436771103		SimpleArgument(His father,List([0, 10)))	Relation(became,List([37, 43)))	SimpleArgument(a Professor of Middle at the University of Munich,List([44, 93)))	His father, Dr. August Heisenberg, became a Professor of Middle and Modern Greek languages at the University of Munich.
0.9909999966621399		SimpleArgument(1920 werner heisenberg,List([0, 0)))	Relation(entered,List([0, 0)))	SimpleArgument(the University of Munich,List(null))	In 1920 Werner Heisenberg entered the University of Munich to study physics.
0.9067325661703171	Context(Werner Heisenberg entered,List([8, 33)))	SimpleArgument(Werner Heisenberg,List([8, 25)))	Relation(entered the University of Munich to study,List([26, 33), [34, 48)))	SimpleArgument(physics,List([68, 75)))	In 1920 Werner Heisenberg entered the University of Munich to study physics.
0.8341686642684243		SimpleArgument(Werner Heisenberg,List([8, 25)))	Relation(entered the University of Munich In,List([0, 2), [26, 51), [52, 58)))	TemporalArgument(1920,List([3, 7)))	In 1920 Werner Heisenberg entered the University of Munich to study physics.
0.9067325661703171		SimpleArgument(Werner Heisenberg,List([8, 25)))	Relation(entered the University of Munich to,List([26, 33), [34, 58), [59, 61)))	SimpleArgument(study physics,List([62, 75)))	In 1920 Werner Heisenberg entered the University of Munich to study physics.
0.9212499880074402		SimpleArgument(Werner Heisenberg,List([8, 25)))	Relation(entered,List([26, 33)))	SimpleArgument(the University of Munich,List([34, 58)))	In 1920 Werner Heisenberg entered the University of Munich to study physics.
0.29886655727758943		SimpleArgument(he,List([8, 10)))	Relation(earned his PhD In,List([0, 2), [11, 21), [22, 25)))	TemporalArgument(1923,List([3, 7)))	In 1923 he earned his PhD in physics from the University of Munich.
0.3929209860966329		SimpleArgument(he,List([8, 10)))	Relation(earned his PhD from,List([11, 17), [18, 25), [37, 41)))	SimpleArgument(the University of Munich,List([42, 66)))	In 1923 he earned his PhD in physics from the University of Munich.
0.45170382506656653		SimpleArgument(he,List([8, 10)))	Relation(earned his PhD in,List([11, 17), [18, 25), [26, 28)))	TemporalArgument(physics,List([29, 36)))	In 1923 he earned his PhD in physics from the University of Munich.
