0.9030401971054747		SimpleArgument(a technique,List([20, 31)))	Relation(used in,List([32, 36), [37, 39)))	SpatialArgument(software engineering,List([40, 60)))	The Booch method is a technique used in software engineering.
0.9485955390117107		SimpleArgument(The Booch method,List([0, 16)))	Relation(is,List([17, 19)))	SimpleArgument(a technique used in software engineering,List([20, 60)))	The Booch method is a technique used in software engineering.
0.861803099174675		SimpleArgument(an object modeling methodology,List([6, 36)))	Relation(was used in,List([42, 45), [53, 57), [58, 60)))	SpatialArgument(object - oriented design,List([61, 85)))	It is an object modeling language and methodology that was widely used in object-oriented analysis and design.
0.3903405872496775		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(an object modeling methodology that was widely used in object - oriented design,List([6, 85)))	It is an object modeling language and methodology that was widely used in object-oriented analysis and design.
0.861803099174675		SimpleArgument(an object modeling methodology,List([6, 36)))	Relation(was used in,List([42, 45), [53, 57), [58, 60)))	SpatialArgument(object - oriented analysis,List([61, 87)))	It is an object modeling language and methodology that was widely used in object-oriented analysis and design.
0.3903405872496775		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(an object modeling methodology that was widely used in object - oriented analysis,List([6, 87)))	It is an object modeling language and methodology that was widely used in object-oriented analysis and design.
0.861803099174675		SimpleArgument(an object modeling language,List([6, 33)))	Relation(was used in,List([39, 42), [50, 54), [55, 57)))	SpatialArgument(object - oriented design,List([58, 82)))	It is an object modeling language and methodology that was widely used in object-oriented analysis and design.
0.3903405872496775		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(an object modeling language that was widely used in object - oriented design,List([6, 82)))	It is an object modeling language and methodology that was widely used in object-oriented analysis and design.
0.861803099174675		SimpleArgument(an object modeling language,List([6, 33)))	Relation(was used in,List([39, 42), [50, 54), [55, 57)))	SpatialArgument(object - oriented analysis,List([58, 84)))	It is an object modeling language and methodology that was widely used in object-oriented analysis and design.
0.3903405872496775		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(an object modeling language that was widely used in object - oriented analysis,List([6, 84)))	It is an object modeling language and methodology that was widely used in object-oriented analysis and design.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(was developed by,List([3, 16), [17, 19)))	SimpleArgument(Grady Booch,List([20, 31)))	It was developed by Grady Booch, while at Rational Software (now part of IBM).
0.9577875027776527		SimpleArgument(Unified Modeling Language,List([71, 96)))	Relation(features,List([113, 121)))	SimpleArgument(graphical elements from the Booch method along with elements from the object - modeling object - oriented software engineering,List([122, 248)))	The notation aspect of the Booch method has now been superseded by the Unified Modeling Language (UML), which features graphical elements from the Booch method along with elements from the object-modeling technique (OMT) and object-oriented software engineering (OOSE).
0.9577875027776527		SimpleArgument(Unified Modeling Language,List([71, 96)))	Relation(features,List([113, 121)))	SimpleArgument(graphical elements from the Booch method along with elements from the object - modeling technique,List([122, 219)))	The notation aspect of the Booch method has now been superseded by the Unified Modeling Language (UML), which features graphical elements from the Booch method along with elements from the object-modeling technique (OMT) and object-oriented software engineering (OOSE).
0.8752417292987084		SimpleArgument(The notation aspect of the Booch method,List([0, 39)))	Relation(has been superseded,List([40, 43), [48, 63)))	TemporalArgument(now,List([44, 47)))	The notation aspect of the Booch method has now been superseded by the Unified Modeling Language (UML), which features graphical elements from the Booch method along with elements from the object-modeling technique (OMT) and object-oriented software engineering (OOSE).
0.9490881889514471		SimpleArgument(Methodological aspects of the Booch method,List([0, 42)))	Relation(have been incorporated into several processes,List([43, 65), [66, 88)))	SimpleArgument(the primary such methodology being the Rational Unified Process,List([91, 154)))	Methodological aspects of the Booch method have been incorporated into several methodologies and processes, the primary such methodology being the Rational Unified Process (RUP).
0.9489461080096143		SimpleArgument(Methodological aspects of the Booch method,List([0, 42)))	Relation(have been incorporated into,List([43, 65), [66, 70)))	SimpleArgument(several processes,List([71, 88)))	Methodological aspects of the Booch method have been incorporated into several methodologies and processes, the primary such methodology being the Rational Unified Process (RUP).
0.9314904193639496		SimpleArgument(the primary such methodology,List([95, 123)))	Relation(being,List([124, 129)))	SimpleArgument(the Rational Unified Process,List([130, 158)))	Methodological aspects of the Booch method have been incorporated into several methodologies and processes, the primary such methodology being the Rational Unified Process (RUP).
0.9490881889514471		SimpleArgument(Methodological aspects of the Booch method,List([0, 42)))	Relation(have been incorporated into several methodologies,List([43, 65), [66, 92)))	SimpleArgument(the primary such methodology being the Rational Unified Process,List([95, 158)))	Methodological aspects of the Booch method have been incorporated into several methodologies and processes, the primary such methodology being the Rational Unified Process (RUP).
0.9489461080096143		SimpleArgument(Methodological aspects of the Booch method,List([0, 42)))	Relation(have been incorporated into,List([43, 65), [66, 70)))	SimpleArgument(several methodologies,List([71, 92)))	Methodological aspects of the Booch method have been incorporated into several methodologies and processes, the primary such methodology being the Rational Unified Process (RUP).
0.9436740204769645		SimpleArgument(The Booch,List([0, 9)))	Relation(has,List([10, 13)))	SimpleArgument(support tools,List([14, 27)))	The Booch design methodology, like OMT, is extensively used and has ample documentation and support tools.
0.9436740204769645		SimpleArgument(The Booch,List([0, 9)))	Relation(has,List([10, 13)))	SimpleArgument(ample documentation,List([14, 33)))	The Booch design methodology, like OMT, is extensively used and has ample documentation and support tools.
0.7918942959137041		SimpleArgument(The Booch design methodology,List([0, 28)))	Relation(is extensively used,List([42, 61)))		The Booch design methodology, like OMT, is extensively used and has ample documentation and support tools.
