0.9653436384802597		SimpleArgument(Francesco "Franco" Giordano (born August 26,List([0, 43)))	Relation(is,List([51, 53)))	SimpleArgument(an Italian politician,List([54, 75)))	Francesco "Franco" Giordano (born August 26, 1961) is an Italian politician.
0.957934389168857		SimpleArgument(Francesco "Franco" Giordano,List([0, 27)))	Relation(born,List([29, 33)))	TemporalArgument(August 26,List([34, 43)))	Francesco "Franco" Giordano (born August 26, 1961) is an Italian politician.
0.22506131975927415		SimpleArgument(he,List([14, 16)))	Relation(became a member of the Italian Communist Party in,List([17, 23), [24, 63), [64, 66)))	TemporalArgument(1974,List([67, 71)))	Born in Bari, he became a member of the Italian Communist Party in 1974.
0.4978219019954182		SimpleArgument(he,List([14, 16)))	Relation(became,List([17, 23)))	SimpleArgument(a member of the Italian Communist Party,List([24, 63)))	Born in Bari, he became a member of the Italian Communist Party in 1974.
0.3853208301752743		SimpleArgument(he,List([13, 15)))	Relation(was member of,List([16, 29)))	SimpleArgument(the national leadership,List([30, 53)))	In 1985-1987 he was member of the national leadership of Federation of Young Italian Communists, and, in 1987-1990, of the local PCI leadership of the province of Bari.
0.29886655727758943		SimpleArgument(he,List([13, 15)))	Relation(was member of the national leadership of Federation of Young Italian Communists In,List([0, 2), [16, 84), [85, 95)))	TemporalArgument(1985-1987,List([3, 12)))	In 1985-1987 he was member of the national leadership of Federation of Young Italian Communists, and, in 1987-1990, of the local PCI leadership of the province of Bari.
0.6783685094789625		SimpleArgument(he,List([13, 15)))	Relation(was,List([16, 19)))	SimpleArgument(member of the national leadership of Federation of Young Italian Communists,List([20, 95)))	In 1985-1987 he was member of the national leadership of Federation of Young Italian Communists, and, in 1987-1990, of the local PCI leadership of the province of Bari.
0.9705358532503476		SimpleArgument(Giordano,List([98, 106)))	Relation(moved to the Communist Refoundation Party,List([107, 112), [113, 148)))	TemporalArgument(When the latter was turned into the more social democratic-oriented Democratic Party of the Left,List([0, 96)))	When the latter was turned into the more social democratic-oriented Democratic Party of the Left, Giordano moved to the Communist Refoundation Party (PRC).
0.9324144673478683		SimpleArgument(Giordano,List([98, 106)))	Relation(moved to,List([107, 112), [113, 115)))	SimpleArgument(the Communist Refoundation Party,List([116, 148)))	When the latter was turned into the more social democratic-oriented Democratic Party of the Left, Giordano moved to the Communist Refoundation Party (PRC).
0.2788777149967281		SimpleArgument(the latter,List([5, 15)))	Relation(was turned,List([16, 26)))		When the latter was turned into the more social democratic-oriented Democratic Party of the Left, Giordano moved to the Communist Refoundation Party (PRC).
0.29886655727758943		SimpleArgument(he,List([63, 65)))	Relation(was elected in,List([54, 69), [70, 77)))	TemporalArgument(1996,List([57, 61)))	In 1992 Giordano became a national leader of PRC and, in 1996, he was elected for the first time at the Italian Chamber of Deputies.
0.4978219019954182		SimpleArgument(he,List([63, 65)))	Relation(was elected for,List([66, 77), [78, 81)))	TemporalArgument(the first time at the Italian Chamber of Deputies,List([82, 131)))	In 1992 Giordano became a national leader of PRC and, in 1996, he was elected for the first time at the Italian Chamber of Deputies.
0.8557456177405949		SimpleArgument(Giordano,List([8, 16)))	Relation(became a national leader of PRC In,List([0, 2), [17, 44), [45, 48)))	TemporalArgument(1992,List([3, 7)))	In 1992 Giordano became a national leader of PRC and, in 1996, he was elected for the first time at the Italian Chamber of Deputies.
0.9324144673478683		SimpleArgument(Giordano,List([8, 16)))	Relation(became,List([17, 23)))	SimpleArgument(a national leader of PRC,List([24, 48)))	In 1992 Giordano became a national leader of PRC and, in 1996, he was elected for the first time at the Italian Chamber of Deputies.
0.9929999709129333		SimpleArgument(His seat,List([0, 0)))	Relation(was confirmed in,List([0, 0)))	SimpleArgument(2006 elections,List(null))	His seat was confirmed in the 2001 and 2006 elections.
0.6381012045821894		SimpleArgument(His seat,List([0, 8)))	Relation(was confirmed in,List([9, 22), [23, 25)))	SpatialArgument(the 2006 elections,List([26, 44)))	His seat was confirmed in the 2001 and 2006 elections.
0.9929999709129333		SimpleArgument(His seat,List([0, 0)))	Relation(was confirmed in,List([0, 0)))	SimpleArgument(2001 elections,List(null))	His seat was confirmed in the 2001 and 2006 elections.
0.6381012045821894		SimpleArgument(His seat,List([0, 8)))	Relation(was confirmed in,List([9, 22), [23, 25)))	SpatialArgument(the 2001 elections,List([26, 44)))	His seat was confirmed in the 2001 and 2006 elections.
0.4978219019954182		SimpleArgument(he,List([56, 58)))	Relation(was named vice-secretary of the party in 2001 by,List([59, 68), [69, 104), [105, 107)))	SimpleArgument(Fausto Bertinotti,List([108, 125)))	President of PRC's group of deputies from October 1998, he was named vice-secretary of the party in 2001 by Fausto Bertinotti.
