0.9710295142851655		SimpleArgument(Marcus Michael Riccelli (born June 7, 1978,List([0, 42)))	Relation(is,List([44, 46)))	SimpleArgument(an American politician of the Democratic Party,List([47, 93)))	Marcus Michael Riccelli (born June 7, 1978) is an American politician of the Democratic Party.
0.949419443712137		SimpleArgument(Marcus Michael Riccelli,List([0, 23)))	Relation(born,List([25, 29)))	TemporalArgument(June 7, 1978,List([30, 42)))	Marcus Michael Riccelli (born June 7, 1978) is an American politician of the Democratic Party.
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(is a member of,List([3, 17)))	SimpleArgument(the Washington House,List([18, 38)))	He is a member of the Washington House of Representatives, representing the 3rd district.
0.41051436014453063		SimpleArgument(He,List([0, 2)))	Relation(representing,List([59, 71)))	SimpleArgument(the 3rd district,List([72, 88)))	He is a member of the Washington House of Representatives, representing the 3rd district.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a member of the Washington House of Representatives,List([6, 57)))	He is a member of the Washington House of Representatives, representing the 3rd district.
0.8847999636040884		SimpleArgument(Marcus,List([0, 6)))	Relation(is a graduate of,List([7, 23)))	SimpleArgument(Spokane,List([24, 31)))	Marcus is a graduate of Spokane's Mead High School.
0.9481947648689547		SimpleArgument(Marcus,List([0, 6)))	Relation(is,List([7, 9)))	SimpleArgument(a graduate of Spokane's Mead High School,List([10, 50)))	Marcus is a graduate of Spokane's Mead High School.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(received a Bachelor of Business Administration in,List([3, 11), [12, 49), [74, 76)))	TemporalArgument(2000,List([77, 81)))	He received a Bachelor of Business Administration from Gonzaga University in 2000, and a Master of Public Administration in 2007 from the University of Washington's Daniel J.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(received a Bachelor of Business Administration from,List([3, 11), [12, 49), [50, 54)))	SimpleArgument(Gonzaga University,List([55, 73)))	He received a Bachelor of Business Administration from Gonzaga University in 2000, and a Master of Public Administration in 2007 from the University of Washington's Daniel J.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(received,List([3, 11)))	SimpleArgument(a Bachelor of Business Administration,List([12, 49)))	He received a Bachelor of Business Administration from Gonzaga University in 2000, and a Master of Public Administration in 2007 from the University of Washington's Daniel J.
0.38089450366724514		SimpleArgument(Lisa Brown,List([140, 150)))	Relation([is] Leader [of],List([133, 139)))	SimpleArgument(Senate Majority,List([117, 132)))	He served as U.S. Senator Maria Cantwell's Eastern Washington Director, and as Senior Policy Adviser to former state Senate Majority Leader Lisa Brown.
0.38089450366724514		SimpleArgument(Maria Cantwell,List([26, 40)))	Relation([is] Senator [from],List([18, 25)))	SimpleArgument(United States,List([13, 17)))	He served as U.S. Senator Maria Cantwell's Eastern Washington Director, and as Senior Policy Adviser to former state Senate Majority Leader Lisa Brown.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(served as,List([3, 9), [10, 12)))	SimpleArgument(U.S. Senator Maria Cantwell's Eastern Washington Director, and as Senior Policy Adviser to former state Senate Majority Leader Lisa Brown,List([13, 150)))	He served as U.S. Senator Maria Cantwell's Eastern Washington Director, and as Senior Policy Adviser to former state Senate Majority Leader Lisa Brown.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(served as,List([3, 9), [10, 12)))	SimpleArgument(a City Plan Commissioner,List([13, 37)))	He is active in Spokane's downtown Rotary 21, serves on the Spokane advisory board for Daybreak Youth Services, is an adviser to the Spokane YMCA Youth Legislature Delegation, and served as a City Plan Commissioner.
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(is active in,List([3, 15)))	SimpleArgument(Spokane,List([16, 23)))	He is active in Spokane's downtown Rotary 21, serves on the Spokane advisory board for Daybreak Youth Services, is an adviser to the Spokane YMCA Youth Legislature Delegation, and served as a City Plan Commissioner.
0.38089450366724514		SimpleArgument(Legislature Delegation,List([155, 177)))	Relation([is] YMCA Youth [from],List([144, 154)))	SimpleArgument(Spokane,List([136, 143)))	He is active in Spokane's downtown Rotary 21, serves on the Spokane advisory board for Daybreak Youth Services, is an adviser to the Spokane YMCA Youth Legislature Delegation, and served as a City Plan Commissioner.
0.9043405478901362		SimpleArgument(He is active in Spokane 's downtown Rotary 21 , serves on the Spokane advisory board for Daybreak Youth Services,List([0, 112)))	Relation(is,List([115, 117)))	SimpleArgument(an adviser to the Spokane YMCA Youth Legislature Delegation,List([118, 177)))	He is active in Spokane's downtown Rotary 21, serves on the Spokane advisory board for Daybreak Youth Services, is an adviser to the Spokane YMCA Youth Legislature Delegation, and served as a City Plan Commissioner.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(serves on,List([48, 54), [55, 57)))	SimpleArgument(the Spokane advisory board for Daybreak Youth Services,List([58, 112)))	He is active in Spokane's downtown Rotary 21, serves on the Spokane advisory board for Daybreak Youth Services, is an adviser to the Spokane YMCA Youth Legislature Delegation, and served as a City Plan Commissioner.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(is active in,List([3, 5), [6, 12), [13, 15)))	SpatialArgument(Spokane 's downtown Rotary 21,List([16, 45)))	He is active in Spokane's downtown Rotary 21, serves on the Spokane advisory board for Daybreak Youth Services, is an adviser to the Spokane YMCA Youth Legislature Delegation, and served as a City Plan Commissioner.
0.27813615858960106		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(active,List([6, 12)))	He is active in Spokane's downtown Rotary 21, serves on the Spokane advisory board for Daybreak Youth Services, is an adviser to the Spokane YMCA Youth Legislature Delegation, and served as a City Plan Commissioner.
0.5926659981335703		SimpleArgument(he,List([15, 17)))	Relation(is on the Capital committees In,List([0, 2), [18, 35), [36, 46)))	SpatialArgument(the House,List([3, 12)))	In the House, he is on the Capital Budget, Health Care & Wellness, Higher Education and Transportation committees.
0.4978219019954182		SimpleArgument(he,List([15, 17)))	Relation(is on,List([18, 20), [21, 23)))	SimpleArgument(the Capital committees,List([24, 46)))	In the House, he is on the Capital Budget, Health Care & Wellness, Higher Education and Transportation committees.
0.5926659981335703		SimpleArgument(he,List([15, 17)))	Relation(is on the Capital Transportation In,List([0, 2), [18, 35), [36, 50)))	SpatialArgument(the House,List([3, 12)))	In the House, he is on the Capital Budget, Health Care & Wellness, Higher Education and Transportation committees.
