0.9738370768841617		SimpleArgument(Roger Yonchien Tsien (Chinese: 錢永健) (born February 1,List([0, 52)))	Relation(is,List([60, 62)))	SimpleArgument(an American biochemist,List([63, 85)))	Roger Yonchien Tsien (Chinese: 錢永健) (born February 1, 1952) is an American biochemist.
0.949419443712137		SimpleArgument(Roger Yonchien Tsien,List([0, 20)))	Relation(born,List([37, 41)))	TemporalArgument(February 1,List([42, 52)))	Roger Yonchien Tsien (Chinese: 錢永健) (born February 1, 1952) is an American biochemist.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a professor at the Department of Biochemistry,List([6, 51)))	He is a professor at the Department of Chemistry and Biochemistry, University of California, San Diegoand was awarded the 2008 Nobel Prize in chemistry "for his discovery and development of the green fluorescent protein (GFP) with two other chemists: Martin Chalfie of Columbia University and Osamu Shimomura of Boston University and Marine Biological Laboratory.
0.5031023801911841	Context(University of California , San Diegoand was awarded,List([54, 105)))	SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a professor at the Department of Biochemistry,List([6, 51)))	He is a professor at the Department of Chemistry and Biochemistry, University of California, San Diegoand was awarded the 2008 Nobel Prize in chemistry "for his discovery and development of the green fluorescent protein (GFP) with two other chemists: Martin Chalfie of Columbia University and Osamu Shimomura of Boston University and Marine Biological Laboratory.
0.9072865836658586		SimpleArgument(University of California , San Diegoand,List([54, 93)))	Relation(was awarded for,List([94, 105), [142, 145)))	SimpleArgument(his discovery of the green fluorescent protein ( GFP ) with two other chemists,List([146, 224)))	He is a professor at the Department of Chemistry and Biochemistry, University of California, San Diegoand was awarded the 2008 Nobel Prize in chemistry "for his discovery and development of the green fluorescent protein (GFP) with two other chemists: Martin Chalfie of Columbia University and Osamu Shimomura of Boston University and Marine Biological Laboratory.
0.9451106961725476		SimpleArgument(University of California , San Diegoand,List([54, 93)))	Relation(was awarded,List([94, 105)))	SimpleArgument(the 2008 Nobel Prize in chemistry,List([106, 139)))	He is a professor at the Department of Chemistry and Biochemistry, University of California, San Diegoand was awarded the 2008 Nobel Prize in chemistry "for his discovery and development of the green fluorescent protein (GFP) with two other chemists: Martin Chalfie of Columbia University and Osamu Shimomura of Boston University and Marine Biological Laboratory.
0.5031023801911841	Context(San Diegoand was awarded,List([78, 102)))	SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a professor at the Department of Chemistry,List([6, 48)))	He is a professor at the Department of Chemistry and Biochemistry, University of California, San Diegoand was awarded the 2008 Nobel Prize in chemistry "for his discovery and development of the green fluorescent protein (GFP) with two other chemists: Martin Chalfie of Columbia University and Osamu Shimomura of Boston University and Marine Biological Laboratory.
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(is a professor at,List([3, 20)))	SimpleArgument(the Department,List([21, 35)))	He is a professor at the Department of Chemistry and Biochemistry, University of California, San Diegoand was awarded the 2008 Nobel Prize in chemistry "for his discovery and development of the green fluorescent protein (GFP) with two other chemists: Martin Chalfie of Columbia University and Osamu Shimomura of Boston University and Marine Biological Laboratory.
0.8962260539175418		SimpleArgument(San Diegoand,List([78, 90)))	Relation(was awarded for,List([91, 102), [139, 142)))	SimpleArgument(his discovery of the green fluorescent protein ( GFP ) with two other chemists,List([143, 221)))	He is a professor at the Department of Chemistry and Biochemistry, University of California, San Diegoand was awarded the 2008 Nobel Prize in chemistry "for his discovery and development of the green fluorescent protein (GFP) with two other chemists: Martin Chalfie of Columbia University and Osamu Shimomura of Boston University and Marine Biological Laboratory.
0.9382554258342916		SimpleArgument(San Diegoand,List([78, 90)))	Relation(was awarded,List([91, 102)))	SimpleArgument(the 2008 Nobel Prize in chemistry,List([103, 136)))	He is a professor at the Department of Chemistry and Biochemistry, University of California, San Diegoand was awarded the 2008 Nobel Prize in chemistry "for his discovery and development of the green fluorescent protein (GFP) with two other chemists: Martin Chalfie of Columbia University and Osamu Shimomura of Boston University and Marine Biological Laboratory.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a professor at the Department of Chemistry,List([6, 48)))	He is a professor at the Department of Chemistry and Biochemistry, University of California, San Diegoand was awarded the 2008 Nobel Prize in chemistry "for his discovery and development of the green fluorescent protein (GFP) with two other chemists: Martin Chalfie of Columbia University and Osamu Shimomura of Boston University and Marine Biological Laboratory.
