0.9527410621066101		SimpleArgument(Jesus Navas,List([0, 11)))	Relation(has,List([12, 15)))	SimpleArgument(a PhD in Engineering from the UPV,List([16, 49)))	Jesus Navas has a PhD in Engineering from the UPV (Basque Country University).
0.1318136575767449	Context(He finished,List([0, 11)))	SimpleArgument(He,List([0, 2)))	Relation(finished his studies in Industrial Engineering completing them in,List([3, 11), [12, 15), [16, 23), [24, 26)))	TemporalArgument(2004,List([145, 149)))	He finished his studies in Industrial Engineering at the Higher Technical School of Industrial Engineering of Bilbao in 1997, completing them in 2004 with a specialization in Materials Engineering and in 2015 with the title of Doctor of Engineering.
0.18947780198484504	Context(He finished,List([0, 11)))	SimpleArgument(He,List([0, 2)))	Relation(finished his studies in Industrial Engineering completing,List([3, 11), [12, 15)))	SimpleArgument(them,List([137, 141)))	He finished his studies in Industrial Engineering at the Higher Technical School of Industrial Engineering of Bilbao in 1997, completing them in 2004 with a specialization in Materials Engineering and in 2015 with the title of Doctor of Engineering.
0.30111532022820664		SimpleArgument(He,List([0, 2)))	Relation(finished,List([3, 11)))	SimpleArgument(his studies in Industrial Engineering,List([12, 49)))	He finished his studies in Industrial Engineering at the Higher Technical School of Industrial Engineering of Bilbao in 1997, completing them in 2004 with a specialization in Materials Engineering and in 2015 with the title of Doctor of Engineering.
0.9339862216393666		SimpleArgument(an Executive MBA,List([16, 32)))	Relation(accompanied by,List([75, 86), [87, 89)))	SimpleArgument(an Executive Business Training ESEUNE Business School in Beijing,List([90, 154)))	In 2010 he made an Executive MBA at the School of Business ESEUNE (Bilbao) accompanied by an Executive Business Training ESEUNE Business School in Beijing.
0.29886655727758943		SimpleArgument(he,List([8, 10)))	Relation(made an Executive MBA In,List([0, 2), [11, 28), [29, 32)))	TemporalArgument(2010,List([3, 7)))	In 2010 he made an Executive MBA at the School of Business ESEUNE (Bilbao) accompanied by an Executive Business Training ESEUNE Business School in Beijing.
0.4978219019954182		SimpleArgument(he,List([8, 10)))	Relation(made an Executive MBA at,List([11, 15), [16, 32), [33, 35)))	SpatialArgument(the School of Business ESEUNE,List([36, 65)))	In 2010 he made an Executive MBA at the School of Business ESEUNE (Bilbao) accompanied by an Executive Business Training ESEUNE Business School in Beijing.
0.4978219019954182		SimpleArgument(he,List([8, 10)))	Relation(made,List([11, 15)))	SimpleArgument(an Executive MBA,List([16, 32)))	In 2010 he made an Executive MBA at the School of Business ESEUNE (Bilbao) accompanied by an Executive Business Training ESEUNE Business School in Beijing.
0.5680679595514976		SimpleArgument(he,List([12, 14)))	Relation(won,List([15, 18)))	SimpleArgument(the International Executive Program for Geortown University,List([19, 78)))	In addition he won the International Executive Program for Geortown University, Washington DC.
0.38089450366724514		SimpleArgument(Quality Manager,List([63, 78)))	Relation([is] Design Engineer [of],List([46, 61)))	SimpleArgument(Chains Vicinay,List([31, 45)))	In 1995 he began his career in Chains Vicinay Design Engineer, Quality Manager later, Industrial Director, ... Since 2003 he was responsible for the project area until 2011 when he was appointed Managing Director of FMAC (subsidiary in China Vicinay Marine Group), later in 2012 appointed Managing Director of Vicinay Cadenas SA.
0.24707677063501074	Context(he was later,List([122, 270)))	SimpleArgument(he,List([8, 10)))	Relation(began his career in Chains Vicinay Design Engineer In,List([0, 2), [11, 52), [53, 61)))	TemporalArgument(1995,List([3, 7)))	In 1995 he began his career in Chains Vicinay Design Engineer, Quality Manager later, Industrial Director, ... Since 2003 he was responsible for the project area until 2011 when he was appointed Managing Director of FMAC (subsidiary in China Vicinay Marine Group), later in 2012 appointed Managing Director of Vicinay Cadenas SA.
0.1570803716199423	Context(he was later,List([122, 270)))	SimpleArgument(he,List([8, 10)))	Relation(began his career in Chains Vicinay Design Engineer,List([11, 16), [17, 61)))	TemporalArgument(later,List([79, 84)))	In 1995 he began his career in Chains Vicinay Design Engineer, Quality Manager later, Industrial Director, ... Since 2003 he was responsible for the project area until 2011 when he was appointed Managing Director of FMAC (subsidiary in China Vicinay Marine Group), later in 2012 appointed Managing Director of Vicinay Cadenas SA.
0.2929110702089528	Context(he was later,List([122, 270)))	SimpleArgument(he,List([8, 10)))	Relation(began,List([11, 16)))	SimpleArgument(his career in Chains Vicinay Design Engineer,List([17, 61)))	In 1995 he began his career in Chains Vicinay Design Engineer, Quality Manager later, Industrial Director, ... Since 2003 he was responsible for the project area until 2011 when he was appointed Managing Director of FMAC (subsidiary in China Vicinay Marine Group), later in 2012 appointed Managing Director of Vicinay Cadenas SA.
0.24707677063501074		SimpleArgument(he,List([122, 124)))	Relation(was later Since,List([111, 116), [125, 128), [265, 270)))	TemporalArgument(2003,List([117, 121)))	In 1995 he began his career in Chains Vicinay Design Engineer, Quality Manager later, Industrial Director, ... Since 2003 he was responsible for the project area until 2011 when he was appointed Managing Director of FMAC (subsidiary in China Vicinay Marine Group), later in 2012 appointed Managing Director of Vicinay Cadenas SA.
0.36453221407562825		SimpleArgument(he,List([178, 180)))	Relation(was appointed Managing Director of FMAC,List([181, 194), [195, 220)))	TemporalArgument(2011,List([168, 172)))	In 1995 he began his career in Chains Vicinay Design Engineer, Quality Manager later, Industrial Director, ... Since 2003 he was responsible for the project area until 2011 when he was appointed Managing Director of FMAC (subsidiary in China Vicinay Marine Group), later in 2012 appointed Managing Director of Vicinay Cadenas SA.
0.4978219019954182		SimpleArgument(he,List([178, 180)))	Relation(was appointed,List([181, 194)))	SimpleArgument(Managing Director of FMAC,List([195, 220)))	In 1995 he began his career in Chains Vicinay Design Engineer, Quality Manager later, Industrial Director, ... Since 2003 he was responsible for the project area until 2011 when he was appointed Managing Director of FMAC (subsidiary in China Vicinay Marine Group), later in 2012 appointed Managing Director of Vicinay Cadenas SA.
0.9605824069728295		SimpleArgument(September 2014,List([6, 20)))	Relation(reconcilies,List([21, 32)))	SimpleArgument(the post of Managing Director of Vicinay Cadenas SA with COO of the Corporation Vicinay Marine SL , with responsibility for the results of the group companies,List([33, 191)))	Since September 2014 reconcilies the post of Managing Director of Vicinay Cadenas SA with COO of the Corporation Vicinay Marine SL, with responsibility for the results of the group companies (Brazil, China, Sweden and Euskadi) .
0.38089450366724514		SimpleArgument(SL,List([128, 130)))	Relation([is] Marine [of],List([121, 127)))	SimpleArgument(Corporation Vicinay,List([101, 120)))	Since September 2014 reconcilies the post of Managing Director of Vicinay Cadenas SA with COO of the Corporation Vicinay Marine SL, with responsibility for the results of the group companies (Brazil, China, Sweden and Euskadi) .
