0.9250606141558615		SimpleArgument(the founding fathers,List([47, 67)))	Relation(established,List([68, 79)))	SimpleArgument(the US Constitution,List([80, 99)))	In order to "secure the blessings of liberty," the founding fathers established the US Constitution.
0.9030401971054747		SimpleArgument(some banks,List([38, 48)))	Relation(share,List([49, 54)))	SimpleArgument(the same dedication,List([55, 74)))	As for promoting the general welfare, some banks share the same dedication to "We the people."
0.928319312100383		SimpleArgument(1 st Constitution Bank,List([43, 65)))	Relation(serves,List([74, 80)))	SimpleArgument(not - for - profits,List([81, 100)))	1st Constitution Bancorp is the parent of 1st Constitution Bank, which serves consumers, small businesses, and not-for-profits through more than a dozen branches in Middlesex, Mercer, and Somerset counties in New Jersey.
0.928319312100383		SimpleArgument(1 st Constitution Bank,List([43, 65)))	Relation(serves,List([74, 80)))	SimpleArgument(small businesses,List([81, 97)))	1st Constitution Bancorp is the parent of 1st Constitution Bank, which serves consumers, small businesses, and not-for-profits through more than a dozen branches in Middlesex, Mercer, and Somerset counties in New Jersey.
0.8847999636040884		SimpleArgument(1 st Constitution Bancorp,List([0, 25)))	Relation(is the parent of,List([26, 42)))	SimpleArgument(1 st Constitution Bank,List([43, 65)))	1st Constitution Bancorp is the parent of 1st Constitution Bank, which serves consumers, small businesses, and not-for-profits through more than a dozen branches in Middlesex, Mercer, and Somerset counties in New Jersey.
0.9453730527544704		SimpleArgument(the parent of 1 st Constitution Bank,List([29, 65)))	Relation(serves,List([74, 80)))	SimpleArgument(consumers,List([81, 90)))	1st Constitution Bancorp is the parent of 1st Constitution Bank, which serves consumers, small businesses, and not-for-profits through more than a dozen branches in Middlesex, Mercer, and Somerset counties in New Jersey.
0.9607199668152148		SimpleArgument(1 st Constitution Bancorp,List([0, 25)))	Relation(is,List([26, 28)))	SimpleArgument(the parent of 1 st Constitution Bank,List([29, 65)))	1st Constitution Bancorp is the parent of 1st Constitution Bank, which serves consumers, small businesses, and not-for-profits through more than a dozen branches in Middlesex, Mercer, and Somerset counties in New Jersey.
0.8942434158739456		SimpleArgument(products,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(mortgages,List([17, 26)))	Services and products include demand, savings, and time deposits, as well as loans and mortgages.
0.8942434158739456		SimpleArgument(products,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(loans,List([17, 22)))	Services and products include demand, savings, and time deposits, as well as loans and mortgages.
0.8942434158739456		SimpleArgument(products,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(time deposits,List([17, 30)))	Services and products include demand, savings, and time deposits, as well as loans and mortgages.
0.8942434158739456		SimpleArgument(products,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(savings,List([17, 24)))	Services and products include demand, savings, and time deposits, as well as loans and mortgages.
0.8942434158739456		SimpleArgument(products,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(demand,List([17, 23)))	Services and products include demand, savings, and time deposits, as well as loans and mortgages.
0.8942434158739456		SimpleArgument(Services,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(mortgages,List([17, 26)))	Services and products include demand, savings, and time deposits, as well as loans and mortgages.
0.8942434158739456		SimpleArgument(Services,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(loans,List([17, 22)))	Services and products include demand, savings, and time deposits, as well as loans and mortgages.
0.8942434158739456		SimpleArgument(Services,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(time deposits,List([17, 30)))	Services and products include demand, savings, and time deposits, as well as loans and mortgages.
0.8942434158739456		SimpleArgument(Services,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(savings,List([17, 24)))	Services and products include demand, savings, and time deposits, as well as loans and mortgages.
0.8942434158739456		SimpleArgument(Services,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(demand,List([17, 23)))	Services and products include demand, savings, and time deposits, as well as loans and mortgages.
0.9030401971054747		SimpleArgument(construction loans,List([0, 18)))	Relation(make up,List([19, 26)))	SimpleArgument(more half of the bank 's lending portfolio,List([27, 69)))	Commercial mortgages, business loans, and construction loans make up more half of the bank's lending portfolio.
0.9030401971054747		SimpleArgument(business loans,List([0, 14)))	Relation(make up,List([15, 22)))	SimpleArgument(more half of the bank 's lending portfolio,List([23, 65)))	Commercial mortgages, business loans, and construction loans make up more half of the bank's lending portfolio.
0.9030401971054747		SimpleArgument(Commercial mortgages,List([0, 20)))	Relation(make up,List([21, 28)))	SimpleArgument(more half of the bank 's lending portfolio,List([29, 71)))	Commercial mortgages, business loans, and construction loans make up more half of the bank's lending portfolio.
