0.9759984963560485		SimpleArgument(Mark Loughridge ( born December 19 , 1953 , in Leadville,List([0, 56)))	Relation(was,List([64, 67)))	SimpleArgument(Enterprise Transformation,List([68, 93)))	Mark Loughridge (born December 19, 1953, in Leadville, CO) was IBM's Senior Vice President and Chief Financial Officer, Finance and Enterprise Transformation.
0.9759984963560485		SimpleArgument(Mark Loughridge ( born December 19 , 1953 , in Leadville,List([0, 56)))	Relation(was,List([64, 67)))	SimpleArgument(Finance,List([68, 75)))	Mark Loughridge (born December 19, 1953, in Leadville, CO) was IBM's Senior Vice President and Chief Financial Officer, Finance and Enterprise Transformation.
0.9759984963560485		SimpleArgument(Mark Loughridge ( born December 19 , 1953 , in Leadville,List([0, 56)))	Relation(was,List([64, 67)))	SimpleArgument(Chief Financial Officer,List([68, 91)))	Mark Loughridge (born December 19, 1953, in Leadville, CO) was IBM's Senior Vice President and Chief Financial Officer, Finance and Enterprise Transformation.
0.38089450366724514		SimpleArgument(CO ),List([59, 63)))	Relation(was Senior Vice President [of],List([75, 96)))	SimpleArgument(IBM,List([68, 71)))	Mark Loughridge (born December 19, 1953, in Leadville, CO) was IBM's Senior Vice President and Chief Financial Officer, Finance and Enterprise Transformation.
0.38089450366724514		SimpleArgument(Vice President,List([82, 96)))	Relation([is] Senior [of],List([75, 81)))	SimpleArgument(IBM,List([68, 71)))	Mark Loughridge (born December 19, 1953, in Leadville, CO) was IBM's Senior Vice President and Chief Financial Officer, Finance and Enterprise Transformation.
0.9759984963560485		SimpleArgument(Mark Loughridge ( born December 19 , 1953 , in Leadville,List([0, 56)))	Relation(was,List([64, 67)))	SimpleArgument(IBM 's Senior Vice President,List([68, 96)))	Mark Loughridge (born December 19, 1953, in Leadville, CO) was IBM's Senior Vice President and Chief Financial Officer, Finance and Enterprise Transformation.
0.8934644291176528		SimpleArgument(Mark Loughridge,List([0, 15)))	Relation(born in,List([18, 22), [44, 46)))	SpatialArgument(Leadville,List([47, 56)))	Mark Loughridge (born December 19, 1953, in Leadville, CO) was IBM's Senior Vice President and Chief Financial Officer, Finance and Enterprise Transformation.
0.9445721975409912		SimpleArgument(Mark Loughridge,List([0, 15)))	Relation(born,List([18, 22)))	TemporalArgument(December 19,List([23, 34)))	Mark Loughridge (born December 19, 1953, in Leadville, CO) was IBM's Senior Vice President and Chief Financial Officer, Finance and Enterprise Transformation.
0.5222094630377523		SimpleArgument(He,List([0, 2)))	Relation(stands as IBM 's longest - tenured CFO after,List([3, 9), [10, 38), [39, 44)))	TemporalArgument(nearly 10 years in the role,List([45, 72)))	He stands as IBM's longest-tenured CFO after nearly 10 years in the role.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(stands as,List([3, 9), [10, 12)))	SimpleArgument(IBM's longest-tenured CFO,List([13, 38)))	He stands as IBM's longest-tenured CFO after nearly 10 years in the role.
0.6138676038426771		SimpleArgument(he,List([37, 39)))	Relation(started as,List([40, 47), [48, 50)))	SimpleArgument(a development engineer in the Office Products Division in Lexington,List([51, 118)))	He joined the company in 1977, where he started as a development engineer in the Office Products Division in Lexington, KY.
