0.8942434158739456		SimpleArgument(Custom,List([0, 6)))	Relation(made,List([7, 11)))	SimpleArgument(onground liners,List([12, 27)))	Custom made inground and onground liners.
0.8942434158739456		SimpleArgument(Custom,List([0, 6)))	Relation(made,List([7, 11)))	SimpleArgument(inground liners,List([12, 27)))	Custom made inground and onground liners.
0.9197759696552441		SimpleArgument(Water,List([0, 5)))	Relation(Testing at,List([6, 13), [14, 16)))	SpatialArgument(toys,List([17, 21)))	Water Testing at store - Chemicals, parts, accessories, and toys!
0.9197759696552441		SimpleArgument(Water,List([0, 5)))	Relation(Testing at,List([6, 13), [14, 16)))	SpatialArgument(accessories,List([17, 28)))	Water Testing at store - Chemicals, parts, accessories, and toys!
0.8942434158739456		SimpleArgument(Water,List([0, 5)))	Relation(Testing at,List([6, 13), [14, 16)))	SpatialArgument(parts,List([17, 22)))	Water Testing at store - Chemicals, parts, accessories, and toys!
0.9197759696552441		SimpleArgument(Water,List([0, 5)))	Relation(Testing at,List([6, 13), [14, 16)))	SpatialArgument(store - Chemicals,List([17, 34)))	Water Testing at store - Chemicals, parts, accessories, and toys!
0.8016573080327372		SimpleArgument(Marble,List([0, 6)))	Relation(Established in,List([7, 18), [19, 21)))	TemporalArgument(1991,List([22, 26)))	Fencing - Aluminum, Vinyl and Wood  Patios - Stone, Pavers, Travertine, Concrete and Marble Established in 1991.
0.2963963814307063		SimpleArgument(Concrete,List([0, 8)))	Relation(Established in,List([9, 20), [21, 23)))	TemporalArgument(1991,List([24, 28)))	Fencing - Aluminum, Vinyl and Wood  Patios - Stone, Pavers, Travertine, Concrete and Marble Established in 1991.
0.7487987465728897		SimpleArgument(Travertine,List([0, 10)))	Relation(Established in,List([11, 22), [23, 25)))	TemporalArgument(1991,List([26, 30)))	Fencing - Aluminum, Vinyl and Wood  Patios - Stone, Pavers, Travertine, Concrete and Marble Established in 1991.
0.7487987465728897		SimpleArgument(Pavers,List([0, 6)))	Relation(Established in,List([7, 18), [19, 21)))	TemporalArgument(1991,List([22, 26)))	Fencing - Aluminum, Vinyl and Wood  Patios - Stone, Pavers, Travertine, Concrete and Marble Established in 1991.
0.8437742409533863		SimpleArgument(Wood Patios - Stone,List([0, 19)))	Relation(Established in,List([20, 31), [32, 34)))	TemporalArgument(1991,List([35, 39)))	Fencing - Aluminum, Vinyl and Wood  Patios - Stone, Pavers, Travertine, Concrete and Marble Established in 1991.
0.8016573080327372		SimpleArgument(Vinyl,List([0, 5)))	Relation(Established in,List([6, 17), [18, 20)))	TemporalArgument(1991,List([21, 25)))	Fencing - Aluminum, Vinyl and Wood  Patios - Stone, Pavers, Travertine, Concrete and Marble Established in 1991.
0.8306090960787457		SimpleArgument(Fencing - Aluminum,List([0, 18)))	Relation(Established in,List([19, 30), [31, 33)))	TemporalArgument(1991,List([34, 38)))	Fencing - Aluminum, Vinyl and Wood  Patios - Stone, Pavers, Travertine, Concrete and Marble Established in 1991.
0.8866082521460373	Context(we look to help,List([85, 100)))	SimpleArgument(homeowners,List([101, 111)))	Relation(be,List([112, 114)))	SimpleArgument(able to enjoy their swimming pools with sound competitive pricing on high quality supplies,List([115, 205)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243	Context(we look,List([85, 92)))	SimpleArgument(we,List([85, 87)))	Relation(look to help,List([88, 92), [93, 100)))	SimpleArgument(homeowners be able to enjoy their swimming pools with sound competitive pricing on high quality supplies,List([101, 205)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.8866082521460373	Context(we look to help,List([85, 100)))	SimpleArgument(homeowners,List([101, 111)))	Relation(be,List([112, 114)))	SimpleArgument(able to enjoy their swimming pools with sound competitive pricing on high quality parts,List([115, 202)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243	Context(we look,List([85, 92)))	SimpleArgument(we,List([85, 87)))	Relation(look to help,List([88, 92), [93, 100)))	SimpleArgument(homeowners be able to enjoy their swimming pools with sound competitive pricing on high quality parts,List([101, 202)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.8866082521460373	Context(we look to help,List([85, 100)))	SimpleArgument(homeowners,List([101, 111)))	Relation(be,List([112, 114)))	SimpleArgument(able to enjoy their swimming pools with sound competitive pricing on high quality products,List([115, 205)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243	Context(we look,List([85, 92)))	SimpleArgument(we,List([85, 87)))	Relation(look to help,List([88, 92), [93, 100)))	SimpleArgument(homeowners be able to enjoy their swimming pools with sound competitive pricing on high quality products,List([101, 205)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.8866082521460373	Context(we look to help,List([84, 99)))	SimpleArgument(homeowners,List([100, 110)))	Relation(be,List([111, 113)))	SimpleArgument(able to enjoy their swimming pools with sound competitive pricing on high quality supplies,List([114, 204)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243	Context(we look,List([84, 91)))	SimpleArgument(we,List([84, 86)))	Relation(look to help,List([87, 91), [92, 99)))	SimpleArgument(homeowners be able to enjoy their swimming pools with sound competitive pricing on high quality supplies,List([100, 204)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243		SimpleArgument(we,List([84, 86)))	Relation(look to,List([87, 91), [92, 94)))	SimpleArgument(help homeowners be able to enjoy their swimming pools with sound competitive pricing on high quality supplies,List([95, 204)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.8866082521460373	Context(we look to help,List([84, 99)))	SimpleArgument(homeowners,List([100, 110)))	Relation(be,List([111, 113)))	SimpleArgument(able to enjoy their swimming pools with sound competitive pricing on high quality parts,List([114, 201)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243	Context(we look,List([84, 91)))	SimpleArgument(we,List([84, 86)))	Relation(look to help,List([87, 91), [92, 99)))	SimpleArgument(homeowners be able to enjoy their swimming pools with sound competitive pricing on high quality parts,List([100, 201)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243		SimpleArgument(we,List([84, 86)))	Relation(look to,List([87, 91), [92, 94)))	SimpleArgument(help homeowners be able to enjoy their swimming pools with sound competitive pricing on high quality parts,List([95, 201)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.8866082521460373	Context(we look to help,List([84, 99)))	SimpleArgument(homeowners,List([100, 110)))	Relation(be,List([111, 113)))	SimpleArgument(able to enjoy their swimming pools with sound competitive pricing on high quality products,List([114, 204)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243	Context(we look,List([84, 91)))	SimpleArgument(we,List([84, 86)))	Relation(look to help,List([87, 91), [92, 99)))	SimpleArgument(homeowners be able to enjoy their swimming pools with sound competitive pricing on high quality products,List([100, 204)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243		SimpleArgument(we,List([84, 86)))	Relation(look to,List([87, 91), [92, 94)))	SimpleArgument(help homeowners be able to enjoy their swimming pools with sound competitive pricing on high quality products,List([95, 204)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.8866082521460373	Context(we look to help,List([85, 100)))	SimpleArgument(homeowners,List([101, 111)))	Relation(be,List([112, 114)))	SimpleArgument(able to enjoy their swimming pools with sound courteous staff,List([115, 176)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
