0.949419443712137		SimpleArgument(Peter J. McLachlan,List([0, 18)))	Relation(was,List([52, 55)))	SimpleArgument(a unionist politician in Northern Ireland,List([56, 97)))	Peter J. McLachlan (21 August 1936 – 4 August 1999) was a unionist politician in Northern Ireland.
0.9000738595917936		SimpleArgument(McLachlan,List([19, 28)))	Relation(studied at,List([29, 36), [78, 80)))	SpatialArgument(Queen's College,List([81, 96)))	Born in Sheffield, McLachlan studied at Magdalen College School, Oxford, then at Queen's College, Oxford.
0.7711021503530645		SimpleArgument(McLachlan,List([19, 28)))	Relation(studied,List([29, 36)))	TemporalArgument(then,List([73, 77)))	Born in Sheffield, McLachlan studied at Magdalen College School, Oxford, then at Queen's College, Oxford.
0.9199923855291322		SimpleArgument(McLachlan,List([19, 28)))	Relation(studied,List([29, 36)))	SimpleArgument(Oxford,List([65, 71)))	Born in Sheffield, McLachlan studied at Magdalen College School, Oxford, then at Queen's College, Oxford.
0.9324144673478683		SimpleArgument(McLachlan,List([19, 28)))	Relation(studied at,List([29, 36), [37, 39)))	SpatialArgument(Magdalen College School,List([40, 63)))	Born in Sheffield, McLachlan studied at Magdalen College School, Oxford, then at Queen's College, Oxford.
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(was an organiser of,List([3, 22)))	SimpleArgument(the National Youth Orchestra,List([23, 51)))	He entered the Civil Service, and was an organiser of the National Youth Orchestra of Great Britain.
0.6783685094789625		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(an organiser of the National Youth Orchestra of Great Britain,List([7, 68)))	He entered the Civil Service, and was an organiser of the National Youth Orchestra of Great Britain.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(entered,List([3, 10)))	SimpleArgument(the Civil Service,List([11, 28)))	He entered the Civil Service, and was an organiser of the National Youth Orchestra of Great Britain.
0.3853208301752743		SimpleArgument(he,List([40, 42)))	Relation(was a member of,List([43, 58)))	SimpleArgument(the executive,List([59, 72)))	A keen supporter of the United Nations, he was a member of the executive of the United Nations Association from 1960 to 1962.
0.6783685094789625		SimpleArgument(he,List([40, 42)))	Relation(was,List([43, 46)))	SimpleArgument(a member of the executive of the United Nations Association from 1960 to 1962,List([47, 124)))	A keen supporter of the United Nations, he was a member of the executive of the United Nations Association from 1960 to 1962.
0.39625576749130315		SimpleArgument(he,List([19, 21)))	Relation(was also a supporter of the Corrymeela Community In,List([0, 25), [26, 60), [61, 70)))	TemporalArgument(his spare time,List([3, 17)))	In his spare time, he was also a supporter of the Corrymeela Community.
0.4978219019954182		SimpleArgument(he,List([19, 21)))	Relation(was also,List([22, 30)))	SimpleArgument(a supporter of the Corrymeela Community,List([31, 70)))	In his spare time, he was also a supporter of the Corrymeela Community.
