0.9481947648689547		SimpleArgument(Stetson,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(a town in Penobscot County, Maine,List([11, 44)))	Stetson is a town in Penobscot County, Maine, United States.
0.12800000607967377		SimpleArgument(the 2010 census,List([0, 0)))	Relation(had The population of,List([0, 0)))	SimpleArgument(1202,List(null))	The population was 1,202 at the 2010 census.
0.9729999899864197		SimpleArgument(The population,List([0, 0)))	Relation(was,List([0, 0)))	SimpleArgument(1202,List(null))	The population was 1,202 at the 2010 census.
0.9030401971054747		SimpleArgument(The population,List([0, 14)))	Relation(was 1,202 at,List([15, 18), [19, 24), [25, 27)))	SpatialArgument(the 2010 census,List([28, 43)))	The population was 1,202 at the 2010 census.
0.8132903905488816		SimpleArgument(The population,List([0, 14)))	Relation(was,List([15, 18)))	SimpleArgument(1,202,List([19, 24)))	The population was 1,202 at the 2010 census.
0.30899953469486874		SimpleArgument(It,List([0, 2)))	Relation(was named after,List([3, 12), [13, 18)))	SimpleArgument(its first proprietor,List([19, 39)))	It was named after its first proprietor, Amasa Stetson.
0.3833177039030785		SimpleArgument(His brother,List([0, 11)))	Relation(moved to nearby Hampden in,List([12, 17), [18, 35), [36, 38)))	TemporalArgument(1803,List([39, 43)))	His brother Simeon Stetson originally settled here as well, but moved to nearby Hampden in 1803.
0.6796597830231682		SimpleArgument(His brother,List([0, 11)))	Relation(moved to,List([12, 17), [18, 20)))	SimpleArgument(nearby Hampden,List([21, 35)))	His brother Simeon Stetson originally settled here as well, but moved to nearby Hampden in 1803.
0.886695286966665		SimpleArgument(Simeon Stetson,List([12, 26)))	Relation([is] brother [of],List([4, 11)))	SimpleArgument(Him,List([0, 3)))	His brother Simeon Stetson originally settled here as well, but moved to nearby Hampden in 1803.
0.484150016574677		SimpleArgument(His brother,List([0, 11)))	Relation(settled,List([38, 45)))	TemporalArgument(originally,List([27, 37)))	His brother Simeon Stetson originally settled here as well, but moved to nearby Hampden in 1803.
0.3045592297074577		SimpleArgument(His brother,List([0, 11)))	Relation(settled,List([38, 45)))	SimpleArgument(as well,List([51, 58)))	His brother Simeon Stetson originally settled here as well, but moved to nearby Hampden in 1803.
0.3444466732705899		SimpleArgument(His brother,List([0, 11)))	Relation(settled,List([38, 45)))	SimpleArgument(here,List([46, 50)))	His brother Simeon Stetson originally settled here as well, but moved to nearby Hampden in 1803.
0.9485479188231729		SimpleArgument(Simeon 's sons Isaiah,List([0, 21)))	Relation(founded a powerful political family in,List([22, 29), [30, 57), [58, 60)))	TemporalArgument(Bangor,List([61, 67)))	Simeon's sons Charles, George, and Isaiah founded a powerful mercantile and political family in Bangor.
0.9387281236502384		SimpleArgument(Simeon 's sons Isaiah,List([0, 21)))	Relation(founded,List([22, 29)))	SimpleArgument(a powerful political family,List([30, 57)))	Simeon's sons Charles, George, and Isaiah founded a powerful mercantile and political family in Bangor.
0.9485479188231729		SimpleArgument(Simeon 's sons Isaiah,List([0, 21)))	Relation(founded,List([22, 29)))	SimpleArgument(a powerful mercantile in Bangor,List([30, 61)))	Simeon's sons Charles, George, and Isaiah founded a powerful mercantile and political family in Bangor.
0.9485479188231729		SimpleArgument(Simeon 's sons George,List([0, 21)))	Relation(founded a powerful political family in,List([22, 29), [30, 57), [58, 60)))	SpatialArgument(Bangor,List([61, 67)))	Simeon's sons Charles, George, and Isaiah founded a powerful mercantile and political family in Bangor.
0.9387281236502384		SimpleArgument(Simeon 's sons George,List([0, 21)))	Relation(founded,List([22, 29)))	SimpleArgument(a powerful political family,List([30, 57)))	Simeon's sons Charles, George, and Isaiah founded a powerful mercantile and political family in Bangor.
0.9339862216393666		SimpleArgument(Simeon 's sons,List([0, 14)))	Relation(founded,List([22, 29)))	SimpleArgument(a powerful mercantile in Bangor,List([30, 61)))	Simeon's sons Charles, George, and Isaiah founded a powerful mercantile and political family in Bangor.
0.9485479188231729		SimpleArgument(Simeon 's sons Charles,List([0, 22)))	Relation(founded a powerful political family in,List([23, 30), [31, 58), [59, 61)))	SpatialArgument(Bangor,List([62, 68)))	Simeon's sons Charles, George, and Isaiah founded a powerful mercantile and political family in Bangor.
0.9387281236502384		SimpleArgument(Simeon 's sons Charles,List([0, 22)))	Relation(founded,List([23, 30)))	SimpleArgument(a powerful political family,List([31, 58)))	Simeon's sons Charles, George, and Isaiah founded a powerful mercantile and political family in Bangor.
0.9485479188231729		SimpleArgument(Simeon 's sons Charles,List([0, 22)))	Relation(founded,List([23, 30)))	SimpleArgument(a powerful mercantile in Bangor,List([31, 62)))	Simeon's sons Charles, George, and Isaiah founded a powerful mercantile and political family in Bangor.
