0.3853208301752743		SimpleArgument(August 3 , 1939 ),List([28, 45)))	Relation(is professor of,List([46, 61)))	SimpleArgument(chemistry,List([62, 71)))	George M. Whitesides (born August 3, 1939) is an American chemist and professor of chemistry at Harvard University.
0.949419443712137		SimpleArgument(George M. Whitesides,List([0, 20)))	Relation(is,List([46, 48)))	SimpleArgument(professor of chemistry at Harvard University,List([49, 93)))	George M. Whitesides (born August 3, 1939) is an American chemist and professor of chemistry at Harvard University.
0.9397554176335701		SimpleArgument(George M. Whitesides,List([0, 20)))	Relation(is,List([46, 48)))	SimpleArgument(an American chemist,List([49, 68)))	George M. Whitesides (born August 3, 1939) is an American chemist and professor of chemistry at Harvard University.
0.949419443712137		SimpleArgument(George M. Whitesides,List([0, 20)))	Relation(born,List([23, 27)))	TemporalArgument(August 3,List([28, 36)))	George M. Whitesides (born August 3, 1939) is an American chemist and professor of chemistry at Harvard University.
0.5337666212575038		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(best known for his work in the areas of NMR organometallic nanotechnology,List([6, 79)))	He is best known for his work in the areas of NMR spectroscopy, organometallic chemistry, molecular self-assembly, soft lithography, microfabrication, microfluidics, and nanotechnology.
0.5337666212575038		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(best known for his work in the areas of NMR organometallic microfluidics,List([6, 78)))	He is best known for his work in the areas of NMR spectroscopy, organometallic chemistry, molecular self-assembly, soft lithography, microfabrication, microfluidics, and nanotechnology.
0.5337666212575038		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(best known for his work in the areas of NMR organometallic microfabrication,List([6, 81)))	He is best known for his work in the areas of NMR spectroscopy, organometallic chemistry, molecular self-assembly, soft lithography, microfabrication, microfluidics, and nanotechnology.
0.5337666212575038		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(best known for his work in the areas of NMR organometallic soft lithography,List([6, 81)))	He is best known for his work in the areas of NMR spectroscopy, organometallic chemistry, molecular self-assembly, soft lithography, microfabrication, microfluidics, and nanotechnology.
0.5337666212575038		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(best known for his work in the areas of NMR organometallic molecular self - assembly,List([6, 90)))	He is best known for his work in the areas of NMR spectroscopy, organometallic chemistry, molecular self-assembly, soft lithography, microfabrication, microfluidics, and nanotechnology.
0.5337666212575038		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(best known for his work in the areas of NMR organometallic chemistry,List([6, 74)))	He is best known for his work in the areas of NMR spectroscopy, organometallic chemistry, molecular self-assembly, soft lithography, microfabrication, microfluidics, and nanotechnology.
0.5508709715731925		SimpleArgument(he,List([45, 47)))	Relation(received the highest Hirsch index rating of all living chemists in 2011,List([48, 56), [57, 119)))	TemporalArgument(patent holder who has received many awards,List([0, 42)))	A prolific author and patent holder who has received many awards, he received the highest Hirsch index rating of all living chemists in 2011.
0.8872966301155124		SimpleArgument(patent holder,List([0, 13)))	Relation(has received,List([18, 30)))	SimpleArgument(many awards,List([31, 42)))	A prolific author and patent holder who has received many awards, he received the highest Hirsch index rating of all living chemists in 2011.
0.5508709715731925		SimpleArgument(he,List([20, 22)))	Relation(received the highest Hirsch index rating of all living chemists in 2011,List([23, 31), [32, 94)))	TemporalArgument(A prolific author,List([0, 17)))	A prolific author and patent holder who has received many awards, he received the highest Hirsch index rating of all living chemists in 2011.
0.6138676038426771		SimpleArgument(he,List([20, 22)))	Relation(received,List([23, 31)))	SimpleArgument(the highest Hirsch index rating of all living chemists in 2011,List([32, 94)))	A prolific author and patent holder who has received many awards, he received the highest Hirsch index rating of all living chemists in 2011.
