0.9726855614196764		SimpleArgument(Foam Warehouse NW,List([0, 17)))	Relation(has,List([18, 21)))	SimpleArgument(one of the Northwest's largest selection of foam in stock,List([22, 79)))	Foam Warehouse NW has one of the Northwest's largest selection of foam in stock!
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(cut foam for,List([3, 6), [7, 11), [12, 15)))	SimpleArgument(almost everything,List([16, 33)))	We design and cut foam for almost everything.
0.5222094630377523		SimpleArgument(We,List([0, 2)))	Relation(cut,List([3, 6)))	SimpleArgument(foam,List([7, 11)))	We design and cut foam for almost everything.
0.1948871917044894		SimpleArgument(We,List([0, 2)))	Relation(design,List([3, 9)))		We design and cut foam for almost everything.
0.2560951955542683	Context(we can help,List([19, 30)))	SimpleArgument(we,List([19, 21)))	Relation(can help provide,List([22, 30), [31, 38)))	SimpleArgument(the foam padding you need,List([39, 64)))	So if you sit, lay, stand or jump on it, we can help provide the foam padding you need.
0.2560951955542683	Context(we can help,List([16, 27)))	SimpleArgument(we,List([16, 18)))	Relation(can help provide,List([19, 27), [28, 35)))	SimpleArgument(the foam padding you need,List([36, 61)))	So if you sit, lay, stand or jump on it, we can help provide the foam padding you need.
0.3880890333449538		SimpleArgument(we,List([16, 18)))	Relation(can help,List([19, 27)))	SimpleArgument(provide the foam padding,List([28, 52)))	So if you sit, lay, stand or jump on it, we can help provide the foam padding you need.
0.8937052396947953		SimpleArgument(the foam padding,List([36, 52)))	Relation(need,List([57, 61)))	SimpleArgument(you,List([53, 56)))	So if you sit, lay, stand or jump on it, we can help provide the foam padding you need.
0.3842405206583326		SimpleArgument(you,List([6, 9)))	Relation(sit,List([10, 13)))		So if you sit, lay, stand or jump on it, we can help provide the foam padding you need.
0.292827695956731	Context(We have,List([0, 7)))	SimpleArgument(We,List([0, 2)))	Relation(have an extensive selection of foams with a wide range of firmnesses providing to,List([3, 7), [8, 10), [11, 20)))	SimpleArgument(retail customers,List([91, 107)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.3880890333449538		SimpleArgument(We,List([0, 2)))	Relation(have an extensive selection of foams with a wide range of firmnesses while,List([3, 7), [8, 71), [72, 77)))	TemporalArgument(providing to retail customers,List([78, 107)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
