0.9340463819568752		SimpleArgument(September 19,List([0, 12)))	Relation(is,List([22, 24)))	SimpleArgument(a Russian physicist,List([25, 44)))	September 19, 1930) is a Soviet and Russian physicist.
0.9340463819568752		SimpleArgument(September 19,List([0, 12)))	Relation(is,List([22, 24)))	SimpleArgument(a Soviet physicist,List([25, 43)))	September 19, 1930) is a Soviet and Russian physicist.
0.9030401971054747		SimpleArgument(lightning initiation,List([34, 54)))	Relation(known as,List([55, 60), [61, 63)))	SimpleArgument(the "runaway breakdown,List([64, 86)))	In 1992 he proposed the theory of lightning initiation known as the "runaway breakdown".
0.29886655727758943		SimpleArgument(he,List([8, 10)))	Relation(proposed the theory of lightning initiation In,List([0, 2), [11, 43), [44, 54)))	TemporalArgument(1992,List([3, 7)))	In 1992 he proposed the theory of lightning initiation known as the "runaway breakdown".
0.45170382506656653		SimpleArgument(he,List([8, 10)))	Relation(proposed,List([11, 19)))	SimpleArgument(the theory of lightning initiation,List([20, 54)))	In 1992 he proposed the theory of lightning initiation known as the "runaway breakdown".
0.8016573080327372		SimpleArgument(Gurevich,List([0, 8)))	Relation(graduated from Moscow State University in,List([9, 18), [19, 47), [48, 50)))	TemporalArgument(1952,List([51, 55)))	Gurevich graduated from Moscow State University in 1952.
0.9324144673478683		SimpleArgument(Gurevich,List([0, 8)))	Relation(graduated from,List([9, 18), [19, 23)))	SimpleArgument(Moscow State University,List([24, 47)))	Gurevich graduated from Moscow State University in 1952.
0.36123317708488234		SimpleArgument(he,List([8, 10)))	Relation(became a Corresponding Member of the USSR Academy of Sciences In,List([0, 2), [11, 63), [64, 72)))	TemporalArgument(1984,List([3, 7)))	In 1984 he became a Corresponding Member of the USSR Academy of Sciences (Russian Academy of Sciences since 1991).
0.20099876445406376		SimpleArgument(he,List([8, 10)))	Relation(became a Corresponding Member of the USSR Academy of Sciences since,List([11, 17), [18, 72), [102, 107)))	TemporalArgument(1991,List([108, 112)))	In 1984 he became a Corresponding Member of the USSR Academy of Sciences (Russian Academy of Sciences since 1991).
0.4978219019954182		SimpleArgument(he,List([8, 10)))	Relation(became,List([11, 17)))	SimpleArgument(a Corresponding Member of the USSR Academy of Sciences,List([18, 72)))	In 1984 he became a Corresponding Member of the USSR Academy of Sciences (Russian Academy of Sciences since 1991).
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(was the head of,List([3, 18)))	SimpleArgument(the I. E. Tamm Theoretical Department,List([19, 56)))	He was the head of the I. E. Tamm Theoretical Department at the Lebedev Physical Institute.
0.6783685094789625		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the head of the I. E. Tamm Theoretical Department at the Lebedev Physical Institute,List([7, 90)))	He was the head of the I. E. Tamm Theoretical Department at the Lebedev Physical Institute.
0.36123317708488234		SimpleArgument(he,List([10, 12)))	Relation(is the head of Academic Department of Astrophysics Problems in Moscow Institute of Technology From,List([0, 4), [13, 95), [96, 106)))	TemporalArgument(2010,List([5, 9)))	From 2010 he is the head of Academic Department of Physics and Astrophysics Problems in Moscow Institute of Physics and Technology.
0.6783685094789625		SimpleArgument(he,List([10, 12)))	Relation(is,List([13, 15)))	SimpleArgument(the head of Academic Department of Astrophysics Problems in Moscow Institute of Technology,List([16, 106)))	From 2010 he is the head of Academic Department of Physics and Astrophysics Problems in Moscow Institute of Physics and Technology.
0.36123317708488234		SimpleArgument(he,List([10, 12)))	Relation(is the head of Academic Department of Astrophysics Problems in Moscow Institute of Physics From,List([0, 4), [13, 95), [96, 103)))	TemporalArgument(2010,List([5, 9)))	From 2010 he is the head of Academic Department of Physics and Astrophysics Problems in Moscow Institute of Physics and Technology.
0.6783685094789625		SimpleArgument(he,List([10, 12)))	Relation(is,List([13, 15)))	SimpleArgument(the head of Academic Department of Astrophysics Problems in Moscow Institute of Physics,List([16, 103)))	From 2010 he is the head of Academic Department of Physics and Astrophysics Problems in Moscow Institute of Physics and Technology.
0.36123317708488234		SimpleArgument(he,List([10, 12)))	Relation(is the head of Academic Department of Physics Problems in Moscow Institute of Technology From,List([0, 4), [13, 90), [91, 101)))	TemporalArgument(2010,List([5, 9)))	From 2010 he is the head of Academic Department of Physics and Astrophysics Problems in Moscow Institute of Physics and Technology.
0.6783685094789625		SimpleArgument(he,List([10, 12)))	Relation(is,List([13, 15)))	SimpleArgument(the head of Academic Department of Physics Problems in Moscow Institute of Technology,List([16, 101)))	From 2010 he is the head of Academic Department of Physics and Astrophysics Problems in Moscow Institute of Physics and Technology.
0.38089450366724514		SimpleArgument(he,List([10, 12)))	Relation(is the head of,List([13, 27)))	SimpleArgument(Academic Department,List([28, 47)))	From 2010 he is the head of Academic Department of Physics and Astrophysics Problems in Moscow Institute of Physics and Technology.
0.36123317708488234		SimpleArgument(he,List([10, 12)))	Relation(is the head of Academic Department of Physics Problems in Moscow Institute of Physics From,List([0, 4), [13, 90), [91, 98)))	TemporalArgument(2010,List([5, 9)))	From 2010 he is the head of Academic Department of Physics and Astrophysics Problems in Moscow Institute of Physics and Technology.
0.6783685094789625		SimpleArgument(he,List([10, 12)))	Relation(is,List([13, 15)))	SimpleArgument(the head of Academic Department of Physics Problems in Moscow Institute of Physics,List([16, 98)))	From 2010 he is the head of Academic Department of Physics and Astrophysics Problems in Moscow Institute of Physics and Technology.
