0.7390000224113464		SimpleArgument(Davidson,List([0, 0)))	Relation(has Richardson Stadium of,List([0, 0)))	SimpleArgument(6000 - seat multi - purpose stadium,List(null))	Richardson Stadium is a 6,000-seat multi-purpose stadium in Davidson, North Carolina.
0.9527410621066101		SimpleArgument(Richardson Stadium,List([0, 18)))	Relation(is,List([19, 21)))	SimpleArgument(a 6,000-seat multi-purpose stadium in Davidson,List([22, 68)))	Richardson Stadium is a 6,000-seat multi-purpose stadium in Davidson, North Carolina.
0.5680679595514976		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(home to the Davidson College Wildcats field teams,List([6, 55)))	It is home to the Davidson College Wildcats football and track and field teams.
0.5680679595514976		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(home to the Davidson College Wildcats track teams,List([6, 55)))	It is home to the Davidson College Wildcats football and track and field teams.
0.5680679595514976		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(home to the Davidson College Wildcats football teams,List([6, 58)))	It is home to the Davidson College Wildcats football and track and field teams.
0.9180804252893389		SimpleArgument(The stadium,List([0, 11)))	Relation(incorporates,List([12, 24)))	SimpleArgument(Irwin Belk Track,List([25, 41)))	The stadium incorporates both Stephen B. Smith Field and Irwin Belk Track.
0.9180804252893389		SimpleArgument(The stadium,List([0, 11)))	Relation(incorporates,List([12, 24)))	SimpleArgument(both Stephen B. Smith Field,List([25, 52)))	The stadium incorporates both Stephen B. Smith Field and Irwin Belk Track.
0.5222094630377523		SimpleArgument(It,List([0, 2)))	Relation(has also hosted the NCAA Men 's Soccer Championship on,List([3, 18), [19, 53), [54, 56)))	TemporalArgument(three occasions,List([57, 72)))	It has also hosted the NCAA Men's Soccer Championship on three occasions from 1992-1994.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(has also hosted,List([3, 18)))	SimpleArgument(the NCAA Men's Soccer Championship,List([19, 53)))	It has also hosted the NCAA Men's Soccer Championship on three occasions from 1992-1994.
0.9327330412371158		SimpleArgument(the stadium,List([13, 24)))	Relation(acts as the finish of the Davidson freshman Cake Race,List([25, 29), [30, 78)))	TemporalArgument(Every autumn,List([0, 12)))	Every autumn the stadium acts as the start and finish of the Davidson freshman Cake Race, where incoming students run a course around the college in competition for cakes baked by inhabitants of the local community.
0.9180804252893389		SimpleArgument(the stadium,List([13, 24)))	Relation(acts as,List([25, 29), [30, 32)))	SimpleArgument(the finish of the Davidson freshman Cake Race,List([33, 78)))	Every autumn the stadium acts as the start and finish of the Davidson freshman Cake Race, where incoming students run a course around the college in competition for cakes baked by inhabitants of the local community.
0.38089450366724514		SimpleArgument(Cake Race,List([68, 77)))	Relation([is] freshman [of],List([59, 67)))	SimpleArgument(Davidson,List([50, 58)))	Every autumn the stadium acts as the start and finish of the Davidson freshman Cake Race, where incoming students run a course around the college in competition for cakes baked by inhabitants of the local community.
0.8942434158739456		SimpleArgument(cakes,List([155, 160)))	Relation(baked by,List([161, 166), [167, 169)))	SimpleArgument(inhabitants of the local community,List([170, 204)))	Every autumn the stadium acts as the start and finish of the Davidson freshman Cake Race, where incoming students run a course around the college in competition for cakes baked by inhabitants of the local community.
0.9030401971054747		SimpleArgument(incoming students,List([86, 103)))	Relation(run a course around,List([104, 107), [108, 116), [117, 123)))	SpatialArgument(the college,List([124, 135)))	Every autumn the stadium acts as the start and finish of the Davidson freshman Cake Race, where incoming students run a course around the college in competition for cakes baked by inhabitants of the local community.
0.9251282565798027		SimpleArgument(incoming students,List([86, 103)))	Relation(run,List([104, 107)))	SimpleArgument(a course,List([108, 116)))	Every autumn the stadium acts as the start and finish of the Davidson freshman Cake Race, where incoming students run a course around the college in competition for cakes baked by inhabitants of the local community.
0.9327330412371158		SimpleArgument(the stadium,List([13, 24)))	Relation(acts as the start of the Davidson freshman Cake Race,List([25, 29), [30, 77)))	TemporalArgument(Every autumn,List([0, 12)))	Every autumn the stadium acts as the start and finish of the Davidson freshman Cake Race, where incoming students run a course around the college in competition for cakes baked by inhabitants of the local community.
0.9180804252893389		SimpleArgument(the stadium,List([13, 24)))	Relation(acts as,List([25, 29), [30, 32)))	SimpleArgument(the start of the Davidson freshman Cake Race,List([33, 77)))	Every autumn the stadium acts as the start and finish of the Davidson freshman Cake Race, where incoming students run a course around the college in competition for cakes baked by inhabitants of the local community.
