0.9527410621066101		SimpleArgument(Redwood Skytours,List([0, 16)))	Relation(is,List([17, 19)))	SimpleArgument(the OLDEST travel agency in Marin County,List([20, 60)))	Redwood Skytours is the OLDEST travel agency in Marin County.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(a Sea,List([7, 12)))	We are a full-service agency booking Air, Land and Sea.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(a Land,List([7, 13)))	We are a full-service agency booking Air, Land and Sea.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(a full - service agency booking Air,List([7, 42)))	We are a full-service agency booking Air, Land and Sea.
0.45170382506656653		SimpleArgument(we,List([81, 83)))	Relation(do have,List([84, 91)))	SimpleArgument(a specialist in South American travel,List([92, 129)))	We specialize in servicing your travel needs no matter where they take you - but we do have a specialist in Tropical and Honeymoon travel, European travel and South American travel.
0.45170382506656653		SimpleArgument(we,List([81, 83)))	Relation(do have,List([84, 91)))	SimpleArgument(a specialist in European travel,List([92, 123)))	We specialize in servicing your travel needs no matter where they take you - but we do have a specialist in Tropical and Honeymoon travel, European travel and South American travel.
0.4978219019954182		SimpleArgument(we,List([81, 83)))	Relation(do have,List([84, 91)))	SimpleArgument(a specialist in Honeymoon travel,List([92, 124)))	We specialize in servicing your travel needs no matter where they take you - but we do have a specialist in Tropical and Honeymoon travel, European travel and South American travel.
0.4978219019954182		SimpleArgument(we,List([81, 83)))	Relation(do have,List([84, 91)))	SimpleArgument(a specialist in Tropical,List([92, 116)))	We specialize in servicing your travel needs no matter where they take you - but we do have a specialist in Tropical and Honeymoon travel, European travel and South American travel.
0.4649296389869295		SimpleArgument(they,List([61, 65)))	Relation(take,List([66, 70)))	SimpleArgument(you,List([71, 74)))	We specialize in servicing your travel needs no matter where they take you - but we do have a specialist in Tropical and Honeymoon travel, European travel and South American travel.
0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(specialize in,List([3, 13), [14, 16)))	SimpleArgument(servicing your travel,List([17, 38)))	We specialize in servicing your travel needs no matter where they take you - but we do have a specialist in Tropical and Honeymoon travel, European travel and South American travel.
0.729569447694811		SimpleArgument(an agent,List([8, 16)))	Relation(speaks as well,List([21, 27), [36, 43)))	SimpleArgument(Spanish,List([28, 35)))	We have an agent who speaks Spanish as well.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(an agent who speaks Spanish as well,List([8, 43)))	We have an agent who speaks Spanish as well.
0.2560951955542683	Context(We take,List([0, 7)))	SimpleArgument(We,List([0, 2)))	Relation(take great pride in providing service to,List([3, 7), [8, 19), [20, 22), [23, 32)))	SimpleArgument(our telephone clients,List([44, 65)))	We take great pride in providing service to our walk-in clients, our email clients and our telephone clients.
0.2560951955542683	Context(We take,List([0, 7)))	SimpleArgument(We,List([0, 2)))	Relation(take great pride in providing service to,List([3, 7), [8, 19), [20, 22), [23, 32)))	SimpleArgument(our email clients,List([44, 61)))	We take great pride in providing service to our walk-in clients, our email clients and our telephone clients.
0.2560951955542683	Context(We take,List([0, 7)))	SimpleArgument(We,List([0, 2)))	Relation(take great pride in providing service to,List([3, 7), [8, 19), [20, 22), [23, 32)))	SimpleArgument(our walk - in clients,List([44, 65)))	We take great pride in providing service to our walk-in clients, our email clients and our telephone clients.
0.3880890333449538	Context(We take,List([0, 7)))	SimpleArgument(We,List([0, 2)))	Relation(take great pride in providing,List([3, 7), [8, 19)))	SimpleArgument(service,List([33, 40)))	We take great pride in providing service to our walk-in clients, our email clients and our telephone clients.
0.3880890333449538		SimpleArgument(We,List([0, 2)))	Relation(take,List([3, 7)))	SimpleArgument(great pride,List([8, 19)))	We take great pride in providing service to our walk-in clients, our email clients and our telephone clients.
0.3497525988439521		SimpleArgument(us,List([50, 52)))	Relation(to help with,List([53, 60), [65, 69)))	SimpleArgument(every detail,List([70, 82)))	If you are taking a once-in-a-lifetime trip trust us to help you with every detail.
0.6155020116081594		SimpleArgument(you,List([3, 6)))	Relation(are taking,List([7, 17)))	SimpleArgument(a once-in-a-lifetime trip trust,List([18, 49)))	If you are taking a once-in-a-lifetime trip trust us to help you with every detail.
0.16235220060090308	Context(That 's,List([0, 6)))	SimpleArgument(we,List([12, 14)))	Relation(do best,List([15, 22)))		That's what we do best.
0.26177203257431003		SimpleArgument(That,List([0, 4)))	Relation('s,List([4, 6)))	SimpleArgument(what we do best,List([7, 22)))	That's what we do best.
0.9324144673478683		SimpleArgument(Redwood,List([0, 7)))	Relation(was in,List([8, 11), [12, 14)))	SimpleArgument(the same Fourth St. location,List([15, 43)))	Redwood Travel started in 1941 in Downtown San Rafael and was in the same Fourth St. location until our move to Fifth St. in 2002.
0.9084353254608957		SimpleArgument(Redwood Travel,List([0, 14)))	Relation(started in,List([15, 22), [31, 33)))	SpatialArgument(Downtown San Rafael,List([34, 53)))	Redwood Travel started in 1941 in Downtown San Rafael and was in the same Fourth St. location until our move to Fifth St. in 2002.
0.816575697747956		SimpleArgument(Redwood Travel,List([0, 14)))	Relation(started in,List([15, 22), [23, 25)))	TemporalArgument(1941,List([26, 30)))	Redwood Travel started in 1941 in Downtown San Rafael and was in the same Fourth St. location until our move to Fifth St. in 2002.
0.7434269613309079		SimpleArgument(Skytours,List([0, 8)))	Relation(was owned,List([9, 12), [24, 29)))	TemporalArgument(originally,List([13, 23)))	Skytours was originally owned by Freddie Laker of Laker Airways in London.
0.8691627739576013		SimpleArgument(Skytours,List([0, 8)))	Relation(was owned by,List([9, 12), [24, 29), [30, 32)))	SimpleArgument(Freddie Laker of Laker Airways in London,List([33, 73)))	Skytours was originally owned by Freddie Laker of Laker Airways in London.
0.3498441627223176		SimpleArgument(He,List([0, 2)))	Relation(called,List([3, 9)))	SimpleArgument(his airplanes ' Skytrains his travel agencies ' Skytours,List([10, 66)))	He called his airplanes 'Skytrains' and his travel agencies 'Skytours'.
0.40710919743170804		SimpleArgument(He,List([0, 2)))	Relation(called his airplanes,List([3, 9), [10, 23)))	SimpleArgument(Skytrains,List([26, 35)))	He called his airplanes 'Skytrains' and his travel agencies 'Skytours'.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(called,List([3, 9)))	SimpleArgument(his airplanes,List([10, 23)))	He called his airplanes 'Skytrains' and his travel agencies 'Skytours'.
