0.3808531264769592		SimpleArgument(Dentistry,List([43, 52)))	Relation([is] County Family [of],List([29, 42)))	SimpleArgument(Waldo,List([23, 28)))	Morrow Michelle, DMD - Waldo County Family Dentistry
0.5222094630377523		SimpleArgument(We,List([0, 2)))	Relation(do,List([3, 5)))	SimpleArgument(same day crown,List([6, 20)))	We do same day crown!
0.7005288659799959		SimpleArgument(We specialize,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(restorative work such as complete dentures,List([17, 59)))	We specialize is restorative work such as fillings, crowns, and bridges, root canals, implants, as well as partial and complete dentures.
0.7005288659799959		SimpleArgument(We specialize,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(restorative work such as partial dentures,List([17, 58)))	We specialize is restorative work such as fillings, crowns, and bridges, root canals, implants, as well as partial and complete dentures.
0.7005288659799959		SimpleArgument(We specialize,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(restorative work such as implants,List([17, 50)))	We specialize is restorative work such as fillings, crowns, and bridges, root canals, implants, as well as partial and complete dentures.
0.7005288659799959		SimpleArgument(We specialize,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(restorative work such as root canals,List([17, 53)))	We specialize is restorative work such as fillings, crowns, and bridges, root canals, implants, as well as partial and complete dentures.
0.7005288659799959		SimpleArgument(We specialize,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(restorative work such as bridges,List([17, 49)))	We specialize is restorative work such as fillings, crowns, and bridges, root canals, implants, as well as partial and complete dentures.
0.7005288659799959		SimpleArgument(We specialize,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(restorative work such as crowns,List([17, 48)))	We specialize is restorative work such as fillings, crowns, and bridges, root canals, implants, as well as partial and complete dentures.
0.7005288659799959		SimpleArgument(We specialize,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(restorative work such as fillings,List([17, 50)))	We specialize is restorative work such as fillings, crowns, and bridges, root canals, implants, as well as partial and complete dentures.
0.1948871917044894		SimpleArgument(We,List([0, 2)))	Relation(specialize,List([3, 13)))		We specialize is restorative work such as fillings, crowns, and bridges, root canals, implants, as well as partial and complete dentures.
0.6381012045821894		SimpleArgument(Our Hygienist,List([0, 13)))	Relation(performs routine cleanings to,List([14, 22), [23, 40), [41, 43)))	SimpleArgument(treating gum disease such as periodontal disease,List([44, 92)))	Our Hygienist performs routine cleanings to treating gum disease such as gingivitis and periodontal disease.
0.6381012045821894		SimpleArgument(Our Hygienist,List([0, 13)))	Relation(performs routine cleanings to,List([14, 22), [23, 40), [41, 43)))	SimpleArgument(treating gum disease such as gingivitis,List([44, 83)))	Our Hygienist performs routine cleanings to treating gum disease such as gingivitis and periodontal disease.
0.6381012045821894		SimpleArgument(Our Hygienist,List([0, 13)))	Relation(performs,List([14, 22)))	SimpleArgument(routine cleanings,List([23, 40)))	Our Hygienist performs routine cleanings to treating gum disease such as gingivitis and periodontal disease.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(attended,List([2, 10)))	SimpleArgument(dental school in Pennsylvania,List([11, 40)))	Hi, I'm Dr. Michelle Morrow and I was born in Ohio, but I attended high school, college and dental school in Pennsylvania.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(attended,List([2, 10)))	SimpleArgument(college,List([11, 18)))	Hi, I'm Dr. Michelle Morrow and I was born in Ohio, but I attended high school, college and dental school in Pennsylvania.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(attended,List([2, 10)))	SimpleArgument(high school,List([11, 22)))	Hi, I'm Dr. Michelle Morrow and I was born in Ohio, but I attended high school, college and dental school in Pennsylvania.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(was born in,List([2, 10), [11, 13)))	SpatialArgument(Ohio,List([14, 18)))	Hi, I'm Dr. Michelle Morrow and I was born in Ohio, but I attended high school, college and dental school in Pennsylvania.
0.5680679595514976		SimpleArgument(I,List({5}))	Relation('m,List([7, 9)))	SimpleArgument(Dr. Michelle Morrow,List([10, 29)))	Hi, I'm Dr. Michelle Morrow and I was born in Ohio, but I attended high school, college and dental school in Pennsylvania.
0.292827695956731	Context(I worked,List([63, 71)))	SimpleArgument(I,List({63}))	Relation(worked before moving to Belfast for,List([65, 71), [100, 113), [114, 124), [132, 135)))	TemporalArgument(a better quality of life,List([136, 160)))	After graduating from Temple University Dental School in 1986, I worked in Pennsylvania for 3 years before moving to Belfast, Maine for a better quality of life.
0.332563478582812	Context(I worked,List([63, 71)))	SimpleArgument(I,List({63}))	Relation(worked before moving to,List([65, 71), [100, 113), [114, 116)))	SimpleArgument(Belfast,List([117, 124)))	After graduating from Temple University Dental School in 1986, I worked in Pennsylvania for 3 years before moving to Belfast, Maine for a better quality of life.
0.5283282283527726		SimpleArgument(I,List({63}))	Relation(worked After,List([0, 5), [65, 71)))	TemporalArgument(graduating from Temple University Dental School in 1986,List([6, 61)))	After graduating from Temple University Dental School in 1986, I worked in Pennsylvania for 3 years before moving to Belfast, Maine for a better quality of life.
0.4441583978729975		SimpleArgument(I,List({63}))	Relation(worked before,List([65, 71), [100, 106)))	TemporalArgument(moving to Belfast, Maine for a better quality of life,List([107, 160)))	After graduating from Temple University Dental School in 1986, I worked in Pennsylvania for 3 years before moving to Belfast, Maine for a better quality of life.
0.292827695956731		SimpleArgument(I,List({63}))	Relation(worked for,List([65, 71), [88, 91)))	TemporalArgument(3 years,List([92, 99)))	After graduating from Temple University Dental School in 1986, I worked in Pennsylvania for 3 years before moving to Belfast, Maine for a better quality of life.
