0.9340463819568752		SimpleArgument(Claude Champagne,List([0, 16)))	Relation(was,List([50, 53)))	SimpleArgument(a Canadian composer,List([54, 73)))	Claude Champagne (27 May 1891 – 21 December 1965) was a Canadian composer.
0.45170382506656653		SimpleArgument(he,List([26, 28)))	Relation(studied,List([29, 36)))	SimpleArgument(violin,List([37, 43)))	Born in Montreal, Quebec, he studied violin with Albert Chamberland, organ with Orpha-F.
0.292827695956731	Context(he went,List([8, 15)))	SimpleArgument(he,List([8, 10)))	Relation(went to study,List([11, 15), [34, 42)))	SimpleArgument(music,List([43, 48)))	In 1921 he went straight to Paris to study music.
0.24707677063501074		SimpleArgument(he,List([8, 10)))	Relation(went In,List([0, 2), [11, 15)))	TemporalArgument(1921,List([3, 7)))	In 1921 he went straight to Paris to study music.
0.292827695956731		SimpleArgument(he,List([8, 10)))	Relation(went to,List([11, 15), [34, 36)))	SimpleArgument(study music,List([37, 48)))	In 1921 he went straight to Paris to study music.
0.5031023801911841		SimpleArgument(he,List([8, 10)))	Relation(went,List([11, 15)))	SimpleArgument(straight to Paris,List([16, 33)))	In 1921 he went straight to Paris to study music.
0.7638015492720432		SimpleArgument(modality,List([26, 34)))	Relation(stayed,List([42, 48)))	TemporalArgument(the rest of his life,List([58, 78)))	By then he was drawn into modality, which stayed with him the rest of his life.
0.7950722565701456		SimpleArgument(modality,List([26, 34)))	Relation(stayed with,List([42, 48), [49, 53)))	SimpleArgument(him,List([54, 57)))	By then he was drawn into modality, which stayed with him the rest of his life.
0.29886655727758943		SimpleArgument(he,List([8, 10)))	Relation(was drawn By,List([0, 14), [15, 20)))	TemporalArgument(then,List([3, 7)))	By then he was drawn into modality, which stayed with him the rest of his life.
0.45170382506656653		SimpleArgument(he,List([8, 10)))	Relation(was drawn into,List([11, 20), [21, 25)))	SimpleArgument(modality,List([26, 34)))	By then he was drawn into modality, which stayed with him the rest of his life.
0.5733539311623552		SimpleArgument(he,List([24, 26)))	Relation(notably playing,List([66, 81)))	SimpleArgument(an instrumental role in establishing the Conservatoire de musique et d'art dramatique du Québec in 1942,List([82, 185)))	At his return to Canada he became heavily involved with teaching, notably playing an instrumental role in establishing the Conservatoire de musique et d'art dramatique du Québec in 1942.
0.41051436014453063		SimpleArgument(he,List([24, 26)))	Relation(heavily involved with,List([34, 50), [51, 55)))	SimpleArgument(teaching,List([56, 64)))	At his return to Canada he became heavily involved with teaching, notably playing an instrumental role in establishing the Conservatoire de musique et d'art dramatique du Québec in 1942.
0.44126879054002194		SimpleArgument(he,List([24, 26)))	Relation(became heavily involved with teaching At,List([0, 2), [27, 55), [56, 64)))	TemporalArgument(his return to Canada,List([3, 23)))	At his return to Canada he became heavily involved with teaching, notably playing an instrumental role in establishing the Conservatoire de musique et d'art dramatique du Québec in 1942.
0.45170382506656653		SimpleArgument(he,List([24, 26)))	Relation(became,List([27, 33)))	SimpleArgument(heavily involved with teaching,List([34, 64)))	At his return to Canada he became heavily involved with teaching, notably playing an instrumental role in establishing the Conservatoire de musique et d'art dramatique du Québec in 1942.
0.9929999709129333		SimpleArgument(he,List([0, 0)))	Relation(was appointed In,List([0, 0)))	SimpleArgument(1943,List(null))	In 1943 he was appointed the first assistant director of the Montreal Conservatoire.
0.29886655727758943		SimpleArgument(he,List([8, 10)))	Relation(was appointed the first assistant director of the Montreal Conservatoire In,List([0, 14), [15, 69), [70, 83)))	TemporalArgument(1943,List([3, 7)))	In 1943 he was appointed the first assistant director of the Montreal Conservatoire.
0.4978219019954182		SimpleArgument(he,List([8, 10)))	Relation(was appointed,List([11, 24)))	SimpleArgument(the first assistant director of the Montreal Conservatoire,List([25, 83)))	In 1943 he was appointed the first assistant director of the Montreal Conservatoire.
0.4978219019954182		SimpleArgument(he,List([0, 2)))	Relation(was at,List([3, 6), [7, 9)))	SimpleArgument(the same time professor at the McGill Conservatory,List([10, 60)))	He was attached to the Montreal Catholic School Commission as co-ordinator of solfége in elementary schools, and he was at the same time professor at the McGill Conservatory.
0.1948871917044894		SimpleArgument(He,List([0, 2)))	Relation(was attached,List([3, 15)))		He was attached to the Montreal Catholic School Commission as co-ordinator of solfége in elementary schools, and he was at the same time professor at the McGill Conservatory.
0.1347275752486256		SimpleArgument(he,List([11, 13)))	Relation(mainly taught many of the country 's most promising composers After,List([0, 20), [21, 64), [65, 74)))	TemporalArgument(that,List([6, 10)))	After that he mainly taught many of the country's most promising composers.
0.45170382506656653		SimpleArgument(he,List([11, 13)))	Relation(mainly taught,List([14, 27)))	SimpleArgument(many of the country's most promising composers,List([28, 74)))	After that he mainly taught many of the country's most promising composers.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(died in,List([3, 7), [20, 22)))	TemporalArgument(1965,List([23, 27)))	He died in Montreal in 1965.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(died in,List([3, 7), [8, 10)))	SpatialArgument(Montreal,List([11, 19)))	He died in Montreal in 1965.
