0.5680679595514976		SimpleArgument(I,List({26}))	Relation('m,List([27, 29)))	SimpleArgument(a Software Engineer at Blackboard Inc,List([30, 67)))	Software Engineering Guru I'm a Software Engineer at Blackboard Inc.
0.21288447818594716	Context(I spent,List([0, 7)))	SimpleArgument(I,List({0}))	Relation(spent 16 years working on ParentLink before,List([2, 7), [8, 10), [11, 46), [47, 49)))	TemporalArgument(we were acquired by Blackboard,List([68, 98)))	I spent 16 years at Parlant Technology working on ParentLink before we were acquired by Blackboard.
0.332563478582812	Context(I spent,List([0, 7)))	SimpleArgument(I,List({0}))	Relation(spent 16 years working on,List([2, 7), [8, 10), [11, 16)))	SimpleArgument(ParentLink,List([50, 60)))	I spent 16 years at Parlant Technology working on ParentLink before we were acquired by Blackboard.
0.38878662287464777		SimpleArgument(I,List({0}))	Relation(spent 16 years,List([2, 7), [8, 16)))	SimpleArgument(working on ParentLink,List([39, 60)))	I spent 16 years at Parlant Technology working on ParentLink before we were acquired by Blackboard.
0.4328394458044063		SimpleArgument(I,List({0}))	Relation(spent 16 years at,List([2, 7), [8, 16), [17, 19)))	SpatialArgument(Parlant Technology,List([20, 38)))	I spent 16 years at Parlant Technology working on ParentLink before we were acquired by Blackboard.
0.45694023613443424		SimpleArgument(I,List({0}))	Relation(spent,List([2, 7)))	SimpleArgument(16 years,List([8, 16)))	I spent 16 years at Parlant Technology working on ParentLink before we were acquired by Blackboard.
0.4978219019954182		SimpleArgument(we,List([68, 70)))	Relation(were acquired by,List([71, 84), [85, 87)))	SimpleArgument(Blackboard,List([88, 98)))	I spent 16 years at Parlant Technology working on ParentLink before we were acquired by Blackboard.
0.9250606141558615		SimpleArgument(a small team,List([25, 37)))	Relation(working in,List([38, 45), [46, 48)))	SpatialArgument(all areas of ParentLink,List([49, 72)))	At Parlant I was part of a small team working in all areas of ParentLink.
0.5926659981335703		SimpleArgument(I,List({11}))	Relation(was part of a small team At,List([0, 2), [13, 32), [33, 37)))	SpatialArgument(Parlant,List([3, 10)))	At Parlant I was part of a small team working in all areas of ParentLink.
0.5222094630377523		SimpleArgument(I,List({11}))	Relation(was,List([13, 16)))	SimpleArgument(part of a small team,List([17, 37)))	At Parlant I was part of a small team working in all areas of ParentLink.
0.9294449109847381		SimpleArgument(Working in a small team in a start up environment,List([0, 49)))	Relation(provided with,List([50, 58), [62, 66)))	SimpleArgument(invaluable experience in all areas of product development,List([67, 124)))	Working in a small team in a start up environment provided me with invaluable experience in all areas of product development, from gathering requirements, choosing appropriate technology stacks, product designing, development, testing, and deployment.
0.5680679595514976		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(Continuous Integration practices,List([5, 37)))	I am well versed in Agile development methodologies and Continuous Integration practices.
