0.9542225327267282		SimpleArgument(Jan Kmenta (born January 3,List([0, 26)))	Relation(is,List([34, 36)))	SimpleArgument(a Czech-American economist,List([37, 63)))	Jan Kmenta (born January 3, 1928) is a Czech-American economist.
0.9445721975409912		SimpleArgument(Jan Kmenta,List([0, 10)))	Relation(born,List([12, 16)))	TemporalArgument(January 3,List([17, 26)))	Jan Kmenta (born January 3, 1928) is a Czech-American economist.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(Professor Emeritus of Statistics at the University of Michigan,List([6, 68)))	He is Professor Emeritus of Economics and Statistics at the University of Michigan, and Visiting Professor at CERGE-EI in Prague.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(Professor Emeritus of Economics,List([6, 37)))	He is Professor Emeritus of Economics and Statistics at the University of Michigan, and Visiting Professor at CERGE-EI in Prague.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(is Visiting Professor at,List([3, 14), [15, 24), [25, 27)))	SpatialArgument(CERGE - EI in Prague,List([28, 48)))	He is Professor Emeritus of Economics and Statistics at the University of Michigan, and Visiting Professor at CERGE-EI in Prague.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(is Visiting,List([3, 14)))	SimpleArgument(Professor,List([15, 24)))	He is Professor Emeritus of Economics and Statistics at the University of Michigan, and Visiting Professor at CERGE-EI in Prague.
0.3048426724432105		SimpleArgument(He,List([0, 2)))	Relation(resides in Ann Arbor,List([13, 20), [21, 33)))	TemporalArgument(currently,List([3, 12)))	He currently resides in Sydney, Australia, Prague, Czech Republic and Ann Arbor, Michigan with his wife, award-winning Australian filmmaker Barbara Chobocky.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(resides in,List([13, 20), [21, 23)))	SimpleArgument(Ann Arbor,List([24, 33)))	He currently resides in Sydney, Australia, Prague, Czech Republic and Ann Arbor, Michigan with his wife, award-winning Australian filmmaker Barbara Chobocky.
0.3048426724432105		SimpleArgument(He,List([0, 2)))	Relation(resides in Czech Republic,List([13, 20), [21, 38)))	TemporalArgument(currently,List([3, 12)))	He currently resides in Sydney, Australia, Prague, Czech Republic and Ann Arbor, Michigan with his wife, award-winning Australian filmmaker Barbara Chobocky.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(resides in,List([13, 20), [21, 23)))	SimpleArgument(Czech Republic,List([24, 38)))	He currently resides in Sydney, Australia, Prague, Czech Republic and Ann Arbor, Michigan with his wife, award-winning Australian filmmaker Barbara Chobocky.
0.3048426724432105		SimpleArgument(He,List([0, 2)))	Relation(resides in Prague,List([13, 20), [21, 30)))	TemporalArgument(currently,List([3, 12)))	He currently resides in Sydney, Australia, Prague, Czech Republic and Ann Arbor, Michigan with his wife, award-winning Australian filmmaker Barbara Chobocky.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(resides in,List([13, 20), [21, 23)))	SimpleArgument(Prague,List([24, 30)))	He currently resides in Sydney, Australia, Prague, Czech Republic and Ann Arbor, Michigan with his wife, award-winning Australian filmmaker Barbara Chobocky.
0.3048426724432105		SimpleArgument(He,List([0, 2)))	Relation(resides in Australia,List([13, 20), [21, 33)))	TemporalArgument(currently,List([3, 12)))	He currently resides in Sydney, Australia, Prague, Czech Republic and Ann Arbor, Michigan with his wife, award-winning Australian filmmaker Barbara Chobocky.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(resides in,List([13, 20), [21, 23)))	SimpleArgument(Australia,List([24, 33)))	He currently resides in Sydney, Australia, Prague, Czech Republic and Ann Arbor, Michigan with his wife, award-winning Australian filmmaker Barbara Chobocky.
0.3853208301752743		SimpleArgument(Barbara Chobocky,List([84, 100)))	Relation([is] filmmaker [from],List([74, 83)))	SimpleArgument(Australia,List([63, 73)))	He currently resides in Sydney, Australia, Prague, Czech Republic and Ann Arbor, Michigan with his wife, award-winning Australian filmmaker Barbara Chobocky.
0.3048426724432105		SimpleArgument(He,List([0, 2)))	Relation(resides in Sydney,List([13, 20), [21, 30)))	TemporalArgument(currently,List([3, 12)))	He currently resides in Sydney, Australia, Prague, Czech Republic and Ann Arbor, Michigan with his wife, award-winning Australian filmmaker Barbara Chobocky.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(resides in,List([13, 20), [21, 23)))	SimpleArgument(Sydney,List([24, 30)))	He currently resides in Sydney, Australia, Prague, Czech Republic and Ann Arbor, Michigan with his wife, award-winning Australian filmmaker Barbara Chobocky.
0.4076750772590903		SimpleArgument(Both of them,List([0, 12)))	Relation(commute because,List([13, 20), [49, 56)))	SimpleArgument(of their professional and family commitments in each,List([57, 109)))	Both of them commute between the three countries because of their professional and family commitments in each.
0.6601056213946704		SimpleArgument(Both of them,List([0, 12)))	Relation(commute between,List([13, 20), [21, 28)))	SpatialArgument(the three countries,List([29, 48)))	Both of them commute between the three countries because of their professional and family commitments in each.
