0.8281480256057071		SimpleArgument(the business,List([9, 21)))	Relation(was renamed to ' FG Productions In,List([0, 25), [26, 40), [41, 52)))	TemporalArgument(2012,List([3, 7)))	In 2012, the business was renamed to 'FG Productions'.
0.9180804252893389		SimpleArgument(the business,List([9, 21)))	Relation(was renamed to,List([22, 33), [34, 36)))	SimpleArgument('FG Productions,List([37, 52)))	In 2012, the business was renamed to 'FG Productions'.
0.858772576540734		SimpleArgument(the technology,List([38, 52)))	Relation(has grown from simple embedded adobe flash animation to,List([53, 62), [63, 105), [108, 110)))	SimpleArgument(chroma key,List([111, 121)))	On the coarse between 2006 and 2012, the technology has grown from simple embedded adobe flash animation, to 3D animation, visual effects and chroma key.
0.9318322056713951		SimpleArgument(the technology,List([38, 52)))	Relation(has grown from simple embedded adobe flash animation On,List([0, 56), [57, 95), [96, 105)))	TemporalArgument(the coarse between 2006 and 2012,List([3, 35)))	On the coarse between 2006 and 2012, the technology has grown from simple embedded adobe flash animation, to 3D animation, visual effects and chroma key.
0.9318322056713951		SimpleArgument(the technology,List([38, 52)))	Relation(has grown On,List([0, 56), [57, 62)))	TemporalArgument(the coarse between 2006 and 2012,List([3, 35)))	On the coarse between 2006 and 2012, the technology has grown from simple embedded adobe flash animation, to 3D animation, visual effects and chroma key.
0.858772576540734		SimpleArgument(the technology,List([38, 52)))	Relation(has grown to,List([53, 62), [108, 110)))	SimpleArgument(3 D animation,List([111, 124)))	On the coarse between 2006 and 2012, the technology has grown from simple embedded adobe flash animation, to 3D animation, visual effects and chroma key.
0.9030401971054747		SimpleArgument(the technology,List([38, 52)))	Relation(has grown from,List([53, 62), [63, 67)))	SimpleArgument(simple embedded adobe flash animation,List([68, 105)))	On the coarse between 2006 and 2012, the technology has grown from simple embedded adobe flash animation, to 3D animation, visual effects and chroma key.
0.9673087829511258		SimpleArgument(Frank Strayer,List([32, 45)))	Relation(is a '3 D Motion Graphics - Visual Effects Animation Specialist ' with an honorary degree in video freelance photography Founder,List([0, 7), [46, 154), [155, 166)))	TemporalArgument(of ' FG Productions,List([8, 27)))	Founder of 'FG Productions', Frank Strayer is a '3D Motion Graphics - Visual Effects Animation Specialist' with an honorary degree in video production and freelance photography.
0.9699974998635915		SimpleArgument(Frank Strayer,List([32, 45)))	Relation(is,List([46, 48)))	SimpleArgument(a '3 D Motion Graphics - Visual Effects Animation Specialist ' with an honorary degree in video freelance photography,List([49, 166)))	Founder of 'FG Productions', Frank Strayer is a '3D Motion Graphics - Visual Effects Animation Specialist' with an honorary degree in video production and freelance photography.
0.9673087829511258		SimpleArgument(Frank Strayer,List([32, 45)))	Relation(is a '3 D Motion Graphics - Visual Effects Animation Specialist ' with an honorary degree in video production Founder,List([0, 7), [46, 144), [145, 155)))	TemporalArgument(of ' FG Productions,List([8, 27)))	Founder of 'FG Productions', Frank Strayer is a '3D Motion Graphics - Visual Effects Animation Specialist' with an honorary degree in video production and freelance photography.
0.9699974998635915		SimpleArgument(Frank Strayer,List([32, 45)))	Relation(is,List([46, 48)))	SimpleArgument(a '3 D Motion Graphics - Visual Effects Animation Specialist ' with an honorary degree in video production,List([49, 155)))	Founder of 'FG Productions', Frank Strayer is a '3D Motion Graphics - Visual Effects Animation Specialist' with an honorary degree in video production and freelance photography.
0.9033822485845233		SimpleArgument(weddings,List([42, 50)))	Relation(dvd,List([51, 54)))	SimpleArgument(key ' green screen ' visual photographic,List([62, 102)))	Experienced in commercial design, film, weddings dvd authoring and chroma key 'green screen' visual effects both video and photographic.
0.9033822485845233		SimpleArgument(weddings,List([42, 50)))	Relation(dvd,List([51, 54)))	SimpleArgument(key ' green screen,List([62, 80)))	Experienced in commercial design, film, weddings dvd authoring and chroma key 'green screen' visual effects both video and photographic.
0.6566728579703915	Context(weddings dvd,List([42, 54)))	SimpleArgument(weddings,List([42, 50)))	Relation(dvd authoring authoring,List([51, 54), [55, 64)))		Experienced in commercial design, film, weddings dvd authoring and chroma key 'green screen' visual effects both video and photographic.
0.7527508853965084		SimpleArgument(weddings,List([42, 50)))	Relation(dvd,List([51, 54)))	SimpleArgument(authoring,List([55, 64)))	Experienced in commercial design, film, weddings dvd authoring and chroma key 'green screen' visual effects both video and photographic.
