0.18947780198484504	Context(I started,List([0, 9)))	SimpleArgument(I,List({0}))	Relation(started spending aboard,List([2, 9), [10, 18), [24, 30)))	TemporalArgument(when I was in high school,List([31, 56)))	I started spending time aboard when I was in high school.
0.263652756827333		SimpleArgument(I,List({0}))	Relation(started,List([2, 9)))	SimpleArgument(spending time aboard when I was in high school,List([10, 56)))	I started spending time aboard when I was in high school.
0.45170382506656653		SimpleArgument(I,List({36}))	Relation(was in,List([38, 41), [42, 44)))	SimpleArgument(high school,List([45, 56)))	I started spending time aboard when I was in high school.
0.7062367162615326	Context(I moved,List([122, 129)))	SimpleArgument(My first experience in this sense,List([0, 33)))	Relation(have been six months in,List([34, 43), [44, 54), [55, 57)))	SpatialArgument(England,List([58, 65)))	My first experience in this sense have been six months in England where I studied mixed media, photography and psychology.After my high school graduation in Math and Science achieved in Italy, I moved to New York to study fine art in the Art Student League.
0.6664338613734003	Context(I moved,List([122, 129)))	SimpleArgument(My first experience in this sense,List([0, 33)))	Relation(have been,List([34, 43)))	SimpleArgument(six months,List([44, 54)))	My first experience in this sense have been six months in England where I studied mixed media, photography and psychology.After my high school graduation in Math and Science achieved in Italy, I moved to New York to study fine art in the Art Student League.
0.7062367162615326	Context(I moved,List([119, 126)))	SimpleArgument(My first experience in this sense,List([0, 33)))	Relation(have been six months in,List([34, 43), [44, 54), [55, 57)))	SpatialArgument(England,List([58, 65)))	My first experience in this sense have been six months in England where I studied mixed media, photography and psychology.After my high school graduation in Math and Science achieved in Italy, I moved to New York to study fine art in the Art Student League.
0.6664338613734003	Context(I moved,List([119, 126)))	SimpleArgument(My first experience in this sense,List([0, 33)))	Relation(have been,List([34, 43)))	SimpleArgument(six months,List([44, 54)))	My first experience in this sense have been six months in England where I studied mixed media, photography and psychology.After my high school graduation in Math and Science achieved in Italy, I moved to New York to study fine art in the Art Student League.
0.7062367162615326	Context(I moved,List([110, 117)))	SimpleArgument(My first experience in this sense,List([0, 33)))	Relation(have been six months in,List([34, 43), [44, 54), [55, 57)))	SpatialArgument(England,List([58, 65)))	My first experience in this sense have been six months in England where I studied mixed media, photography and psychology.After my high school graduation in Math and Science achieved in Italy, I moved to New York to study fine art in the Art Student League.
0.6664338613734003	Context(I moved,List([110, 117)))	SimpleArgument(My first experience in this sense,List([0, 33)))	Relation(have been,List([34, 43)))	SimpleArgument(six months,List([44, 54)))	My first experience in this sense have been six months in England where I studied mixed media, photography and psychology.After my high school graduation in Math and Science achieved in Italy, I moved to New York to study fine art in the Art Student League.
0.4328394458044063		SimpleArgument(I,List({110}))	Relation(moved to New York to,List([112, 117), [118, 129), [130, 132)))	SimpleArgument(study fine art in the Art Student League,List([133, 173)))	My first experience in this sense have been six months in England where I studied mixed media, photography and psychology.After my high school graduation in Math and Science achieved in Italy, I moved to New York to study fine art in the Art Student League.
0.4328394458044063		SimpleArgument(I,List({110}))	Relation(moved to,List([112, 117), [118, 120)))	SimpleArgument(New York,List([121, 129)))	My first experience in this sense have been six months in England where I studied mixed media, photography and psychology.After my high school graduation in Math and Science achieved in Italy, I moved to New York to study fine art in the Art Student League.
