0.9314904193639496		SimpleArgument(a portrait photography business,List([25, 56)))	Relation(based in,List([57, 62), [63, 65)))	SpatialArgument(Binghamton New York,List([66, 85)))	Rene Diaz photography is a wedding and portrait photography business based in Binghamton New York.
0.9569065201547587		SimpleArgument(Rene Diaz photography,List([0, 21)))	Relation(is,List([22, 24)))	SimpleArgument(a portrait photography business based in Binghamton New York,List([25, 85)))	Rene Diaz photography is a wedding and portrait photography business based in Binghamton New York.
0.9314904193639496		SimpleArgument(a wedding photography business,List([25, 55)))	Relation(based in,List([56, 61), [62, 64)))	SpatialArgument(Binghamton New York,List([65, 84)))	Rene Diaz photography is a wedding and portrait photography business based in Binghamton New York.
0.9569065201547587		SimpleArgument(Rene Diaz photography,List([0, 21)))	Relation(is,List([22, 24)))	SimpleArgument(a wedding photography business based in Binghamton New York,List([25, 84)))	Rene Diaz photography is a wedding and portrait photography business based in Binghamton New York.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(several wedding packages to meet the groom 's needs,List([11, 62)))	We provide several wedding packages to meet the bride and groom's needs.
0.3010306049122031	Context(We provide,List([0, 10)))	SimpleArgument(We,List([0, 2)))	Relation(provide to meet,List([3, 10), [36, 43)))	SimpleArgument(the bride,List([44, 53)))	We provide several wedding packages to meet the bride and groom's needs.
0.39746064682094406		SimpleArgument(We,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(several wedding packages to meet the bride,List([11, 53)))	We provide several wedding packages to meet the bride and groom's needs.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(also provide,List([3, 15)))	SimpleArgument(other options to add onto the wedding packages,List([16, 62)))	We also provide Fusion-Video and other options to add onto the wedding packages.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(also provide,List([3, 15)))	SimpleArgument(Fusion - Video,List([16, 30)))	We also provide Fusion-Video and other options to add onto the wedding packages.
0.17962867056654844		SimpleArgument(that,List([53, 57)))	Relation(was,List([58, 61)))	SimpleArgument(the beginning of my love affair with film SLR cameras,List([62, 115)))	I picked up my first camera when I was 13 years old, that was the beginning of my love affair with film SLR cameras.
0.5222094630377523		SimpleArgument(I,List({33}))	Relation(was,List([35, 38)))	SimpleArgument(13 years old,List([39, 51)))	I picked up my first camera when I was 13 years old, that was the beginning of my love affair with film SLR cameras.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(picked up my first camera,List([2, 11), [12, 27)))	TemporalArgument(when I was 13 years old,List([28, 51)))	I picked up my first camera when I was 13 years old, that was the beginning of my love affair with film SLR cameras.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(picked up,List([2, 11)))	SimpleArgument(my first camera,List([12, 27)))	I picked up my first camera when I was 13 years old, that was the beginning of my love affair with film SLR cameras.
0.3010306049122031	Context(I was,List([42, 47)))	SimpleArgument(I,List({0}))	Relation(was living by,List([2, 12), [30, 32)))	TemporalArgument(age 17,List([33, 39)))	I was living in New York City at the time and by age 17, I was a Kodachrome junkie so-to-speak.
0.44251022175651566	Context(I was,List([42, 47)))	SimpleArgument(I,List({0}))	Relation(was living in,List([2, 12), [13, 15)))	SpatialArgument(New York City,List([16, 29)))	I was living in New York City at the time and by age 17, I was a Kodachrome junkie so-to-speak.
0.3010306049122031	Context(I was,List([44, 49)))	SimpleArgument(I,List({0}))	Relation(was living at,List([2, 12), [30, 32)))	TemporalArgument(the time,List([33, 41)))	I was living in New York City at the time and by age 17, I was a Kodachrome junkie so-to-speak.
0.44251022175651566	Context(I was,List([44, 49)))	SimpleArgument(I,List({0}))	Relation(was living in,List([2, 12), [13, 15)))	SpatialArgument(New York City,List([16, 29)))	I was living in New York City at the time and by age 17, I was a Kodachrome junkie so-to-speak.
0.5129232809985469		SimpleArgument(I,List({44}))	Relation(was,List([46, 49)))	SimpleArgument(a Kodachrome junkie,List([50, 69)))	I was living in New York City at the time and by age 17, I was a Kodachrome junkie so-to-speak.
0.49191393054741817	Context(I to say,List([0, 16)))	SimpleArgument(I,List({38}))	Relation(became a graduate of the School of Street Photography at,List([22, 24), [40, 81), [82, 93)))	TemporalArgument(an early age,List([25, 37)))	I'm proud to say that at an early age I became a graduate of the School of Street Photography, NYC of course.
0.44251022175651566	Context(I to say,List([0, 16)))	SimpleArgument(I,List({38}))	Relation(became,List([40, 46)))	SimpleArgument(a graduate of the School of Street Photography,List([47, 93)))	I'm proud to say that at an early age I became a graduate of the School of Street Photography, NYC of course.
0.36871543414128805		SimpleArgument(I,List({0}))	Relation(to say that,List([10, 16), [17, 21)))	SimpleArgument(at an early age I became a graduate of the School of Street Photography,List([22, 93)))	I'm proud to say that at an early age I became a graduate of the School of Street Photography, NYC of course.
0.29487653219956067		SimpleArgument(I,List({0}))	Relation('m,List([1, 3)))	SimpleArgument(proud to say that at an early age I became a graduate of the School of Street Photography,List([4, 93)))	I'm proud to say that at an early age I became a graduate of the School of Street Photography, NYC of course.
0.15707896631366275	Context(still photography was I loved I moved,List([14, 116)))	SimpleArgument(I,List({41}))	Relation(loved to capture to capture,List([43, 48), [49, 51)))		At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.18272787056513734	Context(still photography was I moved,List([14, 116)))	SimpleArgument(I,List({41}))	Relation(loved to,List([43, 48), [49, 51)))	SimpleArgument(capture,List([52, 59)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.9132213298440429	Context(I moved,List([109, 116)))	SimpleArgument(still photography,List([14, 31)))	Relation(was what I loved to capture At,List([0, 2), [32, 51), [52, 59)))	TemporalArgument(the time,List([3, 11)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.8377499325031997	Context(I moved,List([109, 116)))	SimpleArgument(still photography,List([14, 31)))	Relation(was,List([32, 35)))	SimpleArgument(what I loved to capture,List([36, 59)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.15707896631366275	Context(nature was I loved I moved,List([14, 105)))	SimpleArgument(I,List({30}))	Relation(loved to capture to capture,List([32, 37), [38, 40)))		At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.18272787056513734	Context(nature was I moved,List([14, 105)))	SimpleArgument(I,List({30}))	Relation(loved to,List([32, 37), [38, 40)))	SimpleArgument(capture,List([41, 48)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.9052513269887957	Context(I moved,List([98, 105)))	SimpleArgument(nature,List([14, 20)))	Relation(was what I loved to capture At,List([0, 2), [21, 40), [41, 48)))	TemporalArgument(the time,List([3, 11)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.8241829019457699	Context(I moved,List([98, 105)))	SimpleArgument(nature,List([14, 20)))	Relation(was,List([21, 24)))	SimpleArgument(what I loved to capture,List([25, 48)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.292827695956731		SimpleArgument(I,List({98}))	Relation(moved to,List([100, 105), [109, 111)))	TemporalArgument(wedding photography years later,List([112, 143)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.17853087458024205		SimpleArgument(I,List({98}))	Relation(moved to,List([100, 105), [109, 111)))	SimpleArgument(on,List([106, 108)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.3880890333449538	Context(I decided,List([51, 60)))	SimpleArgument(I,List({51}))	Relation(decided to move my love for photography to,List([53, 60), [61, 68), [69, 92), [93, 95)))	SimpleArgument(another level,List([96, 109)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.2560951955542683	Context(I decided,List([51, 60)))	SimpleArgument(I,List({51}))	Relation(decided to move,List([53, 60), [61, 68)))	SimpleArgument(my love for photography,List([69, 92)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.2560951955542683		SimpleArgument(I,List({51}))	Relation(decided to,List([53, 60), [61, 63)))	SimpleArgument(move my love for photography to another level,List([64, 109)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.2560951955542683	Context(I decided,List([51, 60)))	SimpleArgument(I,List({51}))	Relation(decided to start,List([53, 60), [61, 69)))	SimpleArgument(my business,List([70, 81)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.2560951955542683		SimpleArgument(I,List({51}))	Relation(decided to,List([53, 60), [61, 63)))	SimpleArgument(start my business,List([64, 81)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.22506131975927415		SimpleArgument(We,List([0, 2)))	Relation(moved to Chenango Bridge New York in,List([3, 8), [9, 36), [37, 39)))	TemporalArgument(1997,List([40, 44)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(moved to,List([3, 8), [9, 11)))	SimpleArgument(Chenango Bridge New York,List([12, 36)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.27151678565896326		SimpleArgument(I,List({0}))	Relation(are,List([2, 5)))	SimpleArgument(passionate about our love,List([11, 36)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.20279309649292268		SimpleArgument(I,List({0}))	Relation(to capture,List([49, 59)))	SimpleArgument(those memorable moments that make every wedding so unique,List([60, 117)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.27151678565896326		SimpleArgument(I,List({0}))	Relation(are,List([2, 5)))	SimpleArgument(passionate about our photography work,List([11, 48)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.4437344651280961		SimpleArgument(My wife,List([0, 7)))	Relation(are,List([8, 11)))	SimpleArgument(passionate about our love,List([17, 42)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.896604430840561		SimpleArgument(those memorable moments,List([66, 89)))	Relation(make,List([95, 99)))	SimpleArgument(every wedding so unique,List([100, 123)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.35251400184099996		SimpleArgument(My wife,List([0, 7)))	Relation(to capture,List([55, 65)))	SimpleArgument(those memorable moments that make every wedding so unique,List([66, 123)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.4437344651280961		SimpleArgument(My wife,List([0, 7)))	Relation(are,List([8, 11)))	SimpleArgument(passionate about our photography work,List([17, 54)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.17962867056654844		SimpleArgument(that,List([53, 57)))	Relation(was,List([58, 61)))	SimpleArgument(the beginning of my love affair with film SLR cameras,List([62, 115)))	I picked up my first camera when I was 13 years old, that was the beginning of my love affair with film SLR cameras.
0.5222094630377523		SimpleArgument(I,List({33}))	Relation(was,List([35, 38)))	SimpleArgument(13 years old,List([39, 51)))	I picked up my first camera when I was 13 years old, that was the beginning of my love affair with film SLR cameras.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(picked up my first camera,List([2, 11), [12, 27)))	TemporalArgument(when I was 13 years old,List([28, 51)))	I picked up my first camera when I was 13 years old, that was the beginning of my love affair with film SLR cameras.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(picked up,List([2, 11)))	SimpleArgument(my first camera,List([12, 27)))	I picked up my first camera when I was 13 years old, that was the beginning of my love affair with film SLR cameras.
0.3010306049122031	Context(I was,List([42, 47)))	SimpleArgument(I,List({0}))	Relation(was living by,List([2, 12), [30, 32)))	TemporalArgument(age 17,List([33, 39)))	I was living in New York City at the time and by age 17, I was a Kodachrome junkie so-to-speak.
0.44251022175651566	Context(I was,List([42, 47)))	SimpleArgument(I,List({0}))	Relation(was living in,List([2, 12), [13, 15)))	SpatialArgument(New York City,List([16, 29)))	I was living in New York City at the time and by age 17, I was a Kodachrome junkie so-to-speak.
0.3010306049122031	Context(I was,List([44, 49)))	SimpleArgument(I,List({0}))	Relation(was living at,List([2, 12), [30, 32)))	TemporalArgument(the time,List([33, 41)))	I was living in New York City at the time and by age 17, I was a Kodachrome junkie so-to-speak.
0.44251022175651566	Context(I was,List([44, 49)))	SimpleArgument(I,List({0}))	Relation(was living in,List([2, 12), [13, 15)))	SpatialArgument(New York City,List([16, 29)))	I was living in New York City at the time and by age 17, I was a Kodachrome junkie so-to-speak.
0.5129232809985469		SimpleArgument(I,List({44}))	Relation(was,List([46, 49)))	SimpleArgument(a Kodachrome junkie,List([50, 69)))	I was living in New York City at the time and by age 17, I was a Kodachrome junkie so-to-speak.
0.49191393054741817	Context(I to say,List([0, 16)))	SimpleArgument(I,List({38}))	Relation(became a graduate of the School of Street Photography at,List([22, 24), [40, 81), [82, 93)))	TemporalArgument(an early age,List([25, 37)))	I'm proud to say that at an early age I became a graduate of the School of Street Photography, NYC of course.
0.44251022175651566	Context(I to say,List([0, 16)))	SimpleArgument(I,List({38}))	Relation(became,List([40, 46)))	SimpleArgument(a graduate of the School of Street Photography,List([47, 93)))	I'm proud to say that at an early age I became a graduate of the School of Street Photography, NYC of course.
0.36871543414128805		SimpleArgument(I,List({0}))	Relation(to say that,List([10, 16), [17, 21)))	SimpleArgument(at an early age I became a graduate of the School of Street Photography,List([22, 93)))	I'm proud to say that at an early age I became a graduate of the School of Street Photography, NYC of course.
0.29487653219956067		SimpleArgument(I,List({0}))	Relation('m,List([1, 3)))	SimpleArgument(proud to say that at an early age I became a graduate of the School of Street Photography,List([4, 93)))	I'm proud to say that at an early age I became a graduate of the School of Street Photography, NYC of course.
0.15707896631366275	Context(still photography was I loved I moved,List([14, 116)))	SimpleArgument(I,List({41}))	Relation(loved to capture to capture,List([43, 48), [49, 51)))		At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.18272787056513734	Context(still photography was I moved,List([14, 116)))	SimpleArgument(I,List({41}))	Relation(loved to,List([43, 48), [49, 51)))	SimpleArgument(capture,List([52, 59)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.9132213298440429	Context(I moved,List([109, 116)))	SimpleArgument(still photography,List([14, 31)))	Relation(was what I loved to capture At,List([0, 2), [32, 51), [52, 59)))	TemporalArgument(the time,List([3, 11)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.8377499325031997	Context(I moved,List([109, 116)))	SimpleArgument(still photography,List([14, 31)))	Relation(was,List([32, 35)))	SimpleArgument(what I loved to capture,List([36, 59)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.15707896631366275	Context(nature was I loved I moved,List([14, 105)))	SimpleArgument(I,List({30}))	Relation(loved to capture to capture,List([32, 37), [38, 40)))		At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.18272787056513734	Context(nature was I moved,List([14, 105)))	SimpleArgument(I,List({30}))	Relation(loved to,List([32, 37), [38, 40)))	SimpleArgument(capture,List([41, 48)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.9052513269887957	Context(I moved,List([98, 105)))	SimpleArgument(nature,List([14, 20)))	Relation(was what I loved to capture At,List([0, 2), [21, 40), [41, 48)))	TemporalArgument(the time,List([3, 11)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.8241829019457699	Context(I moved,List([98, 105)))	SimpleArgument(nature,List([14, 20)))	Relation(was,List([21, 24)))	SimpleArgument(what I loved to capture,List([25, 48)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.292827695956731		SimpleArgument(I,List({98}))	Relation(moved to,List([100, 105), [109, 111)))	TemporalArgument(wedding photography years later,List([112, 143)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.17853087458024205		SimpleArgument(I,List({98}))	Relation(moved to,List([100, 105), [109, 111)))	SimpleArgument(on,List([106, 108)))	At the time, nature and still photography was what I loved to capture, however, coming from a photographers family, I moved on to wedding photography years later.
0.3880890333449538	Context(I decided,List([51, 60)))	SimpleArgument(I,List({51}))	Relation(decided to move my love for photography to,List([53, 60), [61, 68), [69, 92), [93, 95)))	SimpleArgument(another level,List([96, 109)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.2560951955542683	Context(I decided,List([51, 60)))	SimpleArgument(I,List({51}))	Relation(decided to move,List([53, 60), [61, 68)))	SimpleArgument(my love for photography,List([69, 92)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
