0.8847999636040884		SimpleArgument(Harry Halloran,List([0, 14)))	Relation(is CEO of,List([15, 24)))	SimpleArgument(American Refining Group,List([25, 48)))	Harry Halloran is Chairman and CEO of American Refining Group, ARG Resources, and American Refining and Biochemical, Inc. (ARB).
0.9527410621066101		SimpleArgument(Harry Halloran,List([0, 14)))	Relation(is,List([15, 17)))	SimpleArgument(CEO of American Refining Group,List([18, 48)))	Harry Halloran is Chairman and CEO of American Refining Group, ARG Resources, and American Refining and Biochemical, Inc. (ARB).
0.9699974998635915		SimpleArgument(Harry Halloran,List([0, 14)))	Relation(is,List([15, 17)))	SimpleArgument(Chairman of American Refining Group , Biochemical , Inc . ( ARB,List([18, 81)))	Harry Halloran is Chairman and CEO of American Refining Group, ARG Resources, and American Refining and Biochemical, Inc. (ARB).
0.8847999636040884		SimpleArgument(Harry Halloran,List([0, 14)))	Relation(is Chairman of,List([15, 29)))	SimpleArgument(American Refining Group,List([30, 53)))	Harry Halloran is Chairman and CEO of American Refining Group, ARG Resources, and American Refining and Biochemical, Inc. (ARB).
0.9527410621066101		SimpleArgument(Harry Halloran,List([0, 14)))	Relation(is,List([15, 17)))	SimpleArgument(Chairman of American Refining Group,List([18, 53)))	Harry Halloran is Chairman and CEO of American Refining Group, ARG Resources, and American Refining and Biochemical, Inc. (ARB).
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(controls,List([3, 11)))	SimpleArgument(a number of businesses in the operations markets , including Energy Frontier Pro Services,List([12, 101)))	He has also founded and controls a number of businesses in the wind development and operations, wind technology and wind services markets, including Energy Unlimited, Inc., Frontier Wind, Precision Wind, and Frontier Pro Services.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(controls,List([3, 11)))	SimpleArgument(a number of businesses in the wind development markets , including Energy Frontier Pro Services,List([12, 107)))	He has also founded and controls a number of businesses in the wind development and operations, wind technology and wind services markets, including Energy Unlimited, Inc., Frontier Wind, Precision Wind, and Frontier Pro Services.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(controls,List([3, 11)))	SimpleArgument(a number of businesses in the operations markets , including Energy Precision Wind,List([12, 94)))	He has also founded and controls a number of businesses in the wind development and operations, wind technology and wind services markets, including Energy Unlimited, Inc., Frontier Wind, Precision Wind, and Frontier Pro Services.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(controls,List([3, 11)))	SimpleArgument(a number of businesses in the wind development markets , including Energy Precision Wind,List([12, 100)))	He has also founded and controls a number of businesses in the wind development and operations, wind technology and wind services markets, including Energy Unlimited, Inc., Frontier Wind, Precision Wind, and Frontier Pro Services.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(controls,List([3, 11)))	SimpleArgument(a number of businesses in the operations markets , including Energy Frontier Wind,List([12, 93)))	He has also founded and controls a number of businesses in the wind development and operations, wind technology and wind services markets, including Energy Unlimited, Inc., Frontier Wind, Precision Wind, and Frontier Pro Services.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(controls,List([3, 11)))	SimpleArgument(a number of businesses in the wind development markets , including Energy Frontier Wind,List([12, 99)))	He has also founded and controls a number of businesses in the wind development and operations, wind technology and wind services markets, including Energy Unlimited, Inc., Frontier Wind, Precision Wind, and Frontier Pro Services.
