0.9751389598371145		SimpleArgument(Bishop's Waltham Palace,List([0, 23)))	Relation(is,List([24, 26)))	SimpleArgument(a moated Bishop's Palace ruin in Bishop's Waltham,List([27, 76)))	Bishop's Waltham Palace is a moated Bishop's Palace ruin in Bishop's Waltham, Hampshire, England.
0.5222094630377523		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a scheduled ancient monument,List([6, 34)))	It is a scheduled ancient monument.
0.9929999709129333		SimpleArgument(It,List([0, 0)))	Relation(was built in,List([0, 0)))	SimpleArgument(1135,List(null))	It was built by Henry de Blois in 1135.
0.15939332484157967		SimpleArgument(It,List([0, 2)))	Relation(was built in,List([3, 12), [31, 33)))	TemporalArgument(1135,List([34, 38)))	It was built by Henry de Blois in 1135.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(was built by,List([3, 12), [13, 15)))	SimpleArgument(Henry de Blois,List([16, 30)))	It was built by Henry de Blois in 1135.
0.31989095729150846		SimpleArgument(they,List([43, 47)))	Relation(travelled,List([48, 57)))		Later used by the Bishops of Winchester as they travelled, along with Farnham Castle and Wolvesey Castle.
0.8904851936824772		SimpleArgument(The palace,List([0, 10)))	Relation(was used,List([11, 19)))	TemporalArgument(just prior to her marriage to Philip II at Winchester Cathedral,List([34, 97)))	The palace was visited by Henry V of England, and used by Mary Tudor just prior to her marriage to Philip II at Winchester Cathedral.
0.9180804252893389		SimpleArgument(The palace,List([0, 10)))	Relation(was used by,List([11, 19), [20, 22)))	SimpleArgument(Mary Tudor,List([23, 33)))	The palace was visited by Henry V of England, and used by Mary Tudor just prior to her marriage to Philip II at Winchester Cathedral.
0.9180804252893389		SimpleArgument(The palace,List([0, 10)))	Relation(was visited by,List([11, 22), [23, 25)))	SimpleArgument(Henry V of England,List([26, 44)))	The palace was visited by Henry V of England, and used by Mary Tudor just prior to her marriage to Philip II at Winchester Cathedral.
0.9929999709129333		SimpleArgument(The palace,List([0, 0)))	Relation(was destroyed in,List([0, 0)))	SimpleArgument(1644 after,List(null))	The palace was destroyed in 1644 after the English Civil War.
0.8797652531099371		SimpleArgument(The palace,List([0, 10)))	Relation(was destroyed after,List([11, 24), [33, 38)))	TemporalArgument(the English Civil War,List([39, 60)))	The palace was destroyed in 1644 after the English Civil War.
0.7665350501724939		SimpleArgument(The palace,List([0, 10)))	Relation(was destroyed in,List([11, 24), [25, 27)))	TemporalArgument(1644,List([28, 32)))	The palace was destroyed in 1644 after the English Civil War.
0.9397001286877047		SimpleArgument(Bishop 's Waltham Festival,List([61, 87)))	Relation(starts on,List([93, 99), [100, 102)))	TemporalArgument(8 Bishop 's Waltham Carnival,List([103, 131)))	The palace is often used for local events like the events of Bishop's Waltham Festival that starts on 8 July or Bishop's Waltham Carnival.
0.9397001286877047		SimpleArgument(Bishop 's Waltham Festival,List([61, 87)))	Relation(starts on,List([93, 99), [100, 102)))	TemporalArgument(8 July,List([103, 109)))	The palace is often used for local events like the events of Bishop's Waltham Festival that starts on 8 July or Bishop's Waltham Carnival.
0.7614217007482424		SimpleArgument(The palace,List([0, 10)))	Relation(is used for local events like the events of Bishop 's Waltham Festival,List([11, 13), [20, 24), [25, 87)))	TemporalArgument(often,List([14, 19)))	The palace is often used for local events like the events of Bishop's Waltham Festival that starts on 8 July or Bishop's Waltham Carnival.
0.9214722411807292		SimpleArgument(The palace,List([0, 10)))	Relation(is used for,List([11, 13), [20, 24), [25, 28)))	SimpleArgument(local events like the events of Bishop 's Waltham Festival,List([29, 87)))	The palace is often used for local events like the events of Bishop's Waltham Festival that starts on 8 July or Bishop's Waltham Carnival.
