0.9641165612900223		SimpleArgument(Lockton Companies,List([17, 34)))	Relation(is,List([35, 37)))	SimpleArgument(one of the largest insurance brokerage firms in the country,List([38, 97)))	Founded in 1966, Lockton Companies is one of the largest insurance brokerage firms in the country.
0.9069916548297163		SimpleArgument(The company,List([0, 11)))	Relation(offers solutions in,List([12, 18), [19, 28), [40, 42)))	SpatialArgument(a wide range of industries , including professional employer organizations,List([43, 117)))	The company offers solutions to clients in a wide range of industries, including construction, transportation, food service, telecommunications, energy, health care and professional employer organizations.
0.858772576540734		SimpleArgument(The company,List([0, 11)))	Relation(offers solutions in,List([12, 18), [19, 28), [40, 42)))	SpatialArgument(a wide range of industries , including health care,List([43, 93)))	The company offers solutions to clients in a wide range of industries, including construction, transportation, food service, telecommunications, energy, health care and professional employer organizations.
0.858772576540734		SimpleArgument(The company,List([0, 11)))	Relation(offers solutions in,List([12, 18), [19, 28), [40, 42)))	SpatialArgument(a wide range of industries , including energy,List([43, 88)))	The company offers solutions to clients in a wide range of industries, including construction, transportation, food service, telecommunications, energy, health care and professional employer organizations.
0.858772576540734		SimpleArgument(The company,List([0, 11)))	Relation(offers solutions in,List([12, 18), [19, 28), [40, 42)))	SpatialArgument(a wide range of industries , including telecommunications,List([43, 100)))	The company offers solutions to clients in a wide range of industries, including construction, transportation, food service, telecommunications, energy, health care and professional employer organizations.
0.858772576540734		SimpleArgument(The company,List([0, 11)))	Relation(offers solutions in,List([12, 18), [19, 28), [40, 42)))	SpatialArgument(a wide range of industries , including food service,List([43, 94)))	The company offers solutions to clients in a wide range of industries, including construction, transportation, food service, telecommunications, energy, health care and professional employer organizations.
0.858772576540734		SimpleArgument(The company,List([0, 11)))	Relation(offers solutions in,List([12, 18), [19, 28), [40, 42)))	SpatialArgument(a wide range of industries , including transportation,List([43, 96)))	The company offers solutions to clients in a wide range of industries, including construction, transportation, food service, telecommunications, energy, health care and professional employer organizations.
0.858772576540734		SimpleArgument(The company,List([0, 11)))	Relation(offers solutions in,List([12, 18), [19, 28), [40, 42)))	SpatialArgument(a wide range of industries , including construction,List([43, 94)))	The company offers solutions to clients in a wide range of industries, including construction, transportation, food service, telecommunications, energy, health care and professional employer organizations.
0.9030401971054747		SimpleArgument(The company,List([0, 11)))	Relation(offers solutions to,List([12, 18), [19, 28), [29, 31)))	SimpleArgument(clients,List([32, 39)))	The company offers solutions to clients in a wide range of industries, including construction, transportation, food service, telecommunications, energy, health care and professional employer organizations.
0.9030401971054747		SimpleArgument(The company,List([0, 11)))	Relation(offers,List([12, 18)))	SimpleArgument(solutions,List([19, 28)))	The company offers solutions to clients in a wide range of industries, including construction, transportation, food service, telecommunications, energy, health care and professional employer organizations.
0.5691839633287576		SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several risk management resources , including acquisitions support , financial risk management , loss control services,List([12, 130)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.39746064682094406	Context(support , financial risk management , loss control services claims,List([71, 139)))	SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several risk management resources , including acquisitions,List([12, 70)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.5691839633287576		SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several risk management resources , including acquisitions support , financial risk management , loss control services , claims cost containment , claims management , surety bonding,List([12, 193)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.5691839633287576		SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several risk management resources , including acquisitions support , financial risk management , loss control services , claims cost containment , claims management , global risk solutions,List([12, 200)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.5691839633287576		SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several risk management resources , including mergers support , financial risk management , loss control services,List([12, 125)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.5691839633287576		SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several risk management resources , including mergers support , financial risk management , loss control services , claims cost containment , claims management , surety bonding,List([12, 188)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.5691839633287576		SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several risk management resources , including mergers support , financial risk management , loss control services , claims cost containment , claims management , global risk solutions,List([12, 195)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.5691839633287576		SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several insurance management resources , including acquisitions support , financial risk management , loss control services,List([12, 135)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.39746064682094406	Context(support , financial risk management , loss control services claims,List([76, 144)))	SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several insurance management resources , including acquisitions,List([12, 75)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.9253651145134649		SimpleArgument(support , financial risk management , loss control services,List([76, 135)))	Relation(claims,List([138, 144)))	SimpleArgument(cost containment,List([145, 161)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.5691839633287576		SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several insurance management resources , including acquisitions support , financial risk management , loss control services , claims cost containment , claims management , surety bonding,List([12, 198)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.5691839633287576		SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several insurance management resources , including acquisitions support , financial risk management , loss control services , claims cost containment , claims management , global risk solutions,List([12, 205)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.5691839633287576		SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several insurance management resources , including mergers support , financial risk management , loss control services,List([12, 130)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.5691839633287576		SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several insurance management resources , including mergers support , financial risk management , loss control services , claims cost containment , claims management , surety bonding,List([12, 193)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.5691839633287576		SimpleArgument(It,List([0, 2)))	Relation(provides,List([3, 11)))	SimpleArgument(several insurance management resources , including mergers support , financial risk management , loss control services , claims cost containment , claims management , global risk solutions,List([12, 200)))	It provides several insurance and risk management resources, including mergers and acquisitions support, financial risk management, loss control services, claims cost containment, claims management, global risk solutions, surety bonding, group programs and extended warranties.
0.5680679595514976		SimpleArgument(it,List([0, 2)))	Relation(has,List([3, 6)))	SimpleArgument(additional offices throughout the United States,List([7, 54)))	Lockton Companies is located in St. Louis, and it has additional offices throughout the United States.
0.9382554258342916		SimpleArgument(Lockton Companies,List([0, 17)))	Relation(is located in,List([18, 28), [29, 31)))	SpatialArgument(St. Louis,List([32, 41)))	Lockton Companies is located in St. Louis, and it has additional offices throughout the United States.
