0.9370385666646587	Context(Captain Cupcake was,List([0, 19)))	SimpleArgument(the second mascot for Hostess brand,List([20, 55)))	Relation(baked,List([56, 61)))	SimpleArgument(goods,List([62, 67)))	Captain Cupcake was the second mascot for Hostess brand baked goods along with Twinkie the Kid.
0.962807437459249		SimpleArgument(Captain Cupcake,List([0, 15)))	Relation(was,List([16, 19)))	SimpleArgument(the second mascot for Hostess brand baked goods along with Twinkie,List([20, 86)))	Captain Cupcake was the second mascot for Hostess brand baked goods along with Twinkie the Kid.
0.896604430840561		SimpleArgument(an anthropomorphic cupcake,List([20, 46)))	Relation(gave,List([53, 57)))	SimpleArgument(the appearance of being the captain of a ship,List([58, 103)))	He was portrayed as an anthropomorphic cupcake which wore a navy blue hat and gave the appearance of being the captain of a ship.
0.896604430840561		SimpleArgument(an anthropomorphic cupcake,List([20, 46)))	Relation(wore,List([53, 57)))	SimpleArgument(a navy blue hat,List([58, 73)))	He was portrayed as an anthropomorphic cupcake which wore a navy blue hat and gave the appearance of being the captain of a ship.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(was portrayed as,List([3, 16), [17, 19)))	SimpleArgument(an anthropomorphic cupcake,List([20, 46)))	He was portrayed as an anthropomorphic cupcake which wore a navy blue hat and gave the appearance of being the captain of a ship.
0.547338059826203		SimpleArgument(he,List([33, 35)))	Relation(was included on packages of Hostess Cupcakes At,List([0, 39), [40, 71), [72, 80)))	SpatialArgument(the character 's introduction,List([3, 32)))	At the character's introduction he was included on boxes and packages of Hostess Cupcakes, but is very rarely seen on the cupcake containers anymore.
0.4978219019954182		SimpleArgument(he,List([33, 35)))	Relation(was included on,List([36, 48), [49, 51)))	SimpleArgument(packages of Hostess Cupcakes,List([52, 80)))	At the character's introduction he was included on boxes and packages of Hostess Cupcakes, but is very rarely seen on the cupcake containers anymore.
0.547338059826203		SimpleArgument(he,List([33, 35)))	Relation(was included on boxes of Hostess Cupcakes At,List([0, 39), [40, 68), [69, 77)))	SpatialArgument(the character 's introduction,List([3, 32)))	At the character's introduction he was included on boxes and packages of Hostess Cupcakes, but is very rarely seen on the cupcake containers anymore.
0.4978219019954182		SimpleArgument(he,List([33, 35)))	Relation(was included on,List([36, 48), [49, 51)))	SimpleArgument(boxes of Hostess Cupcakes,List([52, 77)))	At the character's introduction he was included on boxes and packages of Hostess Cupcakes, but is very rarely seen on the cupcake containers anymore.
0.22015391053105568		SimpleArgument(he,List([33, 35)))	Relation(is seen,List([36, 38), [51, 55)))	TemporalArgument(very rarely,List([39, 50)))	At the character's introduction he was included on boxes and packages of Hostess Cupcakes, but is very rarely seen on the cupcake containers anymore.
0.547338059826203		SimpleArgument(he,List([33, 35)))	Relation(is seen At,List([0, 2), [36, 38), [51, 55)))	SpatialArgument(the character 's introduction,List([3, 32)))	At the character's introduction he was included on boxes and packages of Hostess Cupcakes, but is very rarely seen on the cupcake containers anymore.
0.13647411988663644		SimpleArgument(he,List([33, 35)))	Relation(is seen,List([36, 38), [51, 55)))	TemporalArgument(anymore,List([82, 89)))	At the character's introduction he was included on boxes and packages of Hostess Cupcakes, but is very rarely seen on the cupcake containers anymore.
0.3497525988439521		SimpleArgument(he,List([33, 35)))	Relation(is seen on,List([36, 38), [51, 55), [56, 58)))	SpatialArgument(the cupcake containers,List([59, 81)))	At the character's introduction he was included on boxes and packages of Hostess Cupcakes, but is very rarely seen on the cupcake containers anymore.
0.9030401971054747		SimpleArgument(two children,List([72, 84)))	Relation(were trapped in,List([85, 97), [98, 100)))	SimpleArgument(a villain 's dungeon,List([101, 121)))	Captain Cupcake appeared in one animated TV commercial for Hostess when he and two children were trapped in a villain's dungeon, but were rescued by Twinkie the Kid.
0.9382554258342916		SimpleArgument(Captain Cupcake,List([0, 15)))	Relation(appeared in,List([16, 24), [25, 27)))	SpatialArgument(one animated TV commercial for Hostess,List([28, 66)))	Captain Cupcake appeared in one animated TV commercial for Hostess when he and two children were trapped in a villain's dungeon, but were rescued by Twinkie the Kid.
0.45170382506656653		SimpleArgument(he,List([72, 74)))	Relation(were trapped in,List([75, 87), [88, 90)))	SimpleArgument(a villain 's dungeon,List([91, 111)))	Captain Cupcake appeared in one animated TV commercial for Hostess when he and two children were trapped in a villain's dungeon, but were rescued by Twinkie the Kid.
0.8510408399606074		SimpleArgument(Captain Cupcake,List([0, 15)))	Relation(appeared,List([16, 24)))	TemporalArgument(when he were trapped in a villain 's dungeon,List([67, 111)))	Captain Cupcake appeared in one animated TV commercial for Hostess when he and two children were trapped in a villain's dungeon, but were rescued by Twinkie the Kid.
0.9266232318014763		SimpleArgument(Captain Cupcake,List([0, 15)))	Relation(appeared in,List([16, 24), [25, 27)))	SpatialArgument(one animated TV commercial,List([28, 54)))	Captain Cupcake appeared in one animated TV commercial for Hostess when he and two children were trapped in a villain's dungeon, but were rescued by Twinkie the Kid.
0.9324144673478683		SimpleArgument(Captain,List([0, 7)))	Relation(were rescued by,List([8, 20), [21, 23)))	SimpleArgument(Twinkie,List([24, 31)))	Captain Cupcake appeared in one animated TV commercial for Hostess when he and two children were trapped in a villain's dungeon, but were rescued by Twinkie the Kid.
