0.9340463819568752		SimpleArgument(Vittorio Rieti,List([0, 14)))	Relation(was,List([65, 68)))	SimpleArgument(a Jewish-Italian composer,List([69, 94)))	Vittorio Rieti ([ˈrjeːti]; January 28, 1898 – February 19, 1994) was a Jewish-Italian composer.
0.9064683704715875		SimpleArgument(Rieti,List([27, 32)))	Relation(to study,List([48, 56)))	SimpleArgument(economics,List([57, 66)))	Born in Alexandria, Egypt, Rieti moved to Milan to study economics.
0.9197759696552441		SimpleArgument(Rieti,List([27, 32)))	Relation(moved to Milan to,List([33, 38), [39, 47), [48, 50)))	SimpleArgument(study economics,List([51, 66)))	Born in Alexandria, Egypt, Rieti moved to Milan to study economics.
0.9324144673478683		SimpleArgument(Rieti,List([27, 32)))	Relation(moved to,List([33, 38), [39, 41)))	SimpleArgument(Milan,List([42, 47)))	Born in Alexandria, Egypt, Rieti moved to Milan to study economics.
0.3536345617184334		SimpleArgument(He,List([0, 2)))	Relation(studied under,List([16, 23), [32, 37)))	SpatialArgument(Casella,List([38, 45)))	He subsequently studied in Rome under Respighi and Casella, and lived there until 1940.
0.3048426724432105		SimpleArgument(He,List([0, 2)))	Relation(studied,List([16, 23)))	TemporalArgument(subsequently,List([3, 15)))	He subsequently studied in Rome under Respighi and Casella, and lived there until 1940.
0.3536345617184334		SimpleArgument(He,List([0, 2)))	Relation(studied under,List([16, 23), [32, 37)))	SpatialArgument(Respighi,List([38, 46)))	He subsequently studied in Rome under Respighi and Casella, and lived there until 1940.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(studied in,List([16, 23), [24, 26)))	SpatialArgument(Rome,List([27, 31)))	He subsequently studied in Rome under Respighi and Casella, and lived there until 1940.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(lived until,List([3, 8), [15, 20)))	TemporalArgument(1940,List([21, 25)))	He subsequently studied in Rome under Respighi and Casella, and lived there until 1940.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(lived,List([3, 8)))	SpatialArgument(there,List([9, 14)))	He subsequently studied in Rome under Respighi and Casella, and lived there until 1940.
0.36123317708488234		SimpleArgument(he,List([10, 12)))	Relation(composed music for George Balanchine 's ballet for Diaghilev 's Ballets Russes In,List([0, 2), [13, 84), [85, 91)))	TemporalArgument(1925,List([3, 7)))	In 1925, he temporarily moved to Paris and composed music for George Balanchine's ballet for Diaghilev's Ballets Russes, Barabau.
0.6138676038426771		SimpleArgument(he,List([10, 12)))	Relation(composed,List([13, 21)))	SimpleArgument(music for George Balanchine 's ballet for Diaghilev 's Ballets Russes,List([22, 91)))	In 1925, he temporarily moved to Paris and composed music for George Balanchine's ballet for Diaghilev's Ballets Russes, Barabau.
0.3048426724432105		SimpleArgument(he,List([10, 12)))	Relation(moved to Paris,List([25, 30), [31, 39)))	TemporalArgument(temporarily,List([13, 24)))	In 1925, he temporarily moved to Paris and composed music for George Balanchine's ballet for Diaghilev's Ballets Russes, Barabau.
0.29886655727758943		SimpleArgument(he,List([10, 12)))	Relation(moved to Paris In,List([0, 2), [25, 33), [34, 39)))	TemporalArgument(1925,List([3, 7)))	In 1925, he temporarily moved to Paris and composed music for George Balanchine's ballet for Diaghilev's Ballets Russes, Barabau.
0.45592395356914683		SimpleArgument(he,List([10, 12)))	Relation(moved to,List([25, 30), [31, 33)))	SimpleArgument(Paris,List([34, 39)))	In 1925, he temporarily moved to Paris and composed music for George Balanchine's ballet for Diaghilev's Ballets Russes, Barabau.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(met his wife in,List([3, 6), [7, 15), [16, 18)))	SpatialArgument(Alexandria,List([19, 29)))	He met his wife in Alexandria, Egypt.
0.3723576963542719		SimpleArgument(He,List([0, 2)))	Relation(met,List([3, 6)))	SimpleArgument(his wife,List([7, 15)))	He met his wife in Alexandria, Egypt.
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(was a cousin of,List([3, 18)))	SimpleArgument(actor Vittorio Rietti,List([19, 40)))	He was a cousin of actor Vittorio Rietti.[citation
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a cousin of actor Vittorio Rietti,List([7, 40)))	He was a cousin of actor Vittorio Rietti.[citation
0.5733539311623552		SimpleArgument(He,List([8, 10)))	Relation(becoming,List([51, 59)))	SimpleArgument(a naturalized American citizen on the 1st of June 1944,List([60, 114)))	needed] He emigrated to the United States in 1940, becoming a naturalized American citizen on the 1st of June 1944.
0.5699038993321599		SimpleArgument(He,List([8, 10)))	Relation(emigrated to the United States,List([11, 20), [21, 41)))	SimpleArgument(becoming a naturalized American citizen on the 1st of June 1944,List([51, 114)))	needed] He emigrated to the United States in 1940, becoming a naturalized American citizen on the 1st of June 1944.
0.22506131975927415		SimpleArgument(He,List([8, 10)))	Relation(emigrated to the United States in,List([11, 20), [21, 41), [42, 44)))	TemporalArgument(1940,List([45, 49)))	needed] He emigrated to the United States in 1940, becoming a naturalized American citizen on the 1st of June 1944.
0.4978219019954182		SimpleArgument(He,List([8, 10)))	Relation(emigrated to,List([11, 20), [21, 23)))	SimpleArgument(the United States,List([24, 41)))	needed] He emigrated to the United States in 1940, becoming a naturalized American citizen on the 1st of June 1944.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(taught at,List([3, 9), [10, 12)))	SpatialArgument(the Peabody Conservatory of Music in Baltimore ( 1948-49,List([13, 69)))	He taught at the Peabody Conservatory of Music in Baltimore (1948–49), Chicago Musical College (1950–54), Queens College, New York (1958–60), and New York College of Music (1960–64).
0.3929209860966329		SimpleArgument(He,List([0, 2)))	Relation(died on,List([3, 7), [20, 22)))	TemporalArgument(19 February 1994,List([23, 39)))	He died in New York on 19 February 1994.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(died in,List([3, 7), [8, 10)))	SpatialArgument(New York,List([11, 19)))	He died in New York on 19 February 1994.
0.7005288659799959		SimpleArgument(His music,List([0, 9)))	Relation(is,List([10, 12)))	SimpleArgument(neo-classical with a elegant style,List([13, 47)))	His music is tonal and neo-classical with a melodic and elegant style.
0.7005288659799959		SimpleArgument(His music,List([0, 9)))	Relation(is,List([10, 12)))	SimpleArgument(neo-classical with a melodic style,List([13, 47)))	His music is tonal and neo-classical with a melodic and elegant style.
0.4519476217796412		SimpleArgument(His music,List([0, 9)))	Relation(is,List([10, 12)))	SimpleArgument(tonal,List([13, 18)))	His music is tonal and neo-classical with a melodic and elegant style.
