0.9186941924198344		SimpleArgument(Small Small Batch food,List([0, 22)))	Relation(combined in,List([23, 31), [32, 34)))	SpatialArgument(an inviting space,List([35, 52)))	Small Batch Coffee and Small Batch food combined in an inviting space Established in 2016.
0.7833813375237394		SimpleArgument(an inviting space,List([36, 53)))	Relation(Established in,List([54, 65), [66, 68)))	TemporalArgument(2016,List([69, 73)))	Small Batch Coffee and Small Batch food combined in an inviting space Established in 2016.
0.9387281236502384		SimpleArgument(Small Batch Coffee food,List([0, 23)))	Relation(combined in,List([24, 32), [33, 35)))	SpatialArgument(an inviting space,List([36, 53)))	Small Batch Coffee and Small Batch food combined in an inviting space Established in 2016.
0.9064683704715875		SimpleArgument(Geoffrey,List([0, 8)))	Relation(to open the W Hotel as,List([50, 57), [58, 69), [70, 72)))	SimpleArgument(a restaurant consultant,List([73, 96)))	Geoffrey originally landed in New Orleans in 1999 to open the W Hotel as a restaurant consultant.
0.9210233335200773		SimpleArgument(Geoffrey,List([0, 8)))	Relation(to open,List([50, 57)))	SimpleArgument(the W Hotel,List([58, 69)))	Geoffrey originally landed in New Orleans in 1999 to open the W Hotel as a restaurant consultant.
0.8592111619294878		SimpleArgument(Geoffrey,List([0, 8)))	Relation(landed,List([20, 26)))	TemporalArgument(originally,List([9, 19)))	Geoffrey originally landed in New Orleans in 1999 to open the W Hotel as a restaurant consultant.
0.8839105602432714		SimpleArgument(Geoffrey,List([0, 8)))	Relation(landed to,List([20, 26), [50, 52)))	SimpleArgument(open the W Hotel as a restaurant consultant,List([53, 96)))	Geoffrey originally landed in New Orleans in 1999 to open the W Hotel as a restaurant consultant.
0.6904654879581635		SimpleArgument(Geoffrey,List([0, 8)))	Relation(landed in,List([20, 26), [42, 44)))	TemporalArgument(1999,List([45, 49)))	Geoffrey originally landed in New Orleans in 1999 to open the W Hotel as a restaurant consultant.
0.9210233335200773		SimpleArgument(Geoffrey,List([0, 8)))	Relation(landed in,List([20, 26), [27, 29)))	SpatialArgument(New Orleans,List([30, 41)))	Geoffrey originally landed in New Orleans in 1999 to open the W Hotel as a restaurant consultant.
0.39625576749130315		SimpleArgument(he,List([41, 43)))	Relation(worked After,List([0, 5), [79, 85)))	TemporalArgument(falling in love with his new home,List([6, 39)))	After falling in love with his new home, he got married, had a little girl and worked in several establishments around New Orleans.
0.45592395356914683		SimpleArgument(he,List([41, 43)))	Relation(worked in,List([79, 85), [86, 88)))	SpatialArgument(several establishments around New Orleans,List([89, 130)))	After falling in love with his new home, he got married, had a little girl and worked in several establishments around New Orleans.
0.39625576749130315		SimpleArgument(he,List([41, 43)))	Relation(had a little girl After,List([0, 5), [57, 69), [70, 74)))	TemporalArgument(falling in love with his new home,List([6, 39)))	After falling in love with his new home, he got married, had a little girl and worked in several establishments around New Orleans.
0.4802217740069371		SimpleArgument(he,List([41, 43)))	Relation(had,List([57, 60)))	SimpleArgument(a little girl,List([61, 74)))	After falling in love with his new home, he got married, had a little girl and worked in several establishments around New Orleans.
0.6387790617816396		SimpleArgument(his family,List([0, 10)))	Relation(moved,List([11, 16)))	TemporalArgument(just before Katrina,List([22, 41)))	Geoffrey and his family moved away just before Katrina with the intention of coming back as soon as circumstances would allow.
0.3833177039030785		SimpleArgument(his family,List([0, 10)))	Relation(moved,List([11, 16)))	SimpleArgument(away,List([17, 21)))	Geoffrey and his family moved away just before Katrina with the intention of coming back as soon as circumstances would allow.
0.7130135287477929		SimpleArgument(circumstances,List([85, 98)))	Relation(would allow,List([99, 110)))		Geoffrey and his family moved away just before Katrina with the intention of coming back as soon as circumstances would allow.
0.9199923855291322		SimpleArgument(Geoffrey,List([0, 8)))	Relation(moved,List([9, 14)))	TemporalArgument(just before Katrina,List([20, 39)))	Geoffrey and his family moved away just before Katrina with the intention of coming back as soon as circumstances would allow.
0.8016573080327372		SimpleArgument(Geoffrey,List([0, 8)))	Relation(moved,List([9, 14)))	SimpleArgument(away,List([15, 19)))	Geoffrey and his family moved away just before Katrina with the intention of coming back as soon as circumstances would allow.
0.6420236436771103		SimpleArgument(his family,List([0, 10)))	Relation(promptly set about,List([17, 29), [30, 35)))	SimpleArgument(get French Truck Coffee off the ground,List([36, 74)))	Geoffrey and his family moved back in August of 2011 and promptly set about get French Truck Coffee off the ground.
0.7728580355942064		SimpleArgument(his family,List([0, 10)))	Relation(moved,List([11, 16)))	SimpleArgument(promptly set about get French Truck Coffee off the ground,List([17, 74)))	Geoffrey and his family moved back in August of 2011 and promptly set about get French Truck Coffee off the ground.
0.9210233335200773		SimpleArgument(Geoffrey,List([0, 8)))	Relation(promptly set about,List([15, 27), [28, 33)))	SimpleArgument(get French Truck Coffee off the ground,List([34, 72)))	Geoffrey and his family moved back in August of 2011 and promptly set about get French Truck Coffee off the ground.
0.9567562066335041		SimpleArgument(Geoffrey,List([0, 8)))	Relation(moved,List([9, 14)))	SimpleArgument(promptly set about get French Truck Coffee off the ground,List([15, 72)))	Geoffrey and his family moved back in August of 2011 and promptly set about get French Truck Coffee off the ground.
