0.9582631324958855		SimpleArgument(Sandrine Piau (born 5 June 1965,List([0, 31)))	Relation(is,List([33, 35)))	SimpleArgument(a French opera soprano,List([36, 58)))	Sandrine Piau (born 5 June 1965) is a French opera soprano.
0.9445721975409912		SimpleArgument(Sandrine Piau,List([0, 13)))	Relation(born,List([15, 19)))	TemporalArgument(5 June 1965,List([20, 31)))	Sandrine Piau (born 5 June 1965) is a French opera soprano.
0.38089450366724514		SimpleArgument(Supérieur de Musique du Paris,List([120, 149)))	Relation([is] National [of],List([111, 119)))	SimpleArgument(Conservatoire,List([97, 110)))	Born in Issy-les-Moulineaux, she originally trained as a harpist, she studied voice at the Collège Lamartine and the Conservatoire National Supérieur de Musique du Paris.
0.4328394458044063		SimpleArgument(she,List([72, 75)))	Relation(studied voice at,List([76, 83), [84, 89), [90, 92)))	SpatialArgument(the Conservatoire National Supérieur de Musique du Paris,List([93, 149)))	Born in Issy-les-Moulineaux, she originally trained as a harpist, she studied voice at the Collège Lamartine and the Conservatoire National Supérieur de Musique du Paris.
0.25239008486941794	Context(she studied,List([72, 83)))	SimpleArgument(she,List([34, 37)))	Relation(trained as a harpist,List([49, 56), [57, 69)))	TemporalArgument(originally,List([38, 48)))	Born in Issy-les-Moulineaux, she originally trained as a harpist, she studied voice at the Collège Lamartine and the Conservatoire National Supérieur de Musique du Paris.
0.3490079869984017	Context(she studied,List([72, 83)))	SimpleArgument(she,List([34, 37)))	Relation(trained as,List([49, 56), [57, 59)))	SimpleArgument(a harpist,List([60, 69)))	Born in Issy-les-Moulineaux, she originally trained as a harpist, she studied voice at the Collège Lamartine and the Conservatoire National Supérieur de Musique du Paris.
0.4328394458044063		SimpleArgument(she,List([72, 75)))	Relation(studied voice at,List([76, 83), [84, 89), [90, 92)))	SpatialArgument(the Collège Lamartine,List([93, 114)))	Born in Issy-les-Moulineaux, she originally trained as a harpist, she studied voice at the Collège Lamartine and the Conservatoire National Supérieur de Musique du Paris.
0.3880890333449538		SimpleArgument(she,List([72, 75)))	Relation(studied,List([76, 83)))	SimpleArgument(voice,List([84, 89)))	Born in Issy-les-Moulineaux, she originally trained as a harpist, she studied voice at the Collège Lamartine and the Conservatoire National Supérieur de Musique du Paris.
0.31264665573320355		SimpleArgument(She,List([0, 3)))	Relation(best known for,List([7, 17), [18, 21)))	SimpleArgument(her roles in Baroque opera,List([22, 48)))	She is best known for her roles in Baroque opera, having worked with William Christie at the Festival international d'Art Lyrique at Aix-en-Provence.
0.5699038993321599		SimpleArgument(She,List([0, 3)))	Relation(is best known for her roles in Baroque opera,List([4, 6), [7, 48)))	SimpleArgument(having worked with William Christie at the Festival international d'Art Lyrique at Aix-en-Provence,List([50, 148)))	She is best known for her roles in Baroque opera, having worked with William Christie at the Festival international d'Art Lyrique at Aix-en-Provence.
0.4165289098892234		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(best known for her roles in Baroque opera,List([7, 48)))	She is best known for her roles in Baroque opera, having worked with William Christie at the Festival international d'Art Lyrique at Aix-en-Provence.
0.6138676038426771		SimpleArgument(She,List([0, 3)))	Relation(collaborated with,List([4, 16), [17, 21)))	SimpleArgument(many of the leading European conductors of the Baroque revival , including Fabio Biondi,List([22, 109)))	She collaborated with many of the leading European conductors of the Baroque revival, including Marc Minkowski, Philippe Herreweghe, Paul McCreesh, Alan Curtis, Christophe Rousset, René Jacobs, and Fabio Biondi.
0.6138676038426771		SimpleArgument(She,List([0, 3)))	Relation(collaborated with,List([4, 16), [17, 21)))	SimpleArgument(many of the leading European conductors of the Baroque revival , including René Jacobs,List([22, 108)))	She collaborated with many of the leading European conductors of the Baroque revival, including Marc Minkowski, Philippe Herreweghe, Paul McCreesh, Alan Curtis, Christophe Rousset, René Jacobs, and Fabio Biondi.
0.6138676038426771		SimpleArgument(She,List([0, 3)))	Relation(collaborated with,List([4, 16), [17, 21)))	SimpleArgument(many of the leading European conductors of the Baroque revival , including Christophe Rousset,List([22, 115)))	She collaborated with many of the leading European conductors of the Baroque revival, including Marc Minkowski, Philippe Herreweghe, Paul McCreesh, Alan Curtis, Christophe Rousset, René Jacobs, and Fabio Biondi.
0.6138676038426771		SimpleArgument(She,List([0, 3)))	Relation(collaborated with,List([4, 16), [17, 21)))	SimpleArgument(many of the leading European conductors of the Baroque revival , including Alan Curtis,List([22, 108)))	She collaborated with many of the leading European conductors of the Baroque revival, including Marc Minkowski, Philippe Herreweghe, Paul McCreesh, Alan Curtis, Christophe Rousset, René Jacobs, and Fabio Biondi.
