0.9850577539277445		SimpleArgument(Serge Lang ([lɑ~ɡ]; May 19, 1927 - September 12, 2005,List([0, 53)))	Relation(was,List([55, 58)))	SimpleArgument(a French-born American mathematician,List([59, 95)))	Serge Lang ([lɑ̃ɡ]; May 19, 1927 – September 12, 2005) was a French-born American mathematician.
0.3498441627223176		SimpleArgument(He,List([0, 2)))	Relation(is known for,List([3, 11), [12, 15)))	SimpleArgument(his mathematics textbooks , including the influential Algebra,List([16, 77)))	He is known for his work in number theory and for his mathematics textbooks, including the influential Algebra.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(is known for,List([3, 11), [12, 15)))	SimpleArgument(his work in number theory,List([16, 41)))	He is known for his work in number theory and for his mathematics textbooks, including the influential Algebra.
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(was a member of,List([3, 18)))	SimpleArgument(the Bourbaki group,List([19, 37)))	He was a member of the Bourbaki group.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a member of the Bourbaki group,List([7, 37)))	He was a member of the Bourbaki group.
0.44469037867649003		SimpleArgument(he,List([63, 65)))	Relation(graduated from Beverly Hills High School,List([66, 75), [84, 114)))	SpatialArgument(a teenager,List([44, 54)))	Lang was born in Paris in 1927, and moved with his family to California as a teenager, where he graduated in 1943 from Beverly Hills High School.
0.3929209860966329		SimpleArgument(he,List([63, 65)))	Relation(graduated from,List([66, 75), [84, 88)))	SimpleArgument(Beverly Hills High School,List([89, 114)))	Lang was born in Paris in 1927, and moved with his family to California as a teenager, where he graduated in 1943 from Beverly Hills High School.
0.22015391053105568		SimpleArgument(he,List([63, 65)))	Relation(graduated from Beverly Hills High School in,List([66, 75), [76, 107), [108, 114)))	TemporalArgument(1943,List([79, 83)))	Lang was born in Paris in 1927, and moved with his family to California as a teenager, where he graduated in 1943 from Beverly Hills High School.
0.8225553370134596		SimpleArgument(Lang,List([0, 4)))	Relation(moved to,List([5, 10), [27, 29)))	SimpleArgument(California,List([30, 40)))	Lang was born in Paris in 1927, and moved with his family to California as a teenager, where he graduated in 1943 from Beverly Hills High School.
0.9929999709129333		SimpleArgument(Lang,List([0, 0)))	Relation(was born in,List([0, 0)))	SimpleArgument(1927,List(null))	Lang was born in Paris in 1927, and moved with his family to California as a teenager, where he graduated in 1943 from Beverly Hills High School.
0.5759228702523534		SimpleArgument(Lang,List([0, 4)))	Relation(was born in,List([5, 13), [23, 25)))	TemporalArgument(1927,List([26, 30)))	Lang was born in Paris in 1927, and moved with his family to California as a teenager, where he graduated in 1943 from Beverly Hills High School.
0.876543225140763		SimpleArgument(Lang,List([0, 4)))	Relation(was born in,List([5, 13), [14, 16)))	SpatialArgument(Paris,List([17, 22)))	Lang was born in Paris in 1927, and moved with his family to California as a teenager, where he graduated in 1943 from Beverly Hills High School.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(received a doctorate in,List([3, 11), [12, 23), [50, 52)))	TemporalArgument(1951,List([53, 57)))	He subsequently graduated from the California Institute of Technology in 1946, and received a doctorate from Princeton University in 1951.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(received a doctorate from,List([3, 11), [12, 23), [24, 28)))	SimpleArgument(Princeton University,List([29, 49)))	He subsequently graduated from the California Institute of Technology in 1946, and received a doctorate from Princeton University in 1951.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(received,List([3, 11)))	SimpleArgument(a doctorate,List([12, 23)))	He subsequently graduated from the California Institute of Technology in 1946, and received a doctorate from Princeton University in 1951.
0.3048426724432105		SimpleArgument(He,List([0, 2)))	Relation(graduated from the California Institute of Technology,List([16, 25), [26, 69)))	TemporalArgument(subsequently,List([3, 15)))	He subsequently graduated from the California Institute of Technology in 1946, and received a doctorate from Princeton University in 1951.
0.19710908353723788		SimpleArgument(He,List([0, 2)))	Relation(graduated from the California Institute of Technology in,List([16, 25), [26, 69), [70, 72)))	TemporalArgument(1946,List([73, 77)))	He subsequently graduated from the California Institute of Technology in 1946, and received a doctorate from Princeton University in 1951.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(graduated from,List([16, 25), [26, 30)))	SimpleArgument(the California Institute of Technology,List([31, 69)))	He subsequently graduated from the California Institute of Technology in 1946, and received a doctorate from Princeton University in 1951.
0.292827695956731	Context(He held,List([0, 7)))	SimpleArgument(He,List([0, 2)))	Relation(held faculty positions at Columbia University leaving in,List([3, 7), [8, 15), [16, 25)))	TemporalArgument(1971 in a dispute,List([74, 91)))	He held faculty positions at the University of Chicago and Columbia University (from 1955, leaving in 1971 in a dispute).
0.1273814832686296		SimpleArgument(He,List([0, 2)))	Relation(held faculty positions at Columbia University from,List([3, 7), [8, 48), [51, 55)))	TemporalArgument(1955,List([56, 60)))	He held faculty positions at the University of Chicago and Columbia University (from 1955, leaving in 1971 in a dispute).
0.5031023801911841		SimpleArgument(He,List([0, 2)))	Relation(held,List([3, 7)))	SimpleArgument(faculty positions at Columbia University,List([8, 48)))	He held faculty positions at the University of Chicago and Columbia University (from 1955, leaving in 1971 in a dispute).
0.292827695956731	Context(He held,List([0, 7)))	SimpleArgument(He,List([0, 2)))	Relation(held faculty positions leaving in,List([3, 7), [8, 15), [16, 25)))	TemporalArgument(1971 in a dispute,List([80, 97)))	He held faculty positions at the University of Chicago and Columbia University (from 1955, leaving in 1971 in a dispute).
0.4328394458044063		SimpleArgument(He,List([0, 2)))	Relation(held faculty positions at,List([3, 7), [8, 25), [26, 28)))	SpatialArgument(the University of Chicago ( from 1955,List([29, 66)))	He held faculty positions at the University of Chicago and Columbia University (from 1955, leaving in 1971 in a dispute).
