0.8056360478309452		SimpleArgument(Exhibitions India Group,List([0, 23)))	Relation(was founded in,List([30, 41), [42, 44)))	TemporalArgument(1987,List([45, 49)))	Exhibitions India Group (EIG) was founded in 1987.
0.9494413914180079	Context(The group 's core business comprises,List([0, 36)))	SimpleArgument(EIG,List([129, 132)))	Relation(is,List([133, 135)))	SimpleArgument(an organiser of trade fairs overseas with allied businesses in display design,List([136, 213)))	The group's core business comprises of trade promotion, encouraging investments, joint ventures, technology transfers, etc. EIG is an organiser of trade fairs in India and overseas with allied businesses in sales representation, publishing, travel and hospitality, advertising, consulting, conferences, and display design.
0.9494413914180079	Context(The group 's core business comprises,List([0, 36)))	SimpleArgument(EIG,List([129, 132)))	Relation(is,List([133, 135)))	SimpleArgument(an organiser of trade fairs overseas with allied businesses in conferences,List([136, 210)))	The group's core business comprises of trade promotion, encouraging investments, joint ventures, technology transfers, etc. EIG is an organiser of trade fairs in India and overseas with allied businesses in sales representation, publishing, travel and hospitality, advertising, consulting, conferences, and display design.
0.9494413914180079	Context(The group 's core business comprises,List([0, 36)))	SimpleArgument(EIG,List([129, 132)))	Relation(is,List([133, 135)))	SimpleArgument(an organiser of trade fairs overseas with allied businesses in consulting,List([136, 209)))	The group's core business comprises of trade promotion, encouraging investments, joint ventures, technology transfers, etc. EIG is an organiser of trade fairs in India and overseas with allied businesses in sales representation, publishing, travel and hospitality, advertising, consulting, conferences, and display design.
0.9494413914180079	Context(The group 's core business comprises,List([0, 36)))	SimpleArgument(EIG,List([129, 132)))	Relation(is,List([133, 135)))	SimpleArgument(an organiser of trade fairs overseas with allied businesses in advertising,List([136, 210)))	The group's core business comprises of trade promotion, encouraging investments, joint ventures, technology transfers, etc. EIG is an organiser of trade fairs in India and overseas with allied businesses in sales representation, publishing, travel and hospitality, advertising, consulting, conferences, and display design.
0.9494413914180079	Context(The group 's core business comprises,List([0, 36)))	SimpleArgument(EIG,List([129, 132)))	Relation(is,List([133, 135)))	SimpleArgument(an organiser of trade fairs overseas with allied businesses in hospitality,List([136, 210)))	The group's core business comprises of trade promotion, encouraging investments, joint ventures, technology transfers, etc. EIG is an organiser of trade fairs in India and overseas with allied businesses in sales representation, publishing, travel and hospitality, advertising, consulting, conferences, and display design.
0.9494413914180079	Context(The group 's core business comprises,List([0, 36)))	SimpleArgument(EIG,List([129, 132)))	Relation(is,List([133, 135)))	SimpleArgument(an organiser of trade fairs overseas with allied businesses in travel,List([136, 205)))	The group's core business comprises of trade promotion, encouraging investments, joint ventures, technology transfers, etc. EIG is an organiser of trade fairs in India and overseas with allied businesses in sales representation, publishing, travel and hospitality, advertising, consulting, conferences, and display design.
0.9494413914180079	Context(The group 's core business comprises,List([0, 36)))	SimpleArgument(EIG,List([129, 132)))	Relation(is,List([133, 135)))	SimpleArgument(an organiser of trade fairs overseas with allied businesses in publishing,List([136, 209)))	The group's core business comprises of trade promotion, encouraging investments, joint ventures, technology transfers, etc. EIG is an organiser of trade fairs in India and overseas with allied businesses in sales representation, publishing, travel and hospitality, advertising, consulting, conferences, and display design.
0.9494413914180079	Context(The group 's core business comprises,List([0, 36)))	SimpleArgument(EIG,List([129, 132)))	Relation(is,List([133, 135)))	SimpleArgument(an organiser of trade fairs overseas with allied businesses in sales representation,List([136, 219)))	The group's core business comprises of trade promotion, encouraging investments, joint ventures, technology transfers, etc. EIG is an organiser of trade fairs in India and overseas with allied businesses in sales representation, publishing, travel and hospitality, advertising, consulting, conferences, and display design.
0.3853208301752743		SimpleArgument(etc. EIG,List([124, 132)))	Relation(is an organiser of,List([133, 151)))	SimpleArgument(trade fairs,List([152, 163)))	The group's core business comprises of trade promotion, encouraging investments, joint ventures, technology transfers, etc. EIG is an organiser of trade fairs in India and overseas with allied businesses in sales representation, publishing, travel and hospitality, advertising, consulting, conferences, and display design.
0.9337334399293727	Context(The group 's core business comprises,List([0, 36)))	SimpleArgument(EIG,List([129, 132)))	Relation(is,List([133, 135)))	SimpleArgument(an organiser of trade fairs in India,List([136, 172)))	The group's core business comprises of trade promotion, encouraging investments, joint ventures, technology transfers, etc. EIG is an organiser of trade fairs in India and overseas with allied businesses in sales representation, publishing, travel and hospitality, advertising, consulting, conferences, and display design.
