0.787629570513835		SimpleArgument(an American technical science magazine,List([32, 70)))	Relation(was published,List([76, 89)))	TemporalArgument(monthly,List([90, 97)))	The Electrical Experimenter was an American technical science magazine that was published monthly.
0.8708133029609583		SimpleArgument(The Electrical Experimenter,List([0, 27)))	Relation(was,List([28, 31)))	SimpleArgument(an American technical science magazine that was published monthly,List([32, 97)))	The Electrical Experimenter was an American technical science magazine that was published monthly.
0.7555723040413836		SimpleArgument(a mail - order catalog,List([89, 111)))	Relation(had been published,List([117, 135)))	TemporalArgument(starting in 1908,List([154, 170)))	It was established in May 1913, as the successor to Modern Electrics, a combination of a magazine and mail-order catalog that had been published by Hugo Gernsback starting in 1908.
0.9267899601589662		SimpleArgument(a mail - order catalog,List([89, 111)))	Relation(had been published by,List([117, 135), [136, 138)))	SimpleArgument(Hugo Gernsback,List([139, 153)))	It was established in May 1913, as the successor to Modern Electrics, a combination of a magazine and mail-order catalog that had been published by Hugo Gernsback starting in 1908.
0.718147411456735		SimpleArgument(a magazine catalog,List([89, 107)))	Relation(had been published,List([113, 131)))	TemporalArgument(starting in 1908,List([150, 166)))	It was established in May 1913, as the successor to Modern Electrics, a combination of a magazine and mail-order catalog that had been published by Hugo Gernsback starting in 1908.
0.9125462839307745		SimpleArgument(a magazine catalog,List([89, 107)))	Relation(had been published by,List([113, 131), [132, 134)))	SimpleArgument(Hugo Gernsback,List([135, 149)))	It was established in May 1913, as the successor to Modern Electrics, a combination of a magazine and mail-order catalog that had been published by Hugo Gernsback starting in 1908.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(was established in,List([3, 18), [19, 21)))	TemporalArgument(May 1913,List([22, 30)))	It was established in May 1913, as the successor to Modern Electrics, a combination of a magazine and mail-order catalog that had been published by Hugo Gernsback starting in 1908.
0.9084353254608957		SimpleArgument(The Electrical,List([0, 14)))	Relation(continued until,List([15, 24), [57, 62)))	TemporalArgument(August 1931,List([63, 74)))	The Electrical Experimenter continued from May 1913 to July 1920 under that name, focusing on scientific articles about radio, and continued with a broader focus as Science and Invention until August 1931.
0.8748644295993095	Context(The Electrical Experimenter continued,List([0, 37)))	SimpleArgument(The Electrical Experimenter,List([0, 27)))	Relation(continued focusing on,List([28, 37), [83, 91), [92, 94)))	SimpleArgument(scientific articles about radio,List([95, 126)))	The Electrical Experimenter continued from May 1913 to July 1920 under that name, focusing on scientific articles about radio, and continued with a broader focus as Science and Invention until August 1931.
0.8937610516172411		SimpleArgument(The Electrical Experimenter,List([0, 27)))	Relation(continued to,List([28, 37), [52, 54)))	TemporalArgument(July 1920,List([55, 64)))	The Electrical Experimenter continued from May 1913 to July 1920 under that name, focusing on scientific articles about radio, and continued with a broader focus as Science and Invention until August 1931.
0.927981291055698		SimpleArgument(The Electrical Experimenter,List([0, 27)))	Relation(continued from,List([28, 37), [38, 42)))	TemporalArgument(May 1913,List([43, 51)))	The Electrical Experimenter continued from May 1913 to July 1920 under that name, focusing on scientific articles about radio, and continued with a broader focus as Science and Invention until August 1931.
0.9734588348157723		SimpleArgument(the Experimenter Publishing empire of Hugo Gernsback,List([66, 118)))	Relation(was forced into bankruptcy,List([119, 129), [130, 145)))	TemporalArgument(March 1929,List([48, 58)))	The magazine was edited by Hugo Gernsback until March 1929, when the Experimenter Publishing empire of Sidney and Hugo Gernsback was forced into bankruptcy; after that date it was edited by Arthur H. Lynch.
0.9534297076870546		SimpleArgument(the Experimenter Publishing empire of Hugo Gernsback,List([66, 118)))	Relation(was forced into,List([119, 129), [130, 134)))	SimpleArgument(bankruptcy,List([135, 145)))	The magazine was edited by Hugo Gernsback until March 1929, when the Experimenter Publishing empire of Sidney and Hugo Gernsback was forced into bankruptcy; after that date it was edited by Arthur H. Lynch.
0.9708445914364904		SimpleArgument(the Experimenter Publishing empire of Sidney,List([66, 110)))	Relation(was forced into bankruptcy,List([111, 121), [122, 137)))	TemporalArgument(March 1929,List([48, 58)))	The magazine was edited by Hugo Gernsback until March 1929, when the Experimenter Publishing empire of Sidney and Hugo Gernsback was forced into bankruptcy; after that date it was edited by Arthur H. Lynch.
